candidate_patch_id,scene_or_item_id,scene_date,band_name,stat_name,stat_value
S17C6_CANARY_REC_00002,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B03,mean,3150.4145
S17C6_CANARY_REC_00002,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B03,min,1070.0000
S17C6_CANARY_REC_00002,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B03,max,5960.0000
S17C6_CANARY_REC_00002,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B03,valid_pixel_count,9900
S17C6_CANARY_REC_00002,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B04,mean,2946.3578
S17C6_CANARY_REC_00002,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B04,min,1044.0000
S17C6_CANARY_REC_00002,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B04,max,5620.0000
S17C6_CANARY_REC_00002,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B04,valid_pixel_count,9900
S17C6_CANARY_REC_00002,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B08,mean,3779.0509
S17C6_CANARY_REC_00002,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B08,min,1888.0000
S17C6_CANARY_REC_00002,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B08,max,6136.0000
S17C6_CANARY_REC_00002,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B08,valid_pixel_count,9900
S17C6_CANARY_REC_00002,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B11,mean,2814.7830
S17C6_CANARY_REC_00002,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B11,min,1569.0000
S17C6_CANARY_REC_00002,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B11,max,4408.0000
S17C6_CANARY_REC_00002,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B11,valid_pixel_count,9900
