candidate_patch_id,scene_or_item_id,scene_date,band_name,stat_name,stat_value
S17C6_CANARY_REC_00003,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B03,mean,5962.9592
S17C6_CANARY_REC_00003,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B03,min,3240.0000
S17C6_CANARY_REC_00003,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B03,max,7272.0000
S17C6_CANARY_REC_00003,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B03,valid_pixel_count,9900
S17C6_CANARY_REC_00003,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B04,mean,5549.7897
S17C6_CANARY_REC_00003,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B04,min,2744.0000
S17C6_CANARY_REC_00003,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B04,max,6828.0000
S17C6_CANARY_REC_00003,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B04,valid_pixel_count,9900
S17C6_CANARY_REC_00003,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B08,mean,6018.8574
S17C6_CANARY_REC_00003,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B08,min,4152.0000
S17C6_CANARY_REC_00003,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B08,max,7168.0000
S17C6_CANARY_REC_00003,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B08,valid_pixel_count,9900
S17C6_CANARY_REC_00003,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B11,mean,4377.3163
S17C6_CANARY_REC_00003,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B11,min,3005.0000
S17C6_CANARY_REC_00003,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B11,max,5043.0000
S17C6_CANARY_REC_00003,S2A_MSIL1C_20220507T124321_N0510_R009_T25MBM_20240616T215545.SAFE,2022-05-07,B11,valid_pixel_count,9900
