action_id,action_category,action_name,allowed_now,depends_on_external_data,blocked_by,expected_output,suggested_stage,priority,rationale
MV2_15_ACT_001,ENGINEERING_CONSOLIDATION,engineering_consolidation,true,false,,outputs_public/mv2_cronograma_engine/engineering_consolidation.csv,MV2-16_ENGINEERING_PACKAGE,P0,programacao pesada permitida sem criar dado cientifico novo
MV2_15_ACT_002,SCHEMA_HARDENING,schema_hardening,true,false,,outputs_public/mv2_cronograma_engine/schema_hardening.csv,MV2-16_ENGINEERING_PACKAGE,P0,programacao pesada permitida sem criar dado cientifico novo
MV2_15_ACT_003,TEST_HARDENING,test_hardening,true,false,,outputs_public/mv2_cronograma_engine/test_hardening.csv,MV2-16_ENGINEERING_PACKAGE,P0,programacao pesada permitida sem criar dado cientifico novo
MV2_15_ACT_004,CLI_ORCHESTRATION,cli_orchestration,true,false,,outputs_public/mv2_cronograma_engine/cli_orchestration.csv,MV2-16_ENGINEERING_PACKAGE,P0,programacao pesada permitida sem criar dado cientifico novo
MV2_15_ACT_005,REPORTING,reporting,true,false,,outputs_public/mv2_cronograma_engine/reporting.csv,MV2-16_ENGINEERING_PACKAGE,P0,programacao pesada permitida sem criar dado cientifico novo
MV2_15_ACT_006,MANIFEST_VALIDATION,manifest_validation,true,false,,outputs_public/mv2_cronograma_engine/manifest_validation.csv,MV2-16_ENGINEERING_PACKAGE,P0,programacao pesada permitida sem criar dado cientifico novo
MV2_15_ACT_007,WORKTREE_READONLY_INTEGRATION,worktree_readonly_integration,true,false,,outputs_public/mv2_cronograma_engine/worktree_readonly_integration.csv,MV2-16_ENGINEERING_PACKAGE,P1,programacao pesada permitida sem criar dado cientifico novo
MV2_15_ACT_008,REPRODUCIBILITY_PACKAGE,reproducibility_package,true,false,,outputs_public/mv2_cronograma_engine/reproducibility_package.csv,MV2-16_ENGINEERING_PACKAGE,P1,programacao pesada permitida sem criar dado cientifico novo
MV2_15_ACT_009,DOCS_FAIL_CLOSED,docs_fail_closed,true,false,,outputs_public/mv2_cronograma_engine/docs_fail_closed.csv,MV2-16_ENGINEERING_PACKAGE,P1,programacao pesada permitida sem criar dado cientifico novo
MV2_15_ACT_010,REVIEW_QUEUE_TOOLING,review_queue_tooling,true,false,,outputs_public/mv2_cronograma_engine/review_queue_tooling.csv,MV2-16_ENGINEERING_PACKAGE,P1,programacao pesada permitida sem criar dado cientifico novo
MV2_15_ACT_011,MANUAL_TEMPLATE_SUPPORT,manual_template_support,true,false,,outputs_public/mv2_cronograma_engine/manual_template_support.csv,MV2-16_ENGINEERING_PACKAGE,P1,programacao pesada permitida sem criar dado cientifico novo
MV2_15_ACT_012,QUALITY_DASHBOARD,quality_dashboard,true,false,,outputs_public/mv2_cronograma_engine/quality_dashboard.csv,MV2-16_ENGINEERING_PACKAGE,P1,programacao pesada permitida sem criar dado cientifico novo
MV2_15_ACT_013,STAC_REAL,stac_real,false,true,MV2_15_FAIL_CLOSED_GATES,,NA,NO_GO,"bloqueado por ausencia de evidencia, raster nativo, silver formal ou guardrail"
MV2_15_ACT_014,RASTER_DOWNLOAD,raster_download,false,true,MV2_15_FAIL_CLOSED_GATES,,NA,NO_GO,"bloqueado por ausencia de evidencia, raster nativo, silver formal ou guardrail"
MV2_15_ACT_015,PRIVATE_CROP,private_crop,false,true,MV2_15_FAIL_CLOSED_GATES,,NA,NO_GO,"bloqueado por ausencia de evidencia, raster nativo, silver formal ou guardrail"
MV2_15_ACT_016,SPECTRAL_FEATURE_EXTRACTION,spectral_feature_extraction,false,true,MV2_15_FAIL_CLOSED_GATES,,NA,NO_GO,"bloqueado por ausencia de evidencia, raster nativo, silver formal ou guardrail"
MV2_15_ACT_017,SUPERVISED_BASELINE,supervised_baseline,false,true,MV2_15_FAIL_CLOSED_GATES,,NA,NO_GO,"bloqueado por ausencia de evidencia, raster nativo, silver formal ou guardrail"
MV2_15_ACT_018,TRAINING,training,false,true,MV2_15_FAIL_CLOSED_GATES,,NA,NO_GO,"bloqueado por ausencia de evidencia, raster nativo, silver formal ou guardrail"
MV2_15_ACT_019,SILVER_PROMOTION,silver_promotion,false,true,MV2_15_FAIL_CLOSED_GATES,,NA,NO_GO,"bloqueado por ausencia de evidencia, raster nativo, silver formal ou guardrail"
MV2_15_ACT_020,NEGATIVE_CREATION,negative_creation,false,true,MV2_15_FAIL_CLOSED_GATES,,NA,NO_GO,"bloqueado por ausencia de evidencia, raster nativo, silver formal ou guardrail"
MV2_15_ACT_021,SPLIT_TRAINABLE,split_trainable,false,true,MV2_15_FAIL_CLOSED_GATES,,NA,NO_GO,"bloqueado por ausencia de evidencia, raster nativo, silver formal ou guardrail"
MV2_15_ACT_022,SANDBOX_SUPERVISED,sandbox_supervised,false,true,MV2_15_FAIL_CLOSED_GATES,,NA,NO_GO,"bloqueado por ausencia de evidencia, raster nativo, silver formal ou guardrail"
