risk_id,target_id,severity,risk_type,evidence,mitigation,status,blocks_next_step
MV2_DATA_02_RISK_01,GLOBAL,ALTA,RISK_API_WITHOUT_AUTH,chamar API autenticada sem credencial valida,credencial so por env var; sem credencial -> NOT_EXECUTED_AUTH_MISSING,MITIGADO_FAIL_CLOSED,true
MV2_DATA_02_RISK_02,GLOBAL,ALTA,RISK_NETWORK_CALL_UNCONTROLLED,chamada de rede disparada sem controle de config,allow_network=false por padrao; toda chamada gated por config,MITIGADO_FAIL_CLOSED,true
MV2_DATA_02_RISK_03,GLOBAL,MEDIA,RISK_STAC_WITHOUT_LINEAGE,consultar/promover STAC sem scene_id/datetime confiavel,lineage forte exigido antes de promover; metadata-only por padrao,MITIGADO_FAIL_CLOSED,true
MV2_DATA_02_RISK_04,GLOBAL,ALTA,RISK_ODATA_DOWNLOAD_WITHOUT_REVIEW,baixar produto OData sem revisao do binding,cliente OData nunca baixa; download so no executor canary com gates,MITIGADO_FAIL_CLOSED,true
MV2_DATA_02_RISK_05,GLOBAL,ALTA,RISK_RASTER_IN_OUTPUTS_PUBLIC,raster gravado em outputs_public,raster so em diretorio privado git-ignored; validador detecta vazamento,MITIGADO_FAIL_CLOSED,true
MV2_DATA_02_RISK_06,GLOBAL,ALTA,RISK_BULK_DOWNLOAD_TOO_EARLY,download em lote dos 128 targets antes de lineage forte,can_promote_to_bulk_download=false sempre neste marco,MITIGADO_FAIL_CLOSED,true
MV2_DATA_02_RISK_07,GLOBAL,ALTA,RISK_CANARY_WITHOUT_STRONG_LINEAGE,canary sobre target com lineage fraco/ausente,canary_allowed_by_data=true so com scene_id+datetime+crs,MITIGADO_FAIL_CLOSED,true
MV2_DATA_02_RISK_08,GLOBAL,ALTA,RISK_CROP_WITHOUT_CRS,crop sem CRS/geotransform confiavel,crop_allowed_now=false por padrao; CRS validado no intake privado,MITIGADO_FAIL_CLOSED,true
MV2_DATA_02_RISK_09,GLOBAL,MEDIA,RISK_MISSING_SCL,crop sem banda SCL (mascara de cena),SCL exigida no plano e validada no intake privado,MITIGADO_FAIL_CLOSED,true
MV2_DATA_02_RISK_10,GLOBAL,ALTA,RISK_PNG_AS_RASTER,PNG/NPZ/render tratado como raster Sentinel nativo,nenhum raster nativo criado neste marco; intake valida extensao/CRS,MITIGADO_FAIL_CLOSED,true
MV2_DATA_02_RISK_11,GLOBAL,ALTA,RISK_DAY10_FALSE_UNLOCK,tratar o harness como se o Dia 10 estivesse desbloqueado,can_unlock_day10_now=false; so raster privado validado desbloqueia,MITIGADO_FAIL_CLOSED,true
MV2_DATA_02_RISK_12,GLOBAL,ALTA,RISK_SECRET_LEAK,token/segredo gravado em arquivo publico,config publica so com flags+nomes de env var; chaves proibidas filtradas,MITIGADO_FAIL_CLOSED,true
MV2_DATA_02_RISK_13,GLOBAL,MEDIA,RISK_PRIVATE_PATH_LEAK,caminho absoluto privado de usuario exposto em outputs_public,validador rejeita prefixo de home de usuario em qualquer arquivo publico,MITIGADO_FAIL_CLOSED,true
MV2_DATA_02_RISK_14,GLOBAL,MEDIA,RISK_COST_QUOTA_RATE_LIMIT,custo/quota/rate-limit ao consultar API em lote,metadata-only opt-in; canary limitado a <=3 alvos e max_download_mb,MITIGADO_FAIL_CLOSED,true
