check_id,patch_id,priority_rank,check_item,is_required,current_status,blocking_reason,how_to_complete,notes
V2AX_PCHK_cf671551d7b3,REC_00019,1,Confirmar patch_id,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Confirm patch identity against v2aw/v2av.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_4a36c838909e,REC_00019,1,Obter boundary vetorial real,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Collect real patch boundary.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_10f19b3d8dfa,REC_00019,1,Registrar formato bbox/WKT/GeoJSON,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill source_type.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_a6cd18e0faaf,REC_00019,1,Registrar CRS,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill a verified accepted CRS.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_d558749dfc6b,REC_00019,1,Registrar fonte/proveniencia,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill provenance fields.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_eb27ba1601fa,REC_00019,1,Registrar licenca,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill license_status.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_da3c0ad3b624,REC_00019,1,Registrar responsavel,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill digitized_by.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_c9a43a7955e4,REC_00019,1,Registrar data de digitalizacao,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Fill digitized_at.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_d9248a91f162,REC_00019,1,Validar geometria,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Run v2ax validation.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_2c6b3b9849aa,REC_00019,1,Validar que nao e ponto/centroide,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,"Provide area polygon, never centroid.",Checklist does not authorize labels or automatic C4.
V2AX_PCHK_8028c9119675,REC_00019,1,Aprovar para v2aw/v2av,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Human review then approved status.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_379479b3b83e,REC_00183,1,Confirmar patch_id,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Confirm patch identity against v2aw/v2av.,Checklist does not authorize labels or automatic C4.
V2AX_PCHK_836e06fb4c53,REC_00183,1,Obter boundary vetorial real,true,pending,BLOCKED_PENDING_MANUAL_GEOMETRY,Collect real patch boundary.,Checklist does not authorize labels or automatic C4.
