regression_id,artifact_path,check_type,violation_count,status,severity,notes
GR_v2an_00000,datasets/protocolo_c/v2an_candidate_dossier_index.csv,forbidden_true_flag,0,PASS,none,Fail-closed guardrail regression over v2an outputs.
GR_v2an_00001,datasets/protocolo_c/v2an_candidate_dossier_index.csv,forbidden_status,0,PASS,none,Fail-closed guardrail regression over v2an outputs.
GR_v2an_00002,datasets/protocolo_c/v2an_candidate_dossier_index.csv,absolute_path,0,PASS,none,Fail-closed guardrail regression over v2an outputs.
GR_v2an_00003,datasets/protocolo_c/v2an_candidate_dossier_index.csv,non_versionable_path_marker,0,PASS,none,Fail-closed guardrail regression over v2an outputs.
GR_v2an_00004,datasets/protocolo_c/v2an_candidate_dossier_index.csv,forbidden_kv,0,PASS,none,Fail-closed guardrail regression over v2an outputs.
GR_v2an_00005,datasets/protocolo_c/v2an_candidate_dossier_index.csv,unsafe_language,0,PASS,none,Fail-closed guardrail regression over v2an outputs.
GR_v2an_00006,datasets/protocolo_c/v2an_completion_report.csv,forbidden_true_flag,0,PASS,none,Fail-closed guardrail regression over v2an outputs.
GR_v2an_00007,datasets/protocolo_c/v2an_completion_report.csv,forbidden_status,0,PASS,none,Fail-closed guardrail regression over v2an outputs.
GR_v2an_00008,datasets/protocolo_c/v2an_completion_report.csv,absolute_path,0,PASS,none,Fail-closed guardrail regression over v2an outputs.
GR_v2an_00009,datasets/protocolo_c/v2an_completion_report.csv,non_versionable_path_marker,0,PASS,none,Fail-closed guardrail regression over v2an outputs.
GR_v2an_00010,datasets/protocolo_c/v2an_completion_report.csv,forbidden_kv,0,PASS,none,Fail-closed guardrail regression over v2an outputs.
GR_v2an_00011,datasets/protocolo_c/v2an_completion_report.csv,unsafe_language,0,PASS,none,Fail-closed guardrail regression over v2an outputs.
GR_v2an_00012,datasets/protocolo_c/v2an_document_metadata_registry.csv,forbidden_true_flag,0,PASS,none,Fail-closed guardrail regression over v2an outputs.
GR_v2an_00013,datasets/protocolo_c/v2an_document_metadata_registry.csv,forbidden_status,0,PASS,none,Fail-closed guardrail regression over v2an outputs.
GR_v2an_00014,datasets/protocolo_c/v2an_document_metadata_registry.csv,absolute_path,0,PASS,none,Fail-closed guardrail regression over v2an outputs.
GR_v2an_00015,datasets/protocolo_c/v2an_document_metadata_registry.csv,non_versionable_path_marker,0,PASS,none,Fail-closed guardrail regression over v2an outputs.
GR_v2an_00016,datasets/protocolo_c/v2an_document_metadata_registry.csv,forbidden_kv,0,PASS,none,Fail-closed guardrail regression over v2an outputs.
GR_v2an_00017,datasets/protocolo_c/v2an_document_metadata_registry.csv,unsafe_language,0,PASS,none,Fail-closed guardrail regression over v2an outputs.
GR_v2an_00018,datasets/protocolo_c/v2an_gate_closure_matrix.csv,forbidden_true_flag,0,PASS,none,Fail-closed guardrail regression over v2an outputs.
GR_v2an_00019,datasets/protocolo_c/v2an_gate_closure_matrix.csv,forbidden_status,0,PASS,none,Fail-closed guardrail regression over v2an outputs.
GR_v2an_00020,datasets/protocolo_c/v2an_gate_closure_matrix.csv,absolute_path,0,PASS,none,Fail-closed guardrail regression over v2an outputs.
GR_v2an_00021,datasets/protocolo_c/v2an_gate_closure_matrix.csv,non_versionable_path_marker,0,PASS,none,Fail-closed guardrail regression over v2an outputs.
GR_v2an_00022,datasets/protocolo_c/v2an_gate_closure_matrix.csv,forbidden_kv,0,PASS,none,Fail-closed guardrail regression over v2an outputs.
GR_v2an_00023,datasets/protocolo_c/v2an_gate_closure_matrix.csv,unsafe_language,0,PASS,none,Fail-closed guardrail regression over v2an outputs.
GR_v2an_00024,datasets/protocolo_c/v2an_ground_reference_readiness_scores.csv,forbidden_true_flag,0,PASS,none,Fail-closed guardrail regression over v2an outputs.
