blocker_id,region,event_id,blocker,status,ground_truth_operational,can_create_ground_reference,can_create_training_label,can_reopen_protocol_b,dino_usage,no_overlay_executed,no_coordinates_invented,patch_bound_truth,operational_validation,event_patch_schema_hardening_only,crosswalk_inferred,sentinel_date_inferred,raw_data_versioned,notes
GB_v2ab_0000,REC,REC_2022_05_24_30,no_observed_geometry,BLOCKED,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,"Schema hardening does not unblock geometry, overlay, ground reference or labels."
GB_v2ab_0001,REC,REC_2022_05_24_30,no_occurrence_coordinates,BLOCKED,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,"Schema hardening does not unblock geometry, overlay, ground reference or labels."
GB_v2ab_0002,REC,REC_2022_05_24_30,no_sentinel_date_linkable,BLOCKED,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,"Schema hardening does not unblock geometry, overlay, ground reference or labels."
GB_v2ab_0003,REC,REC_2022_05_24_30,no_explicit_crosswalk,BLOCKED,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,"Schema hardening does not unblock geometry, overlay, ground reference or labels."
GB_v2ab_0004,REC,REC_2022_05_24_30,no_overlay,BLOCKED,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,"Schema hardening does not unblock geometry, overlay, ground reference or labels."
GB_v2ab_0005,REC,REC_2022_05_24_30,no_ground_reference,BLOCKED,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,"Schema hardening does not unblock geometry, overlay, ground reference or labels."
GB_v2ab_0006,REC,REC_2022_05_24_30,no_training_label,BLOCKED,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,"Schema hardening does not unblock geometry, overlay, ground reference or labels."
GB_v2ab_0007,REC,REC_2022_05_24_30,patch_truth_forbidden,BLOCKED,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,"Schema hardening does not unblock geometry, overlay, ground reference or labels."
GB_v2ab_0008,PET,PET_2022_02_15,no_observed_geometry,BLOCKED,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,"Schema hardening does not unblock geometry, overlay, ground reference or labels."
GB_v2ab_0009,PET,PET_2022_02_15,no_occurrence_coordinates,BLOCKED,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,"Schema hardening does not unblock geometry, overlay, ground reference or labels."
GB_v2ab_0010,PET,PET_2022_02_15,no_sentinel_date_linkable,BLOCKED,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,"Schema hardening does not unblock geometry, overlay, ground reference or labels."
GB_v2ab_0011,PET,PET_2022_02_15,no_explicit_crosswalk,BLOCKED,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,"Schema hardening does not unblock geometry, overlay, ground reference or labels."
GB_v2ab_0012,PET,PET_2022_02_15,no_overlay,BLOCKED,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,"Schema hardening does not unblock geometry, overlay, ground reference or labels."
GB_v2ab_0013,PET,PET_2022_02_15,no_ground_reference,BLOCKED,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,"Schema hardening does not unblock geometry, overlay, ground reference or labels."
GB_v2ab_0014,PET,PET_2022_02_15,no_training_label,BLOCKED,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,"Schema hardening does not unblock geometry, overlay, ground reference or labels."
GB_v2ab_0015,PET,PET_2022_02_15,patch_truth_forbidden,BLOCKED,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,"Schema hardening does not unblock geometry, overlay, ground reference or labels."
GB_v2ab_0016,CUR,CUR_2022_01_15,no_observed_geometry,BLOCKED,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,"Schema hardening does not unblock geometry, overlay, ground reference or labels."
GB_v2ab_0017,CUR,CUR_2022_01_15,no_occurrence_coordinates,BLOCKED,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,"Schema hardening does not unblock geometry, overlay, ground reference or labels."
GB_v2ab_0018,CUR,CUR_2022_01_15,no_sentinel_date_linkable,BLOCKED,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,"Schema hardening does not unblock geometry, overlay, ground reference or labels."
GB_v2ab_0019,CUR,CUR_2022_01_15,no_explicit_crosswalk,BLOCKED,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,"Schema hardening does not unblock geometry, overlay, ground reference or labels."
GB_v2ab_0020,CUR,CUR_2022_01_15,no_overlay,BLOCKED,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,"Schema hardening does not unblock geometry, overlay, ground reference or labels."
GB_v2ab_0021,CUR,CUR_2022_01_15,no_ground_reference,BLOCKED,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,"Schema hardening does not unblock geometry, overlay, ground reference or labels."
GB_v2ab_0022,CUR,CUR_2022_01_15,no_training_label,BLOCKED,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,"Schema hardening does not unblock geometry, overlay, ground reference or labels."
GB_v2ab_0023,CUR,CUR_2022_01_15,patch_truth_forbidden,BLOCKED,false,false,false,false,SUPPORT_ONLY,true,true,false,false,true,false,false,false,"Schema hardening does not unblock geometry, overlay, ground reference or labels."
