temporal_population_id,event_patch_candidate_id,patch_id,sentinel_date_status,sentinel_scene_date,date_source_namespace,date_linkability_status,temporal_blocker,sentinel_date_inferred,notes
TSP_v2ac_00000,EPC_v1us_00000,PET_00016,SENTINEL_DATE_RECOVERED_UNLINKABLE_NAMESPACE,,ANCHOR_REFPATCH_NAMESPACE,UNLINKABLE_NAMESPACE,sentinel_date_only_in_parallel_namespace_no_crosswalk,false,Unlinkable cross-namespace dates leave sentinel_scene_date empty; dates are never inferred.
TSP_v2ac_00001,EPC_v1us_00001,PET_00104,SENTINEL_DATE_RECOVERED_UNLINKABLE_NAMESPACE,,ANCHOR_REFPATCH_NAMESPACE,UNLINKABLE_NAMESPACE,sentinel_date_only_in_parallel_namespace_no_crosswalk,false,Unlinkable cross-namespace dates leave sentinel_scene_date empty; dates are never inferred.
TSP_v2ac_00002,EPC_v1us_00002,PET_00119,SENTINEL_DATE_RECOVERED_UNLINKABLE_NAMESPACE,,ANCHOR_REFPATCH_NAMESPACE,UNLINKABLE_NAMESPACE,sentinel_date_only_in_parallel_namespace_no_crosswalk,false,Unlinkable cross-namespace dates leave sentinel_scene_date empty; dates are never inferred.
TSP_v2ac_00003,EPC_v1us_00003,PET_00140,SENTINEL_DATE_RECOVERED_UNLINKABLE_NAMESPACE,,ANCHOR_REFPATCH_NAMESPACE,UNLINKABLE_NAMESPACE,sentinel_date_only_in_parallel_namespace_no_crosswalk,false,Unlinkable cross-namespace dates leave sentinel_scene_date empty; dates are never inferred.
TSP_v2ac_00004,EPC_v1us_00004,PET_00240,SENTINEL_DATE_RECOVERED_UNLINKABLE_NAMESPACE,,ANCHOR_REFPATCH_NAMESPACE,UNLINKABLE_NAMESPACE,sentinel_date_only_in_parallel_namespace_no_crosswalk,false,Unlinkable cross-namespace dates leave sentinel_scene_date empty; dates are never inferred.
TSP_v2ac_00005,EPC_v1us_00005,PET_00257,SENTINEL_DATE_RECOVERED_UNLINKABLE_NAMESPACE,,ANCHOR_REFPATCH_NAMESPACE,UNLINKABLE_NAMESPACE,sentinel_date_only_in_parallel_namespace_no_crosswalk,false,Unlinkable cross-namespace dates leave sentinel_scene_date empty; dates are never inferred.
TSP_v2ac_00006,EPC_v1us_00006,PET_00275,SENTINEL_DATE_RECOVERED_UNLINKABLE_NAMESPACE,,ANCHOR_REFPATCH_NAMESPACE,UNLINKABLE_NAMESPACE,sentinel_date_only_in_parallel_namespace_no_crosswalk,false,Unlinkable cross-namespace dates leave sentinel_scene_date empty; dates are never inferred.
TSP_v2ac_00007,EPC_v1us_00007,PET_00291,SENTINEL_DATE_RECOVERED_UNLINKABLE_NAMESPACE,,ANCHOR_REFPATCH_NAMESPACE,UNLINKABLE_NAMESPACE,sentinel_date_only_in_parallel_namespace_no_crosswalk,false,Unlinkable cross-namespace dates leave sentinel_scene_date empty; dates are never inferred.
TSP_v2ac_00008,EPC_v1us_00008,PET_00315,SENTINEL_DATE_RECOVERED_UNLINKABLE_NAMESPACE,,ANCHOR_REFPATCH_NAMESPACE,UNLINKABLE_NAMESPACE,sentinel_date_only_in_parallel_namespace_no_crosswalk,false,Unlinkable cross-namespace dates leave sentinel_scene_date empty; dates are never inferred.
TSP_v2ac_00009,EPC_v1us_00009,PET_00360,SENTINEL_DATE_RECOVERED_UNLINKABLE_NAMESPACE,,ANCHOR_REFPATCH_NAMESPACE,UNLINKABLE_NAMESPACE,sentinel_date_only_in_parallel_namespace_no_crosswalk,false,Unlinkable cross-namespace dates leave sentinel_scene_date empty; dates are never inferred.
TSP_v2ac_00010,EPC_v1us_00010,PET_00362,SENTINEL_DATE_RECOVERED_UNLINKABLE_NAMESPACE,,ANCHOR_REFPATCH_NAMESPACE,UNLINKABLE_NAMESPACE,sentinel_date_only_in_parallel_namespace_no_crosswalk,false,Unlinkable cross-namespace dates leave sentinel_scene_date empty; dates are never inferred.
