target_id,review_packet_id,event_patch_package_id,candidate_id,region,city,event_date,source_name,source_type,source_url_or_reference,target_origin,search_status,can_create_ground_truth,can_create_patch_truth,can_create_label,can_create_negative,can_train_model,secondary_evidence_is_not_ground_truth,digitization_review_candidate_is_not_label,textual_location_is_not_geometry,official_report_is_not_boundary,quickview_is_not_validated_product,susceptibility_is_not_observed_event,rainfall_is_not_flood_extent,patch_boundary_is_not_event_geometry,raw_data_versioned
TARGET_v2bb_0001,ARP_v2az_0001,FACT_v2at_0001,PET_2022_02_15,Petropolis,Petropolis,2022-02-15,DRM-RJ / NADE / Thalweg,TECHNICAL_REPORT,https://www.rj.gov.br/drm/sites/default/files/arquivos_paginas/RL_09.2022.01-MTDLG-PETROPOLIS.pdf,REUSED_V2BA_AUDITED_SOURCE,REGISTERED_LOCAL_REFERENCE,false,false,false,false,false,true,true,true,true,true,true,true,true,false
TARGET_v2bb_0002,ARP_v2az_0001,FACT_v2at_0001,PET_2022_02_15,Petropolis,Petropolis,2022-02-15,NHESS / Copernicus Image of the Day,ACADEMIC_PAPER,https://nhess.copernicus.org/articles/23/1157/2023/;https://www.copernicus.eu/en/media/image-day-gallery/deadly-landslides-petropolis-brazil,REUSED_V2BA_AUDITED_SOURCE,REGISTERED_LOCAL_REFERENCE,false,false,false,false,false,true,true,true,true,true,true,true,true,false
TARGET_v2bb_0003,ARP_v2az_0001,FACT_v2at_0001,PET_2022_02_15,Petropolis,Petropolis,2022-02-15,Defesa Civil municipal/estadual,CIVIL_DEFENSE,MANUAL_REFERENCE,EXPANDED_SECONDARY_TARGET,PENDING_SECONDARY_REVIEW,false,false,false,false,false,true,true,true,true,true,true,true,true,false
TARGET_v2bb_0004,ARP_v2az_0001,FACT_v2at_0001,PET_2022_02_15,Petropolis,Petropolis,2022-02-15,Prefeitura e secretarias municipais,MUNICIPAL_OFFICIAL,MANUAL_REFERENCE,EXPANDED_SECONDARY_TARGET,PENDING_SECONDARY_REVIEW,false,false,false,false,false,true,true,true,true,true,true,true,true,false
TARGET_v2bb_0005,ARP_v2az_0001,FACT_v2at_0001,PET_2022_02_15,Petropolis,Petropolis,2022-02-15,Boletins oficiais e relatorios de ocorrencia,OFFICIAL_BULLETIN,MANUAL_REFERENCE,EXPANDED_SECONDARY_TARGET,PENDING_SECONDARY_REVIEW,false,false,false,false,false,true,true,true,true,true,true,true,true,false
TARGET_v2bb_0006,ARP_v2az_0001,FACT_v2at_0001,PET_2022_02_15,Petropolis,Petropolis,2022-02-15,Portal de transparencia e noticias oficiais,OFFICIAL_NEWS,MANUAL_REFERENCE,EXPANDED_SECONDARY_TARGET,PENDING_SECONDARY_REVIEW,false,false,false,false,false,true,true,true,true,true,true,true,true,false
TARGET_v2bb_0007,ARP_v2az_0001,FACT_v2at_0001,PET_2022_02_15,Petropolis,Petropolis,2022-02-15,Materias jornalisticas datadas,JOURNALISTIC,MANUAL_REFERENCE,EXPANDED_SECONDARY_TARGET,PENDING_SECONDARY_REVIEW,false,false,false,false,false,true,true,true,true,true,true,true,true,false
TARGET_v2bb_0008,ARP_v2az_0001,FACT_v2at_0001,PET_2022_02_15,Petropolis,Petropolis,2022-02-15,Cemaden alerta/estacao/ocorrencia,CEMADEN,https://mapainterativo.cemaden.gov.br/,EXPANDED_SECONDARY_TARGET,PENDING_SECONDARY_REVIEW,false,false,false,false,false,true,true,true,true,true,true,true,true,false
TARGET_v2bb_0009,ARP_v2az_0001,FACT_v2at_0001,PET_2022_02_15,Petropolis,Petropolis,2022-02-15,ANA HidroWeb componente hidrologico,ANA_HIDROWEB,https://www.snirh.gov.br/hidroweb/,EXPANDED_SECONDARY_TARGET,PENDING_SECONDARY_REVIEW,false,false,false,false,false,true,true,true,true,true,true,true,true,false
TARGET_v2bb_0010,ARP_v2az_0001,FACT_v2at_0001,PET_2022_02_15,Petropolis,Petropolis,2022-02-15,SGB CPRM contexto de risco,SUSCEPTIBILITY,https://geosgb.sgb.gov.br/,EXPANDED_SECONDARY_TARGET,PENDING_SECONDARY_REVIEW,false,false,false,false,false,true,true,true,true,true,true,true,true,false
TARGET_v2bb_0011,ARP_v2az_0001,FACT_v2at_0001,PET_2022_02_15,Petropolis,Petropolis,2022-02-15,Copernicus EMS produto,COPERNICUS,https://emergency.copernicus.eu/mapping/,EXPANDED_SECONDARY_TARGET,PENDING_SECONDARY_REVIEW,false,false,false,false,false,true,true,true,true,true,true,true,true,false
TARGET_v2bb_0012,ARP_v2az_0001,FACT_v2at_0001,PET_2022_02_15,Petropolis,Petropolis,2022-02-15,International Charter product vs quickview,INTERNATIONAL_CHARTER,https://disasterscharter.org/,EXPANDED_SECONDARY_TARGET,PENDING_SECONDARY_REVIEW,false,false,false,false,false,true,true,true,true,true,true,true,true,false
TARGET_v2bb_0013,ARP_v2az_0001,FACT_v2at_0001,PET_2022_02_15,Petropolis,Petropolis,2022-02-15,Sentinel VHR apoio visual,REVIEW_VISUAL,MANUAL_REFERENCE,EXPANDED_SECONDARY_TARGET,PENDING_SECONDARY_REVIEW,false,false,false,false,false,true,true,true,true,true,true,true,true,false
TARGET_v2bb_0014,ARP_v2az_0002,FACT_v2at_0002,CTB_2023_10_28_30,Curitiba,Curitiba,2023-10-28,Prefeitura de Curitiba,OFFICIAL_MUNICIPAL,https://www.curitiba.pr.gov.br/noticias/prefeitura-de-curitiba-atende-familias-atingidas-pelas-chuvas-por-toda-a-cidade/70975,REUSED_V2BA_AUDITED_SOURCE,REGISTERED_LOCAL_REFERENCE,false,false,false,false,false,true,true,true,true,true,true,true,true,false
TARGET_v2bb_0015,ARP_v2az_0002,FACT_v2at_0002,CTB_2023_10_28_30,Curitiba,Curitiba,2023-10-28,Prefeitura de Curitiba - limpeza pós-evento,OFFICIAL_MUNICIPAL,https://www.curitiba.pr.gov.br/noticias/equipes-da-prefeitura-de-curitiba-continuam-limpeza-das-ruas-apos-as-chuvas-do-fim-de-semana/70977,REUSED_V2BA_AUDITED_SOURCE,REGISTERED_LOCAL_REFERENCE,false,false,false,false,false,true,true,true,true,true,true,true,true,false
TARGET_v2bb_0016,ARP_v2az_0002,FACT_v2at_0002,CTB_2023_10_28_30,Curitiba,Curitiba,2023-10-28,Defesa Civil municipal/estadual,CIVIL_DEFENSE,MANUAL_REFERENCE,EXPANDED_SECONDARY_TARGET,PENDING_SECONDARY_REVIEW,false,false,false,false,false,true,true,true,true,true,true,true,true,false
TARGET_v2bb_0017,ARP_v2az_0002,FACT_v2at_0002,CTB_2023_10_28_30,Curitiba,Curitiba,2023-10-28,Prefeitura e secretarias municipais,MUNICIPAL_OFFICIAL,MANUAL_REFERENCE,EXPANDED_SECONDARY_TARGET,PENDING_SECONDARY_REVIEW,false,false,false,false,false,true,true,true,true,true,true,true,true,false
TARGET_v2bb_0018,ARP_v2az_0002,FACT_v2at_0002,CTB_2023_10_28_30,Curitiba,Curitiba,2023-10-28,Boletins oficiais e relatorios de ocorrencia,OFFICIAL_BULLETIN,MANUAL_REFERENCE,EXPANDED_SECONDARY_TARGET,PENDING_SECONDARY_REVIEW,false,false,false,false,false,true,true,true,true,true,true,true,true,false
TARGET_v2bb_0019,ARP_v2az_0002,FACT_v2at_0002,CTB_2023_10_28_30,Curitiba,Curitiba,2023-10-28,Portal de transparencia e noticias oficiais,OFFICIAL_NEWS,MANUAL_REFERENCE,EXPANDED_SECONDARY_TARGET,PENDING_SECONDARY_REVIEW,false,false,false,false,false,true,true,true,true,true,true,true,true,false
TARGET_v2bb_0020,ARP_v2az_0002,FACT_v2at_0002,CTB_2023_10_28_30,Curitiba,Curitiba,2023-10-28,Materias jornalisticas datadas,JOURNALISTIC,MANUAL_REFERENCE,EXPANDED_SECONDARY_TARGET,PENDING_SECONDARY_REVIEW,false,false,false,false,false,true,true,true,true,true,true,true,true,false
TARGET_v2bb_0021,ARP_v2az_0002,FACT_v2at_0002,CTB_2023_10_28_30,Curitiba,Curitiba,2023-10-28,Cemaden alerta/estacao/ocorrencia,CEMADEN,https://mapainterativo.cemaden.gov.br/,EXPANDED_SECONDARY_TARGET,PENDING_SECONDARY_REVIEW,false,false,false,false,false,true,true,true,true,true,true,true,true,false
TARGET_v2bb_0022,ARP_v2az_0002,FACT_v2at_0002,CTB_2023_10_28_30,Curitiba,Curitiba,2023-10-28,ANA HidroWeb componente hidrologico,ANA_HIDROWEB,https://www.snirh.gov.br/hidroweb/,EXPANDED_SECONDARY_TARGET,PENDING_SECONDARY_REVIEW,false,false,false,false,false,true,true,true,true,true,true,true,true,false
TARGET_v2bb_0023,ARP_v2az_0002,FACT_v2at_0002,CTB_2023_10_28_30,Curitiba,Curitiba,2023-10-28,SGB CPRM contexto de risco,SUSCEPTIBILITY,https://geosgb.sgb.gov.br/,EXPANDED_SECONDARY_TARGET,PENDING_SECONDARY_REVIEW,false,false,false,false,false,true,true,true,true,true,true,true,true,false
TARGET_v2bb_0024,ARP_v2az_0002,FACT_v2at_0002,CTB_2023_10_28_30,Curitiba,Curitiba,2023-10-28,Copernicus EMS produto,COPERNICUS,https://emergency.copernicus.eu/mapping/,EXPANDED_SECONDARY_TARGET,PENDING_SECONDARY_REVIEW,false,false,false,false,false,true,true,true,true,true,true,true,true,false
TARGET_v2bb_0025,ARP_v2az_0002,FACT_v2at_0002,CTB_2023_10_28_30,Curitiba,Curitiba,2023-10-28,International Charter product vs quickview,INTERNATIONAL_CHARTER,https://disasterscharter.org/,EXPANDED_SECONDARY_TARGET,PENDING_SECONDARY_REVIEW,false,false,false,false,false,true,true,true,true,true,true,true,true,false
TARGET_v2bb_0026,ARP_v2az_0002,FACT_v2at_0002,CTB_2023_10_28_30,Curitiba,Curitiba,2023-10-28,Sentinel VHR apoio visual,REVIEW_VISUAL,MANUAL_REFERENCE,EXPANDED_SECONDARY_TARGET,PENDING_SECONDARY_REVIEW,false,false,false,false,false,true,true,true,true,true,true,true,true,false
TARGET_v2bb_0027,ARP_v2az_0004,FACT_v2at_0004,PET_2022_03_20_21,Petropolis,Petropolis,2022-03-20,DRM-RJ relatório técnico,TECHNICAL_REPORT,https://www.rj.gov.br/drm/sites/default/files/arquivos_paginas/RL_09.2022.01-MTDLG-PETROPOLIS.pdf,REUSED_V2BA_AUDITED_SOURCE,REGISTERED_LOCAL_REFERENCE,false,false,false,false,false,true,true,true,true,true,true,true,true,false
