gap_id,event_id,gap_name,current_status,evidence_support,blocking_severity,required_action,target_institution,can_be_resolved_by_programming,can_be_resolved_by_formal_request,can_be_resolved_by_human_review,notes
GAP_v1ug_0000,PET_2022_02_15,event_date_confirmed,PASS,date=2022-02-15,LOW,Confirm event dates from official registry,,true,false,false,
GAP_v1ug_0001,PET_2022_02_15,official_source_traceable,PASS,Source registry v1uc/v1ud established,LOW,Verify all sources have official citation,,true,false,false,
GAP_v1ug_0002,PET_2022_02_15,hydromet_temporal_anchor,PASS,INMET series extracted; hydromet_level=BLOCKED_PHENOMENON_SEPARATION_REQUIRED,MEDIUM,Acquire official hydromet series for event window,CEMADEN|ANA_HIDROWEB,true,true,false,
GAP_v1ug_0003,PET_2022_02_15,official_station_coordinates,PASS,FROM_OFFICIAL_CATALOG via INMET API,MEDIUM,Resolve official station coordinates from catalog,INMET_BDMEP|ANA_HIDROWEB,true,false,false,
GAP_v1ug_0004,PET_2022_02_15,phenomenon_type_confirmed,FAIL,hazard_scope=mixed,HIGH,Identify and document hazard type from official report,SGB_CPRM|DEFESA_CIVIL,false,true,true,
GAP_v1ug_0005,PET_2022_02_15,phenomenon_separated,FAIL,Evento misto — separação inundação/deslizamento necessária,CRITICAL,Separate flood from landslide in evidence,SGB_CPRM|DRM_RJ_NADE,false,true,true,
GAP_v1ug_0006,PET_2022_02_15,locality_confirmed,PASS,city=Petrópolis,HIGH,Identify affected localities (bairro/rua/coordinate),DEFESA_CIVIL|COMPDEC,false,true,true,
GAP_v1ug_0007,PET_2022_02_15,observed_geometry_available,FAIL,No observed geometry acquired (requires formal request),CRITICAL,Obtain observed geometry (polygon/point of occurrence),DEFESA_CIVIL|SGB_CPRM|COMPDEC,false,true,false,
GAP_v1ug_0008,PET_2022_02_15,geometry_crs_available,NOT_APPLICABLE,Geometry not yet available,HIGH,Obtain CRS for observed geometry,DEFESA_CIVIL|SGB_CPRM,false,true,true,
GAP_v1ug_0009,PET_2022_02_15,patch_overlay_possible,FAIL,No geometry available — overlay not executable,CRITICAL,Execute patch-evidence overlay (future step),,true,false,false,
GAP_v1ug_0010,PET_2022_02_15,supervisor_review_possible,FAIL,Supervisor review not yet scheduled,HIGH,Schedule human supervisor review,,false,false,true,
GAP_v1ug_0011,PET_2022_02_15,training_label_allowed,FAIL,"Training label always FAIL: no ground reference, no label",CRITICAL,Training label creation — always FAIL this stage,,false,false,false,
GAP_v1ug_0012,PET_2024_03_21_28,event_date_confirmed,PASS,date=2024-03-21,LOW,Confirm event dates from official registry,,true,false,false,
GAP_v1ug_0013,PET_2024_03_21_28,official_source_traceable,PASS,Source registry v1uc/v1ud established,LOW,Verify all sources have official citation,,true,false,false,
GAP_v1ug_0014,PET_2024_03_21_28,hydromet_temporal_anchor,PASS,INMET series extracted; hydromet_level=BLOCKED_PHENOMENON_SEPARATION_REQUIRED,MEDIUM,Acquire official hydromet series for event window,CEMADEN|ANA_HIDROWEB,true,true,false,
GAP_v1ug_0015,PET_2024_03_21_28,official_station_coordinates,PASS,FROM_OFFICIAL_CATALOG via INMET API,MEDIUM,Resolve official station coordinates from catalog,INMET_BDMEP|ANA_HIDROWEB,true,false,false,
GAP_v1ug_0016,PET_2024_03_21_28,phenomenon_type_confirmed,FAIL,hazard_scope=mixed,HIGH,Identify and document hazard type from official report,SGB_CPRM|DEFESA_CIVIL,false,true,true,
GAP_v1ug_0017,PET_2024_03_21_28,phenomenon_separated,FAIL,Evento misto — separação inundação/deslizamento necessária,CRITICAL,Separate flood from landslide in evidence,SGB_CPRM|DRM_RJ_NADE,false,true,true,
GAP_v1ug_0018,PET_2024_03_21_28,locality_confirmed,PASS,city=Petrópolis,HIGH,Identify affected localities (bairro/rua/coordinate),DEFESA_CIVIL|COMPDEC,false,true,true,
GAP_v1ug_0019,PET_2024_03_21_28,observed_geometry_available,FAIL,No observed geometry acquired (requires formal request),CRITICAL,Obtain observed geometry (polygon/point of occurrence),DEFESA_CIVIL|SGB_CPRM|COMPDEC,false,true,false,
GAP_v1ug_0020,PET_2024_03_21_28,geometry_crs_available,NOT_APPLICABLE,Geometry not yet available,HIGH,Obtain CRS for observed geometry,DEFESA_CIVIL|SGB_CPRM,false,true,true,
GAP_v1ug_0021,PET_2024_03_21_28,patch_overlay_possible,FAIL,No geometry available — overlay not executable,CRITICAL,Execute patch-evidence overlay (future step),,true,false,false,
GAP_v1ug_0022,PET_2024_03_21_28,supervisor_review_possible,FAIL,Supervisor review not yet scheduled,HIGH,Schedule human supervisor review,,false,false,true,
GAP_v1ug_0023,PET_2024_03_21_28,training_label_allowed,FAIL,"Training label always FAIL: no ground reference, no label",CRITICAL,Training label creation — always FAIL this stage,,false,false,false,
GAP_v1ug_0024,REC_2022_05_24_30,event_date_confirmed,PASS,date=2022-05-24,LOW,Confirm event dates from official registry,,true,false,false,
GAP_v1ug_0025,REC_2022_05_24_30,official_source_traceable,PASS,Source registry v1uc/v1ud established,LOW,Verify all sources have official citation,,true,false,false,
GAP_v1ug_0026,REC_2022_05_24_30,hydromet_temporal_anchor,NEEDS_REVIEW,Series extracted but insufficient coverage: BLOCKED_INSUFFICIENT_COVERAGE,MEDIUM,Acquire official hydromet series for event window,CEMADEN|ANA_HIDROWEB,true,true,false,
GAP_v1ug_0027,REC_2022_05_24_30,official_station_coordinates,PASS,FROM_OFFICIAL_CATALOG via INMET API,MEDIUM,Resolve official station coordinates from catalog,INMET_BDMEP|ANA_HIDROWEB,true,false,false,
GAP_v1ug_0028,REC_2022_05_24_30,phenomenon_type_confirmed,PASS,Single hazard: urban_flooding,HIGH,Identify and document hazard type from official report,SGB_CPRM|DEFESA_CIVIL,false,true,true,
GAP_v1ug_0029,REC_2022_05_24_30,phenomenon_separated,PASS,Single phenomenon — no separation needed,CRITICAL,Separate flood from landslide in evidence,SGB_CPRM|DRM_RJ_NADE,false,true,true,
GAP_v1ug_0030,REC_2022_05_24_30,locality_confirmed,PASS,city=Recife,HIGH,Identify affected localities (bairro/rua/coordinate),DEFESA_CIVIL|COMPDEC,false,true,true,
GAP_v1ug_0031,REC_2022_05_24_30,observed_geometry_available,FAIL,No observed geometry acquired (requires formal request),CRITICAL,Obtain observed geometry (polygon/point of occurrence),DEFESA_CIVIL|SGB_CPRM|COMPDEC,false,true,false,
GAP_v1ug_0032,REC_2022_05_24_30,geometry_crs_available,NOT_APPLICABLE,Geometry not yet available,HIGH,Obtain CRS for observed geometry,DEFESA_CIVIL|SGB_CPRM,false,true,true,
GAP_v1ug_0033,REC_2022_05_24_30,patch_overlay_possible,FAIL,No geometry available — overlay not executable,CRITICAL,Execute patch-evidence overlay (future step),,true,false,false,
GAP_v1ug_0034,REC_2022_05_24_30,supervisor_review_possible,FAIL,Supervisor review not yet scheduled,HIGH,Schedule human supervisor review,,false,false,true,
GAP_v1ug_0035,REC_2022_05_24_30,training_label_allowed,FAIL,"Training label always FAIL: no ground reference, no label",CRITICAL,Training label creation — always FAIL this stage,,false,false,false,
