registry_id,claim_or_guardrail,status,safe_wording,unsafe_wording,source_artifact,why_it_matters,banca_risk_if_wrong
CG_v2am_0000,claim,allowed,camada revisavel de candidatos,ground truth validado,datasets/protocolo_c/v2aj_tcc_protocol_c_claims_matrix.csv,Evidence supports controlled methodological wording only.,Subdeclarar evidencia contextual valida.
CG_v2am_0001,claim,allowed,evidencia contextual,deteccao de enchente,datasets/protocolo_c/v2aj_tcc_protocol_c_claims_matrix.csv,Evidence supports controlled methodological wording only.,Subdeclarar evidencia contextual valida.
CG_v2am_0002,claim,allowed,suporte territorial externo,classe positiva,datasets/protocolo_c/v2aj_tcc_protocol_c_claims_matrix.csv,Evidence supports controlled methodological wording only.,Subdeclarar evidencia contextual valida.
CG_v2am_0003,claim,allowed,uso review-only,label operacional,datasets/protocolo_c/v2aj_tcc_protocol_c_claims_matrix.csv,Evidence supports controlled methodological wording only.,Subdeclarar evidencia contextual valida.
CG_v2am_0004,claim,allowed,sem ground truth operacional patch-level,ground truth validado,datasets/protocolo_c/v2aj_tcc_protocol_c_claims_matrix.csv,Evidence supports controlled methodological wording only.,Subdeclarar evidencia contextual valida.
CG_v2am_0005,claim,allowed,sem label binario,classe positiva,datasets/protocolo_c/v2aj_tcc_protocol_c_claims_matrix.csv,Evidence supports controlled methodological wording only.,Subdeclarar evidencia contextual valida.
CG_v2am_0006,claim,allowed,sem validacao para uso operacional,validacao de inundacao observada,datasets/protocolo_c/v2aj_tcc_protocol_c_claims_matrix.csv,Evidence supports controlled methodological wording only.,Subdeclarar evidencia contextual valida.
CG_v2am_0007,claim,allowed,sem predicao,modelo preditivo,datasets/protocolo_c/v2aj_tcc_protocol_c_claims_matrix.csv,Evidence supports controlled methodological wording only.,Subdeclarar evidencia contextual valida.
CG_v2am_0008,claim,allowed,pacotes aguardando revisao humana,treinamento supervisionado pronto,datasets/protocolo_c/v2aj_tcc_protocol_c_claims_matrix.csv,Evidence supports controlled methodological wording only.,Subdeclarar evidencia contextual valida.
CG_v2am_0009,claim,prohibited,nao afirmar resultado operacional,Protocolo B aberto,datasets/protocolo_c/v2aj_tcc_protocol_c_claims_matrix.csv,Evidence supports controlled methodological wording only.,Overclaim ou promocao indevida de candidato.
CG_v2am_0010,guardrail: sem ground truth operacional patch-level,guardrail,Declarar ausencia de referencia operacional patch-level.,ground truth validado,datasets/protocolo_c/v2ah_ground_truth_search_stop_gate.csv,Define o limite de inferencia defensavel.,Banca pode acusar overclaim se ground truth for afirmado.
CG_v2am_0011,guardrail: promotion_allowed=false,guardrail,Manter candidatos sem promocao operacional.,classe positiva,datasets/protocolo_c/v2ai_safe_promotion_blockers.csv,Impede transformar candidato em verdade.,Promover candidato sem evidencia seria insustentavel.
CG_v2am_0012,guardrail: revisao humana pendente,guardrail,"Tratar revisao como trabalho futuro, nao concluido.",deteccao de enchente,datasets/protocolo_c/v2ai_review_assignment_registry.csv,Evita simular revisao.,Afirmar revisao concluida seria falso.
CG_v2am_0013,guardrail: sem treino/overlay/predicao,guardrail,Manter pipeline read-only e estrutural.,treinamento supervisionado pronto,datasets/protocolo_c/v2ak_safe_language_glossary.csv,Mantem escopo Sentinel-first review-only.,Afirmar modelo preditivo seria overclaim.
