binding_id,anchor_id,asset_id,patch_id,region,sensor,platform,scene_id,acquisition_datetime,cloud_cover,tile_id,geometry_status,geometry_path,bbox,crs,crs_status,binding_strength,binding_evidence_source,binding_evidence_level,conflict_status,stac_status,day10_status,can_stac_dry_run,can_stac_real_next_step,can_crop_private_next_step,can_compute_spectral_features_now,blocking_reason,next_action
MV2_13_BIND_00001,MV2_12_ANCHOR_00001,92505e20b69dd028,CUR_00038,Curitiba,UNKNOWN,UNKNOWN,,,,,BOUNDS_ONLY,outputs_public/mv2_lineage/asset_scene_lineage_manifest.csv,"661730.0,7168160.0,662680.0,7169100.0",EPSG:32722,PRESENT_VALID,BINDING_MEDIUM,lineage_manifest,MANIFEST_PARTIAL,NONE,STAC_BLOCKED_NO_SCENE,DAY10_BLOCKED_NO_SCENE_ID,false,false,false,false,lado_espacial_pronto_mas_sem_scene_id_nem_temporal,recuperar_scene_id_e_datetime_para_este_patch_via_historico_GEE
MV2_13_BIND_00002,MV2_12_ANCHOR_00002,a876d490e5812896,CUR_00249,Curitiba,UNKNOWN,UNKNOWN,,,,,BOUNDS_ONLY,outputs_public/mv2_lineage/asset_scene_lineage_manifest.csv,"662700.0,7173540.0,663650.0,7174480.0",EPSG:32722,PRESENT_VALID,BINDING_MEDIUM,lineage_manifest,MANIFEST_PARTIAL,NONE,STAC_BLOCKED_NO_SCENE,DAY10_BLOCKED_NO_SCENE_ID,false,false,false,false,lado_espacial_pronto_mas_sem_scene_id_nem_temporal,recuperar_scene_id_e_datetime_para_este_patch_via_historico_GEE
MV2_13_BIND_00003,MV2_12_ANCHOR_00003,c61f82fb1021cbfb,CUR_00350,Curitiba,UNKNOWN,UNKNOWN,,,,,BOUNDS_ONLY,outputs_public/mv2_lineage/asset_scene_lineage_manifest.csv,"690710.0,7174960.0,691660.0,7175900.0",EPSG:32722,PRESENT_VALID,BINDING_MEDIUM,lineage_manifest,MANIFEST_PARTIAL,NONE,STAC_BLOCKED_NO_SCENE,DAY10_BLOCKED_NO_SCENE_ID,false,false,false,false,lado_espacial_pronto_mas_sem_scene_id_nem_temporal,recuperar_scene_id_e_datetime_para_este_patch_via_historico_GEE
MV2_13_BIND_00004,MV2_12_ANCHOR_00004,31f6daa6af24b8c6,CUR_00357,Curitiba,UNKNOWN,UNKNOWN,,,,,BOUNDS_ONLY,outputs_public/mv2_lineage/asset_scene_lineage_manifest.csv,"665440.0,7176200.0,666390.0,7177140.0",EPSG:32722,PRESENT_VALID,BINDING_MEDIUM,lineage_manifest,MANIFEST_PARTIAL,NONE,STAC_BLOCKED_NO_SCENE,DAY10_BLOCKED_NO_SCENE_ID,false,false,false,false,lado_espacial_pronto_mas_sem_scene_id_nem_temporal,recuperar_scene_id_e_datetime_para_este_patch_via_historico_GEE
MV2_13_BIND_00005,MV2_12_ANCHOR_00005,f3fa8cabe2db7f58,CUR_00367,Curitiba,UNKNOWN,UNKNOWN,,,,,BOUNDS_ONLY,outputs_public/mv2_lineage/asset_scene_lineage_manifest.csv,"674470.0,7176080.0,675420.0,7177020.0",EPSG:32722,PRESENT_VALID,BINDING_MEDIUM,lineage_manifest,MANIFEST_PARTIAL,NONE,STAC_BLOCKED_NO_SCENE,DAY10_BLOCKED_NO_SCENE_ID,false,false,false,false,lado_espacial_pronto_mas_sem_scene_id_nem_temporal,recuperar_scene_id_e_datetime_para_este_patch_via_historico_GEE
MV2_13_BIND_00006,MV2_12_ANCHOR_00006,72334dc260eeeaf5,CUR_00402,Curitiba,UNKNOWN,UNKNOWN,,,,,BOUNDS_ONLY,outputs_public/mv2_lineage/asset_scene_lineage_manifest.csv,"674480.0,7176980.0,675430.0,7177920.0",EPSG:32722,PRESENT_VALID,BINDING_MEDIUM,lineage_manifest,MANIFEST_PARTIAL,NONE,STAC_BLOCKED_NO_SCENE,DAY10_BLOCKED_NO_SCENE_ID,false,false,false,false,lado_espacial_pronto_mas_sem_scene_id_nem_temporal,recuperar_scene_id_e_datetime_para_este_patch_via_historico_GEE
MV2_13_BIND_00007,MV2_12_ANCHOR_00007,b64b02ca9c474f84,CUR_00409,Curitiba,UNKNOWN,UNKNOWN,,,,,BOUNDS_ONLY,outputs_public/mv2_lineage/asset_scene_lineage_manifest.csv,"680810.0,7176900.0,681750.0,7177840.0",EPSG:32722,PRESENT_VALID,BINDING_MEDIUM,lineage_manifest,MANIFEST_PARTIAL,NONE,STAC_BLOCKED_NO_SCENE,DAY10_BLOCKED_NO_SCENE_ID,false,false,false,false,lado_espacial_pronto_mas_sem_scene_id_nem_temporal,recuperar_scene_id_e_datetime_para_este_patch_via_historico_GEE
MV2_13_BIND_00008,MV2_12_ANCHOR_00008,3d3ea9ef96771937,CUR_00410,Curitiba,UNKNOWN,UNKNOWN,,,,,BOUNDS_ONLY,outputs_public/mv2_lineage/asset_scene_lineage_manifest.csv,"681710.0,7176880.0,682650.0,7177820.0",EPSG:32722,PRESENT_VALID,BINDING_MEDIUM,lineage_manifest,MANIFEST_PARTIAL,NONE,STAC_BLOCKED_NO_SCENE,DAY10_BLOCKED_NO_SCENE_ID,false,false,false,false,lado_espacial_pronto_mas_sem_scene_id_nem_temporal,recuperar_scene_id_e_datetime_para_este_patch_via_historico_GEE
MV2_13_BIND_00009,MV2_12_ANCHOR_00009,dd1f4a04bb7cb6ed,CUR_00413,Curitiba,UNKNOWN,UNKNOWN,,,,,BOUNDS_ONLY,outputs_public/mv2_lineage/asset_scene_lineage_manifest.csv,"684420.0,7176850.0,685360.0,7177790.0",EPSG:32722,PRESENT_VALID,BINDING_MEDIUM,lineage_manifest,MANIFEST_PARTIAL,NONE,STAC_BLOCKED_NO_SCENE,DAY10_BLOCKED_NO_SCENE_ID,false,false,false,false,lado_espacial_pronto_mas_sem_scene_id_nem_temporal,recuperar_scene_id_e_datetime_para_este_patch_via_historico_GEE
MV2_13_BIND_00010,MV2_12_ANCHOR_00010,1bc68ee41a5b4b8a,CUR_00416,Curitiba,UNKNOWN,UNKNOWN,,,,,BOUNDS_ONLY,outputs_public/mv2_lineage/asset_scene_lineage_manifest.csv,"687130.0,7176810.0,688070.0,7177750.0",EPSG:32722,PRESENT_VALID,BINDING_MEDIUM,lineage_manifest,MANIFEST_PARTIAL,NONE,STAC_BLOCKED_NO_SCENE,DAY10_BLOCKED_NO_SCENE_ID,false,false,false,false,lado_espacial_pronto_mas_sem_scene_id_nem_temporal,recuperar_scene_id_e_datetime_para_este_patch_via_historico_GEE
