recovery_id,priority,target_type,related_anchor_id,related_asset_id,related_patch_id,missing_field,recovery_action,expected_source,local_or_external,can_be_done_without_download,blocks_stac_real,blocks_day10,notes
MV2_13_REC_0001,P0,scene_lineage,,,,scene_id,recuperar_historico_de_tasks_GEE,Google Earth Engine task history,local,true,true,true,destrava scene_id+datetime+cloud para os 128 patches espacialmente prontos
MV2_13_REC_0002,P0,export_script,,,,export_script,localizar_script_de_export_GEE,workspace PROJETO / repo,local,true,true,true,fonte do binding cena->asset
MV2_13_REC_0003,P0,scene_lineage,,,,scene_id_in_export,localizar_scene_id_no_export,log/metadata de export GEE,local,true,true,true,vincula asset->cena de forma auditável
MV2_13_REC_0004,P0,temporal,GRUPO_128_MEDIUM,,128_patches,scene_id|acquisition_datetime|cloud_cover,recuperar_temporal_para_128_patches_espacialmente_prontos,GEE export / Copernicus metadata,local,true,true,true,binding MEDIUM: patch+asset+bbox+crs presentes; falta cena+data -> vira dry-run
MV2_13_REC_0005,P1,spatial_binding,MV2_12_ANCHOR_00129,,,asset_id|patch_id|geometry|crs,vincular_cena_a_patch_e_asset_oficial_sem_inferencia_de_tile,lineage manifest + revisão humana,local,true,true,true,cena 20220118T130239_20220118T130322 sem patch/asset; nao auto-juntar por tile
MV2_13_REC_0006,P1,spatial_binding,MV2_12_ANCHOR_00130,,,asset_id|patch_id|geometry|crs,vincular_cena_a_patch_e_asset_oficial_sem_inferencia_de_tile,lineage manifest + revisão humana,local,true,true,true,cena 20220202T130251_20220202T130247 sem patch/asset; nao auto-juntar por tile
MV2_13_REC_0007,P1,spatial_binding,MV2_12_ANCHOR_00131,,,asset_id|patch_id|geometry|crs,vincular_cena_a_patch_e_asset_oficial_sem_inferencia_de_tile,lineage manifest + revisão humana,local,true,true,true,cena 20220202T130251_20220202T130247 sem patch/asset; nao auto-juntar por tile
MV2_13_REC_0008,P1,spatial_binding,MV2_12_ANCHOR_00154,,,asset_id|patch_id|geometry|crs,vincular_cena_a_patch_e_asset_oficial_sem_inferencia_de_tile,lineage manifest + revisão humana,local,true,true,true,cena 20220118T130239_20220118T130322 sem patch/asset; nao auto-juntar por tile
MV2_13_REC_0009,P1,spatial_binding,MV2_12_ANCHOR_00165,,,asset_id|patch_id|geometry|crs,vincular_cena_a_patch_e_asset_oficial_sem_inferencia_de_tile,lineage manifest + revisão humana,local,true,true,true,cena 20220118T130239_20220118T130322 sem patch/asset; nao auto-juntar por tile
MV2_13_REC_0010,P1,spatial_binding,MV2_12_ANCHOR_00170,,,asset_id|patch_id|geometry|crs,vincular_cena_a_patch_e_asset_oficial_sem_inferencia_de_tile,lineage manifest + revisão humana,local,true,true,true,cena 20220118T130239_20220118T130322 sem patch/asset; nao auto-juntar por tile
MV2_13_REC_0011,P1,spatial_binding,MV2_12_ANCHOR_00176,,,asset_id|patch_id|geometry|crs,vincular_cena_a_patch_e_asset_oficial_sem_inferencia_de_tile,lineage manifest + revisão humana,local,true,true,true,cena 20220118T130239_20220118T130322 sem patch/asset; nao auto-juntar por tile
MV2_13_REC_0012,P1,spatial_binding,MV2_12_ANCHOR_00212,,,asset_id|patch_id|geometry|crs,vincular_cena_a_patch_e_asset_oficial_sem_inferencia_de_tile,lineage manifest + revisão humana,local,true,true,true,cena 20220118T130239_20220118T130322 sem patch/asset; nao auto-juntar por tile
MV2_13_REC_0013,P1,spatial_binding,MV2_12_ANCHOR_00213,,,asset_id|patch_id|geometry|crs,vincular_cena_a_patch_e_asset_oficial_sem_inferencia_de_tile,lineage manifest + revisão humana,local,true,true,true,cena 20220202T130251_20220202T130247 sem patch/asset; nao auto-juntar por tile
MV2_13_REC_0014,P1,spatial_binding,MV2_12_ANCHOR_00214,,,asset_id|patch_id|geometry|crs,vincular_cena_a_patch_e_asset_oficial_sem_inferencia_de_tile,lineage manifest + revisão humana,local,true,true,true,cena 20220202T130251_20220202T130247 sem patch/asset; nao auto-juntar por tile
MV2_13_REC_0015,P2,resolve_conflict,MV2_12_ANCHOR_00137,,,conflict_or_invalid_evidence,validar_se_anchor_pertence_ao_patch_ou_descartar,revisão humana,local,true,true,false,conflict_status=INVALID
MV2_13_REC_0016,P2,resolve_conflict,MV2_12_ANCHOR_00265,,,conflict_or_invalid_evidence,validar_se_anchor_pertence_ao_patch_ou_descartar,revisão humana,local,true,true,false,conflict_status=INVALID
MV2_13_REC_0017,P1,native_raster,,,128_patches,native_sentinel_raster,adquirir_GeoTIFF_L2A_com_bandas_apos_scene_id,Copernicus Dataspace / GEE,external,false,true,true,Dia 10 exige raster nativo validado; nunca de PNG/NPZ/DINOv2
