marco,titulo_publico,branch,status,pasta_outputs,relatorio_publico,scripts,schemas,testes,principais_resultados,ground_truth_count,trainable_count,score_v7_count,benchmark_17b_criado,score_v6_alterado,observacao
SUSC-17C,Aquisicao de referencia forte e canarios observacionais,marco/reavaliacao-pos-mapbiomas-sensibilidade-territorial,17C_REFERENCIA_FORTE_ADQUIRIDA_SEM_PATCH_LINK_SUFICIENTE,outputs_public/data/susc_17c_strong_reference_acquisition_canary,outputs_public/reports/SUSC_17C_STRONG_REFERENCE_ACQUISITION_CANARY_REPORT.md,6,7,2,"10 candidatos fortes, 11 geometrias, apenas 1 vinculo patch, viabilidade SAR registrada",0,0,0,false,false,somente revisao; consolidacao metodologica sem novo dado
SUSC-17C5,Resolucao de vinculo geometria para patch,marco/reavaliacao-pos-mapbiomas-sensibilidade-territorial,17C5_PATCH_LINKS_PARCIAIS_SEM_VINCULO_OFICIAL_FORTE,outputs_public/data/susc_17c5_geometry_to_patch_linkage_resolver,outputs_public/reports/SUSC_17C5_GEOMETRY_TO_PATCH_LINKAGE_RESOLVER_REPORT.md,6,5,2,"67 vinculos patch, 5 candidatos fortes, 0 vinculo oficial forte",0,0,0,false,false,somente revisao; consolidacao metodologica sem novo dado
SUSC-17D,Validacao tecnica da evidencia observacional,marco/reavaliacao-pos-mapbiomas-sensibilidade-territorial,17D_VALIDACAO_TECNICA_SEM_PRONTIDAO_BENCHMARK,outputs_public/data/susc_17d_validacao_tecnica_evidencia_observacional,outputs_public/reports/SUSC_17D_VALIDACAO_TECNICA_EVIDENCIA_OBSERVACIONAL.md,3,1,1,cartoes de evidencia e matriz de consistencia; footprint tecnico dos canarios; sem prontidao de benchmark,0,0,0,false,false,somente revisao; consolidacao metodologica sem novo dado
SUSC-17E,Prontidao e calibracao observacional exploratoria,marco/reavaliacao-pos-mapbiomas-sensibilidade-territorial,17E_CALIBRACAO_EXPLORATORIA_REVIEW_ONLY,outputs_public/data/susc_17e_prontidao_calibracao_observacional_exploratoria,outputs_public/reports/SUSC_17E_PRONTIDAO_CALIBRACAO_OBSERVACIONAL_EXPLORATORIA.md,3,1,1,calibracao exploratoria somente revisao; features espectral e chuva presentes; componente fisico ausente bloqueia forte,0,0,0,false,false,somente revisao; consolidacao metodologica sem novo dado
SUSC-17F,Extracao fisica topografica dos canarios,marco/reavaliacao-pos-mapbiomas-sensibilidade-territorial,17F_EXPLORATORIA_APRIMORADA_COM_COMPONENTE_FISICO,outputs_public/data/susc_17f_extracao_fisica_topografica_canarios_observacionais,outputs_public/reports/SUSC_17F_EXTRACAO_FISICA_TOPOGRAFICA_CANARIOS_OBSERVACIONAIS.md,3,1,1,componente fisico por referencia comparativa; 5 canarios; fila de 10 tarefas; extracoes diretas ainda em 0,0,0,0,false,false,somente revisao; consolidacao metodologica sem novo dado
SUSC-17G,Extracao direta de features fisicas dos canarios,marco/reavaliacao-pos-mapbiomas-sensibilidade-territorial,17G_CALIBRACAO_FORTE_REVIEW_ONLY_POSSIVEL,outputs_public/data/susc_17g_extracao_direta_features_fisicas_canarios,outputs_public/reports/SUSC_17G_EXTRACAO_DIRETA_FEATURES_FISICAS_CANARIOS.md,3,1,1,extracao direta DEM GLO-30 e hidrografia; 5 canarios completos; terreno elevado corrige o 17F,0,0,0,false,false,somente revisao; consolidacao metodologica sem novo dado
SUSC-17H,Calibracao observacional forte somente revisao,marco/reavaliacao-pos-mapbiomas-sensibilidade-territorial,17H_CALIBRACAO_FORTE_COM_DIVERGENCIA_FISICA,outputs_public/data/susc_17h_calibracao_observacional_forte_somente_revisao,outputs_public/reports/SUSC_17H_CALIBRACAO_OBSERVACIONAL_FORTE_SOMENTE_REVISAO.md,3,1,1,indice de 5 componentes espelha o score_v6; 0.40-0.47 abaixo da referencia 0.60; divergencia fisica preservada,0,0,0,false,false,somente revisao; consolidacao metodologica sem novo dado
SUSC-17I,Ampliacao regional da amostra observacional,marco/reavaliacao-pos-mapbiomas-sensibilidade-territorial,17I_AMOSTRA_REGIONAL_PARCIAL_COM_FILAS_EXECUTAVEIS,outputs_public/data/susc_17i_ampliacao_regional_amostra_observacional,outputs_public/reports/SUSC_17I_AMPLIACAO_REGIONAL_AMOSTRA_OBSERVACIONAL.md,3,1,1,"Curitiba e Petropolis com 41 candidatos; 0 fortes, 2 parciais em Curitiba, 36 de fenomeno misto em Petropolis",0,0,0,false,false,somente revisao; consolidacao metodologica sem novo dado
SUSC-18A,Execucao da referencia observacional regional,marco/reavaliacao-pos-mapbiomas-sensibilidade-territorial,18A_REFERENCIA_REGIONAL_FORTE_MAIS_FILAS_EXECUTAVEIS,outputs_public/data/susc_18a_execucao_referencia_observacional_regional,outputs_public/reports/SUSC_18A_EXECUCAO_REFERENCIA_OBSERVACIONAL_REGIONAL.md,7,4,2,Recife 5 fortes somente revisao; Curitiba 2 parciais e fila de geometria; Petropolis 29 misto e 1 contextual,0,0,0,false,false,somente revisao; consolidacao metodologica sem novo dado
SUSC-18B,Execucao de geometrias regionais e separacao de fenomeno,marco/reavaliacao-pos-mapbiomas-sensibilidade-territorial,18B_BLOQUEIOS_REGIONAIS_REDUZIDOS_COM_FILAS_EXECUTAVEIS,outputs_public/data/susc_18b_execucao_geometrias_regionais_separacao_fenomeno,outputs_public/reports/SUSC_18B_EXECUCAO_GEOMETRIAS_REGIONAIS_SEPARACAO_FENOMENO.md,7,4,2,Curitiba 54 prelinks region-only e ancora hidrometeorologica sem geometria; Petropolis 1 inundacao 2024 separada,0,0,0,false,false,somente revisao; consolidacao metodologica sem novo dado
SUSC-18C,Aquisicao de geometria oficial de Curitiba,marco/reavaliacao-pos-mapbiomas-sensibilidade-territorial,18C_CURITIBA_GEOMETRIA_AUSENTE_COM_SOLICITACAO_FORMAL,outputs_public/data/susc_18c_aquisicao_geometria_oficial_curitiba,outputs_public/reports/SUSC_18C_AQUISICAO_GEOMETRIA_OFICIAL_CURITIBA.md,7,4,2,geometria oficial de ocorrencia ausente; solicitacao formal preparada; 43 poligonos de patch CUR reais,0,0,0,false,false,somente revisao; consolidacao metodologica sem novo dado
SUSC-18D,Protocolo externo de Curitiba com solicitacao formal,marco/reavaliacao-pos-mapbiomas-sensibilidade-territorial,18D_AGUARDANDO_RESPOSTA_OFICIAL,outputs_public/data/susc_18d_protocolo_externo_curitiba,lacuna_relatorio_ausente,4,0,1,pacote formal enviado ao orgao oficial; aguardando resposta com geometria de ocorrencia,0,0,0,false,false,somente revisao; consolidacao metodologica sem novo dado
SUSC-18E,Footprint tecnico SAR de Curitiba,marco/reavaliacao-pos-mapbiomas-sensibilidade-territorial,18E_PACOTE_GEE_SENTINEL1_PRONTO,outputs_public/data/susc_18e_footprint_tecnico_sar_curitiba,outputs_public/reports/SUSC_18E_FOOTPRINT_TECNICO_SAR_CURITIBA.md,3,1,1,"pacote Sentinel-1 preparado com AOI tecnica, janelas pre e pos evento e script de execucao",0,0,0,false,false,somente revisao; consolidacao metodologica sem novo dado
SUSC-18E2,Execucao controlada Sentinel-1 de Curitiba,marco/reavaliacao-pos-mapbiomas-sensibilidade-territorial,18E2_TAREFAS_GEE_INICIADAS_AGUARDANDO_CONCLUSAO,outputs_public/data/susc_18e2_execucao_controlada_sentinel1_curitiba,outputs_public/reports/SUSC_18E2_EXECUCAO_CONTROLADA_SENTINEL1_CURITIBA.md,3,0,1,"execucao controlada iniciada; Sentinel-1 pre=3 e pos=3; exports de flood_mask, flood_vector e patch_stats iniciados",0,0,0,false,false,somente revisao; consolidacao metodologica sem novo dado
