source_id,region,institution,url,source_type,format,access_method,contains_event_point,contains_event_polygon,contains_address_point,contains_parcel,contains_house_number_range,contains_intersection,contains_street_segment,contains_flood_footprint,priority,download_candidate,reason,review_only
S15ASRC_0000,recife,Prefeitura do Recife - ESIG,https://www.recife.pe.gov.br/arcgis/rest/services,official,json,arcgis_rest,true,false,true,false,false,false,true,true,1,true,ESIG Recife FeatureServer logradouro/endereco/alagamento,true
S15ASRC_0001,recife,Prefeitura do Recife - Dados Abertos,http://dados.recife.pe.gov.br/api/3/action/package_search,official,json,ckan_api,true,false,true,false,false,false,true,false,2,true,"enderecamento, pontos criticos, logradouros e bairros",true
S15ASRC_0002,curitiba,GeoCuritiba / IPPUC,https://geocuritiba.ippuc.org.br/server/rest/services,official,json,arcgis_rest,true,false,true,false,false,false,true,true,1,true,"GeoCuritiba eixos, enderecos, pontos de alagamento",true
S15ASRC_0003,curitiba,Curitiba Dados Abertos,https://dadosabertos.curitiba.pr.gov.br/api/3/action/package_search,official,json,ckan_api,true,false,false,false,false,false,true,true,2,true,"SIAC 156, alagamento e logradouros",true
S15ASRC_0004,petropolis,CPRM/SGB GeoSGB,https://geoportal.sgb.gov.br/server/rest/services,federal,json,arcgis_rest,false,false,false,false,false,false,false,false,1,true,"setores, hidrografia e areas atingidas rastreaveis",true
S15ASRC_0005,petropolis,INEA-RJ,https://inea.maps.arcgis.com,state,html,arcgis_rest,false,true,false,false,false,false,false,true,3,true,vetores estaduais de inundacao/areas atingidas,true
S15ASRC_0006,petropolis,Copernicus EMS,https://emergency.copernicus.eu/mapping/list-of-components/EMSR?,technical,html,portal_html,false,true,false,false,false,false,false,true,4,true,footprints tecnicos rastreaveis para ativacoes de inundacao,true
S15ASRC_0007,petropolis,Dartmouth Flood Observatory,https://floodobservatory.colorado.edu/Archives/index.html,technical,html,portal_html,false,true,false,false,false,false,false,true,5,true,inventario tecnico de footprints de inundacao,true
S15ASRC_0008,curitiba,Curitiba - Dados Abertos,https://dadosabertos.curitiba.pr.gov.br/api/3/action/package_search,official,api,ckan_api,false,false,false,false,false,false,true,false,1,true,herdado do registro oficial 14B: arruamento,true
S15ASRC_0009,curitiba,Curitiba - Dados Abertos,https://dadosabertos.curitiba.pr.gov.br/api/3/action/package_search,official,api,ckan_api,false,false,false,false,false,false,true,false,1,true,herdado do registro oficial 14B: eixo de rua,true
