figure_path,status,source_data,regenerated,visual_problem_detected,change_summary,scientific_role,safe_interpretation,forbidden_interpretation,notes
outputs_public/figures/fig_recife_main_publication_v15_final.png,preserved_main_figure,Figura principal preservada sem alteracao.,false,Nao avaliado para regeneracao; fora do escopo.,Nenhuma alteracao.,"Figura principal de patch, regiao ou suporte tecnico.",Curadoria visual principal no escopo documentado pelo REV-P.,Nao extrapolar para validacao operacional ou ground truth.,Preservada por regra explicita da regeneracao.
outputs_public/figures/fig_curitiba_main_publication_v17.png,preserved_main_figure,Figura principal preservada sem alteracao.,false,Nao avaliado para regeneracao; fora do escopo.,Nenhuma alteracao.,"Figura principal de patch, regiao ou suporte tecnico.",Curadoria visual principal no escopo documentado pelo REV-P.,Nao extrapolar para validacao operacional ou ground truth.,Preservada por regra explicita da regeneracao.
outputs_public/figures/fig_petropolis_main_publication_v17.png,preserved_main_figure,Figura principal preservada sem alteracao.,false,Nao avaliado para regeneracao; fora do escopo.,Nenhuma alteracao.,"Figura principal de patch, regiao ou suporte tecnico.",Curadoria visual principal no escopo documentado pelo REV-P.,Nao extrapolar para validacao operacional ou ground truth.,Preservada por regra explicita da regeneracao.
outputs_public/figures/fig_recife_pe3d_mde_publication.png,preserved_main_figure,Figura principal preservada sem alteracao.,false,Nao avaliado para regeneracao; fora do escopo.,Nenhuma alteracao.,"Figura principal de patch, regiao ou suporte tecnico.",Curadoria visual principal no escopo documentado pelo REV-P.,Nao extrapolar para validacao operacional ou ground truth.,Preservada por regra explicita da regeneracao.
outputs_public/figures/fig_recife_sentinel_technical_publication.png,preserved_main_figure,Figura principal preservada sem alteracao.,false,Nao avaliado para regeneracao; fora do escopo.,Nenhuma alteracao.,"Figura principal de patch, regiao ou suporte tecnico.",Curadoria visual principal no escopo documentado pelo REV-P.,Nao extrapolar para validacao operacional ou ground truth.,Preservada por regra explicita da regeneracao.
outputs_public/figures/dino_knn_neighbor_network_publication.png,regenerated_auxiliary,outputs_public/tables/table_dino_nearest_neighbors.csv,true,Rede com leitura de debug e excesso de arestas/rotulos.,"Regenerada com estilo editorial consistente, rotulos em portugues e nota metodologica.",Vizinhança visual-estrutural para revisão.,Resultado contextual ou visual-estrutural destinado a revisao humana.,"Nao interpretar como classe, predicao, deteccao, validacao de evento ou ground truth.",Versao anterior preservada em outputs_public/appendix_visual_audit/original_auxiliary_figures/dino_knn_neighbor_network_publication.png.
outputs_public/figures/dino_medoids_outliers_publication.png,regenerated_auxiliary,outputs_public/tables/table_dino_medoids.csv | outputs_public/tables/table_dino_outliers.csv,true,"Resumo cru, sem separacao editorial entre medoids e outliers.","Regenerada com estilo editorial consistente, rotulos em portugues e nota metodologica.",Priorização de revisão por centralidade e distinção.,Resultado contextual ou visual-estrutural destinado a revisao humana.,"Nao interpretar como classe, predicao, deteccao, validacao de evento ou ground truth.",Versao anterior preservada em outputs_public/appendix_visual_audit/original_auxiliary_figures/dino_medoids_outliers_publication.png.
outputs_public/figures/dino_pca_projection_publication.png,regenerated_auxiliary,outputs_public/tables/table_dino_pca_coordinates.csv | outputs_public/tables/table_dino_medoids.csv | outputs_public/tables/table_dino_outliers.csv | outputs_public/metrics/dino_pca_summary.csv,true,Projecao com hierarquia visual e anotacoes pouco consistentes.,"Regenerada com estilo editorial consistente, rotulos em portugues e nota metodologica.",Visualização exploratória do espaço latente.,Resultado contextual ou visual-estrutural destinado a revisao humana.,"Nao interpretar como classe, predicao, deteccao, validacao de evento ou ground truth.",Versao anterior preservada em outputs_public/appendix_visual_audit/original_auxiliary_figures/dino_pca_projection_publication.png.
outputs_public/figures/dino_region_neighbor_matrix_publication.png,regenerated_auxiliary,outputs_public/tables/table_dino_region_neighbor_matrix.csv,true,Matriz com acabamento e notas metodologicas insuficientes.,"Regenerada com estilo editorial consistente, rotulos em portugues e nota metodologica.",Síntese regional das vizinhanças DINOv2.,Resultado contextual ou visual-estrutural destinado a revisao humana.,"Nao interpretar como classe, predicao, deteccao, validacao de evento ou ground truth.",Versao anterior preservada em outputs_public/appendix_visual_audit/original_auxiliary_figures/dino_region_neighbor_matrix_publication.png.
outputs_public/figures/dino_similarity_heatmap_publication.png,regenerated_auxiliary,outputs_public/tables/table_dino_similarity_matrix.csv,true,Heatmap com leitura editorial limitada.,"Regenerada com estilo editorial consistente, rotulos em portugues e nota metodologica.",Síntese da similaridade cosseno entre embeddings.,Resultado contextual ou visual-estrutural destinado a revisao humana.,"Nao interpretar como classe, predicao, deteccao, validacao de evento ou ground truth.",Versao anterior preservada em outputs_public/appendix_visual_audit/original_auxiliary_figures/dino_similarity_heatmap_publication.png.
outputs_public/figures/fig_corpus_counts_by_region_status.png,regenerated_auxiliary,outputs_public/tables/table_patch_distribution_by_region.csv | outputs_public/tables/table_corpus_summary.csv,true,Contagens regionais pouco comunicativas.,"Regenerada com estilo editorial consistente, rotulos em portugues e nota metodologica.",Estrutura regional do corpus contextual.,Resultado contextual ou visual-estrutural destinado a revisao humana.,"Nao interpretar como classe, predicao, deteccao, validacao de evento ou ground truth.",Versao anterior preservada em outputs_public/appendix_visual_audit/original_auxiliary_figures/fig_corpus_counts_by_region_status.png.
