file_path,public_role,include_in_public_layer,reason,risk_level,needs_human_review,notes
README.md,Documentação principal de entrada,Sim,Descreve o projeto para qualquer leitor externo,Baixo,Não,Reestruturado na curadoria editorial
outputs_public/README.md,Guia de navegação dos resultados públicos,Sim,Orienta leitura dos artefatos entregues,Baixo,Não,Já adequado
outputs_public/model/NO_OPERATIONAL_TRAINED_MODEL.md,Declaração de ausência de modelo operacional,Sim,Contrato metodológico central; parte da entrega,Baixo,Não,Não alterar
outputs_public/execution_reports/final_delivery_artifact_index.md,Índice de artefatos da entrega,Sim,Lista completa dos 97 artefatos entregues,Baixo,Não,Editado — disclaimers consolidados
outputs_public/execution_reports/final_execution_report.md,Relatório de execução da entrega,Sim,Documenta contagens e resultado da preparação,Baixo,Não,Adequado
outputs_public/execution_reports/final_qa_report.md,Relatório de QA,Sim,Documenta validações executadas,Baixo,Não,Adequado
outputs_public/execution_reports/final_traceability_report.md,Relatório de rastreabilidade,Sim,Documenta origem dos artefatos e cadeia de evidência,Baixo,Não,Adequado
outputs_public/execution_reports/final_guardrails_report.md,Relatório de restrições metodológicas,Sim,Declara restrições científicas em vigor,Baixo,Não,Editado — texto humanizado
outputs_public/execution_reports/final_dino_structural_analysis_report.md,Análise estrutural DINOv2,Sim,Descreve resultados da análise de embeddings,Baixo,Não,Adequado
outputs_public/execution_reports/figures_regeneration_report.md,Relatório de regeneração de figuras,Sim,Documenta processo de regeneração,Baixo,Não,Adequado
outputs_public/execution_reports/protocol_c_cross_region_reapplication_report.md,Relatório de reaplicação multiregional do Protocolo C,Sim,Documenta estado por região com tabelas de gates,Baixo,Não,Contém tabelas com status técnicos — adequado
outputs_public/execution_reports/protocol_c_recife_validated_candidate_reference_report.md,Relatório de referência candidata Recife,Sim,Documenta Recife como referência candidata validada,Baixo,Não,Adequado
outputs_public/execution_reports/revp_curitiba_v2ca_v2cg_release_report_v2ch.md,Relatório de release da cadeia Curitiba,Sim,Documenta consolidação da cadeia Curitiba,Baixo,Não,Contém status em inglês — adequado com contexto
outputs_public/execution_reports/revp_curitiba_v2ca_v2cg_commit_checklist_v2ch.md,Checklist de commit Curitiba,Sim,Registro de integridade do commit da cadeia Curitiba,Baixo,Não,Documento técnico interno — manter
outputs_public/execution_reports/revp_tp2_candidate_inventory_report_v2ci.md,Inventário de candidatos TP2,Sim,Documenta 38 candidatos observacionais,Baixo,Não,Adequado
outputs_public/execution_reports/revp_tp2_candidate_priority_report_v2cj.md,Relatório de priorização TP2,Sim,Documenta priorização dos candidatos,Baixo,Não,Adequado
outputs_public/execution_reports/revp_tp2_candidate_commit_checklist_v2ci.md,Checklist de commit TP2,Sim,Registro de integridade do commit TP2,Baixo,Não,Documento técnico interno — manter
outputs_public/execution_reports/revp_external_evidence_acquisition_report_v2co.md,Relatório de aquisição de evidência externa,Sim,Documenta processo de aquisição offline,Baixo,Não,Adequado
outputs_public/execution_reports/revp_external_evidence_gap_matrix_report_v2cn.md,Relatório de lacunas de evidência externa,Sim,38 lacunas documentadas por região,Baixo,Não,Adequado
outputs_public/execution_reports/revp_external_evidence_manifest_report_v2cp.md,Relatório de manifesto de evidência externa,Sim,3 evidências manifestadas públicas,Baixo,Não,Adequado
outputs_public/execution_reports/revp_external_evidence_regional_report_v2cw.md,Leitura regional de prontidão,Sim,Consolida estado de prontidão por região,Baixo,Não,Adequado
outputs_public/execution_reports/revp_external_geospatial_qa_report_v2cq.md,Relatório de QA geoespacial externo,Sim,3 auditorias geoespaciais documentadas,Baixo,Não,Adequado
outputs_public/execution_reports/revp_external_patch_pairing_report_v2cr.md,Relatório de pareamento patch-evidência,Sim,3 pares documentados,Baixo,Não,Adequado
outputs_public/execution_reports/revp_observed_geometry_validation_report_v2cl.md,Validação de geometria observada,Sim,Geometrias candidatas validadas (metadata),Baixo,Não,Adequado
outputs_public/execution_reports/revp_patch_event_replay_report_v2cm.md,Relatório de replay de evento por patch,Sim,Replay sem promoção de rótulo documentado,Baixo,Não,Adequado
outputs_public/execution_reports/revp_real_external_source_seeding_report_v2cs.md,Relatório de semeadura de fontes,Sim,Metadados de fontes externas reais registrados,Baixo,Não,Adequado
outputs_public/execution_reports/revp_source_license_triage_report_v2ct.md,Triagem de licença de fontes,Sim,Licença e redistribuição por fonte documentadas,Baixo,Sim,Verificar licenças antes de redistribuir
outputs_public/execution_reports/revp_v2cj_to_v2cm_integrated_report.md,Relatório integrado v2cj-v2cm,Sim,Sprint de replay e validação,Baixo,Não,Adequado
outputs_public/execution_reports/revp_v2cn_to_v2cr_integrated_report.md,Relatório integrado v2cn-v2cr,Sim,Sprint de aquisição e QA geoespacial,Baixo,Não,Adequado
outputs_public/execution_reports/revp_v2cs_to_v2cw_integrated_report.md,Relatório integrado v2cs-v2cw,Sim,Sprint de registry real e triagem,Baixo,Não,Adequado
outputs_public/execution_reports/revp_auditoria_curadoria_repositorio_publico.md,Auditoria editorial do repositório,Sim,Fase 1 da curadoria,Baixo,Não,Criado na curadoria
outputs_public/execution_reports/revp_relatorio_limpeza_linguagem.md,Relatório de limpeza de linguagem,Sim,Fase 6 da curadoria,Baixo,Não,Criado na curadoria
outputs_public/execution_reports/revp_plano_organizacao_estado_git.md,Diagnóstico do estado Git,Sim,Fase 7 da curadoria,Baixo,Não,Criado na curadoria
outputs_public/execution_reports/revp_relatorio_validacao_curadoria_publica.md,Relatório de validação da curadoria,Sim,Fase 9 da curadoria,Baixo,Não,Criado na curadoria
outputs_public/tables/revp_indice_etapas_publicas.csv,Índice de estágios em CSV,Sim,Fase 4 da curadoria,Baixo,Não,Criado na curadoria
docs/metodologia_cientifica/revp_indice_etapas.md,Índice de estágios em Markdown,Sim,Fase 4 da curadoria,Baixo,Não,Criado na curadoria
docs/metodologia_cientifica/revp_guia_estilo_nomenclatura.md,Guia editorial canônico,Sim,Fase 2 da curadoria,Baixo,Não,Criado na curadoria
outputs_public/logs_summary/protocol_c_current_status_summary.md,Resumo de estado atual do Protocolo C,Sim,Estado metodológico de Recife,Baixo,Não,Editado — humanizado
outputs_public/logs_summary/protocol_c_cross_region_status_summary.md,Resumo multiregional do Protocolo C,Sim,Estado metodológico das 3 regiões,Baixo,Não,Editado — humanizado
outputs_public/logs_summary/pytest_summary.txt,Resumo de testes executados,Sim,Evidência de execução da suíte de testes,Baixo,Não,Log leve — adequado
outputs_public/logs_summary/guardrail_validation_summary.txt,Resumo de validação de guardrails,Sim,Evidência de validação metodológica,Baixo,Não,Log leve — adequado
outputs_public/figures/fig_recife_main_publication_v15_final.png,Figura principal validada de Recife,Sim,Figura de publicação principal,Baixo,Não,Não alterar — figura validada
outputs_public/figures/fig_petropolis_main_publication_v17.png,Figura regional Petrópolis,Sim,Figura de publicação regional,Baixo,Não,Não alterar
outputs_public/figures/fig_curitiba_main_publication_v17.png,Figura regional Curitiba,Sim,Figura de publicação regional,Baixo,Não,Não alterar
outputs_public/figures/dino_knn_neighbor_network_publication.png,Grafo de vizinhança k-NN DINOv2,Sim,Resultado estrutural para publicação,Baixo,Não,Não alterar
outputs_public/figures/dino_pca_projection_publication.png,Projeção PCA DINOv2,Sim,Resultado estrutural para publicação,Baixo,Não,Não alterar
outputs_public/figures/dino_medoids_outliers_publication.png,Medoids e outliers DINOv2,Sim,Resultado estrutural para publicação,Baixo,Não,Não alterar
outputs_public/figures/dino_similarity_heatmap_publication.png,Mapa de similaridade DINOv2,Sim,Resultado estrutural para publicação,Baixo,Não,Não alterar
outputs_public/figures/dino_region_neighbor_matrix_publication.png,Matriz de vizinhança regional,Sim,Resultado estrutural para publicação,Baixo,Não,Não alterar
