id_fonte,instituicao,url_origem,url_final_download,status_url_origem,status_url_final,codigo_http_origem,codigo_http_download,download_direto_reprodutivel,origem_publica_institucional,url_oficial_registrada,status_reprodutibilidade,bloqueador_tecnico,observacao
FONTE_NAC_004,IBGE,https://www.ibge.gov.br/geociencias/downloads-geociencias.html,https://servicodados.ibge.gov.br/api/v3/malhas/municipios/{cod}?formato=application/vnd.geo+json&qualidade=intermediaria,responde,responde,200,200,sim,sim,sim,reproduzivel_direto,nenhum,"Endpoint oficial de malhas (3 municipios) responde 200; GeoJSON. Contexto territorial, nao evento."
FONTE_CUR_003,IPPUC / GeoCuritiba,https://geocuritiba.ippuc.org.br/server/rest/services/.../MapServer/54,https://geocuritiba.ippuc.org.br/server/rest/services/GeoCuritiba/Publico_Interno_GeoCuritiba_BaseCartografica_para_MC/MapServer/54/query?where=1=1&outFields=*&outSR=4326&f=geojson,responde,responde,200,200,sim,sim,sim,reproduzivel_direto,fonte_contextual_nao_evento,"ArcGIS REST responde 200 (camada e query). 6 bacias; contexto de drenagem, nao evento observado."
FONTE_NAC_002,ANA - SNIRH/HidroWeb,https://www.snirh.gov.br/hidroweb/,https://arquivos.ana.gov.br/infohidrologicas/InventariodasEstacoesPluviometricas.pdf,responde,responde,200,200,sim,sim,sim,reproduzivel_direto_parcial,requer_selecao_manual_de_estacao_periodo,Inventario PDF responde 200 e content-length bate (4350035). Serie por estacao do Capibaribe exige consulta manual no HidroWeb (nao e arquivo direto).
FONTE_NAC_003,MapBiomas,https://brasil.mapbiomas.org/estatisticas/,https://brasil.mapbiomas.org/wp-content/uploads/sites/4/2026/02/MAPBIOMAS_BRAZIL-COVERAGE_STATISTICS-COL.10.1-DHN250_STATE_BIOME.xlsx,responde,responde,200,206,sim,sim,sim,reproduzivel_direto,fonte_contextual_nao_evento,"XLSX direto responde (206 a Range). Uso/cobertura do solo; contexto territorial, nao geometria de evento."
FONTE_PET_005,SGB/CPRM (RIGEO),https://rigeo.sgb.gov.br/handle/doc/15692,https://rigeo.sgb.gov.br/bitstreams/a7728930-5553-40d7-8021-52b6f85c3412/download,responde,responde,200,200,sim_via_get,sim,sim,reproduzivel_direto_via_get,suscetibilidade_nao_evento;risco_landslide_vs_flood;sig_vetorial_pesado_nao_baixado,"Pagina RIGEO 200. Download retorna PDF via GET (HEAD do DSpace devolve stub HTML 751B). Carta de SUSCETIBILIDADE (PDF do mapa), nao evento; mistura deslizamento e inundacao. SIG vetorial 1.8GB nao baixado por tamanho."
FONTE_INT_002,NHESS (Copernicus Publications),https://nhess.copernicus.org/articles/23/1157/2023/,https://nhess.copernicus.org/articles/23/1157/2023/nhess-23-1157-2023.pdf,responde,responde,200,206,sim,sim,sim,reproduzivel_direto,fonte_academica_secundaria_nao_geometria,Artigo academico revisado por pares responde 200/206. Fonte documental secundaria; figuras nao sao geometria auditavel.
FONTE_NAC_001,CEMADEN/MCTI,https://mapainterativo.cemaden.gov.br/,,responde,sem_arquivo_direto,206,NA,nao,sim,sim,nao_reproduzivel_sem_solicitacao,requer_solicitacao_formal;portal_aplicacao_javascript,"Portal vivo (mapa interativo JS). Download pluviometrico depende de formulario que envia link por e-mail. Bloqueio TECNICO (formulario/e-mail), nao licenca. Suscetibilidade nao e evento."
FONTE_NAC_005,APAC,https://www.apac.pe.gov.br,,responde,sem_arquivo_direto,200,404,nao,sim,sim,nao_reproduzivel_sem_navegacao,portal_sem_arquivo_estatico;dados_em_pcd_tempo_real,"Homepage 200; /boletins retorna 404. Portal Joomla/JS sem PDF/CSV estatico de boletim; dados via PCD em tempo real. Bloqueio TECNICO, nao licenca."
FONTE_INT_001,Copernicus EMS Rapid Mapping,https://rapidmapping.emergency.copernicus.eu/,,responde,sem_produto_vetorial_publico,200,NA,nao,sim,sim,nao_reproduzivel_sem_produto,sem_produto_vetorial_publico_para_petropolis;risco_landslide_vs_flood,"Portal vivo (200, app JS). Nenhum produto rapid mapping vetorial publico confirmado para Petropolis (ID EMSR nao confirmado). Bloqueio TECNICO/metodologico, nao licenca."
FONTE_NAC_006,DRM-RJ / NADE,https://www.drm.rj.gov.br,,indisponivel,sem_arquivo_direto,503,NA,nao,sim,sim,nao_reproduzivel_portal_indisponivel,portal_503_indisponivel;requer_solicitacao_formal,"Portal estadual retorna 503. Sem URL direta; requer solicitacao formal. Papel de suscetibilidade coberto por alternativa oficial federal (SGB/CPRM). Bloqueio TECNICO, nao licenca."
