pair_id,candidate_id,patch_id,region,patch_boundary_available,event_geometry_available,intersection_test_possible,intersection_confirmed,tp2_status,tp3_ready,blocking_reason
PAIR_v2ci_0001,ARP_v2az_0005,ARP_v2az_0005,Recife,false,false,false,false,TP2_CANDIDATE_ONLY,false,GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|PROVENIENCIA_INSUFICIENTE|HASH_AUSENTE
PAIR_v2ci_0002,CTB_SEEDS_x3,CTB_SEEDS_x3,Curitiba,false,false,false,false,TP2_BLOCKED,false,GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|PROVENIENCIA_INSUFICIENTE|HASH_AUSENTE
PAIR_v2ci_0003,PET_PACKAGES,PET_PACKAGES,Petropolis,false,false,false,false,TP2_BLOCKED,false,GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|PROVENIENCIA_INSUFICIENTE|HASH_AUSENTE
PAIR_v2ci_0004,758,,Recife,false,false,false,false,TP2_CANDIDATE_ONLY,false,"GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|HASH_AUSENTE|FONTE_REGISTRA:Vector, CRS, redistribution terms, and exact mapped feature type are not confirmed; not automatic flood extent."
PAIR_v2ci_0005,CH758_RECIFE_20220602_001,,Recife,false,false,false,false,TP2_CANDIDATE_ONLY,false,GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|PROVENIENCIA_INSUFICIENTE|HASH_AUSENTE|FONTE_REGISTRA:No manual Charter product file available.
PAIR_v2ci_0006,CH758_OLINDA_20220603_UNTITLED,,Olinda/PE,false,false,false,false,TP2_BLOCKED,false,GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|HASH_AUSENTE|FONTE_REGISTRA:Olinda product presence/date is known; title and product-level metadata were not invented.
PAIR_v2ci_0007,CH758_REMAINING_PRODUCTS_NOT_INVENTORIED,,UNKNOWN,false,false,false,false,TP2_BLOCKED,false,"GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|HASH_AUSENTE|FONTE_REGISTRA:The page reports 51 products, but the remaining product-level records are not inventoried offline."
PAIR_v2ci_0008,CH758_RECIFE_20220602_001,FACT_v2at_0005,Recife,false,false,false,false,TP2_CANDIDATE_ONLY,false,GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|PROVENIENCIA_INSUFICIENTE|HASH_AUSENTE|FONTE_REGISTRA:No manual Charter product file available.
PAIR_v2ci_0009,CTB_2023_10_28_30,FACT_v2at_0002,Curitiba,false,false,false,false,TP2_CANDIDATE_ONLY,false,"GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|PROVENIENCIA_INSUFICIENTE|HASH_AUSENTE|FONTE_REGISTRA:Falta geometria de evento e/ou crosswalk Sentinel explicito; mesmo com tudo explicito, vira READY_FOR_EXTERNAL_VALIDATION, nao ground truth."
PAIR_v2ci_0010,CTB_2022_01_15_16,FACT_v2at_0007,Curitiba,false,false,false,false,TP2_CANDIDATE_ONLY,false,"GEOMETRIA_OBSERVADA_VALIDADA_AUSENTE|CRS_AUSENTE_OU_NAO_CONFIRMADO|PROVENIENCIA_INSUFICIENTE|HASH_AUSENTE|FONTE_REGISTRA:Falta geometria de evento e/ou crosswalk Sentinel explicito; mesmo com tudo explicito, vira READY_FOR_EXTERNAL_VALIDATION, nao ground truth."
