id_fonte,url_origem,tentativa_download,status_download,codigo_http,content_type,tamanho_bytes,caminho_local_quarentena,sha256_arquivo,motivo_falha_ou_bloqueio,data_acesso,observacao
FONTE_REC_001,https://www.recife.pe.gov.br,nao (arquivo ja presente no repositorio),ja_existia_localmente,,application/geo+json,139712,datasets/external_sources/recife_minimal_tp/raw/recife_defesa_civil_risk_areas_geojson.geojson,0f8036b19ec604816dfccd93e7db30dc5b764e411d512faad682def88090bf47,,,Fonte ja existia localmente (git-ignored); SHA256 recalculado.
FONTE_REC_002,https://disasterscharter.org/web/guest/activations/-/article/flood-in-brazil-activation-758-,nao (arquivo ja presente no repositorio),ja_existia_localmente,,application/geo+json,107175,datasets/external_sources/recife_minimal_tp/event_polygon_REC_2022_05_24_30/charter758/derived/event_polygon_REC_2022_05_24_30_charter758_digitized_candidate.geojson,8e833d449effb8378c3f6e8a1e620050c43c5105d93a83e896de2a1800aaa890,,,Fonte ja existia localmente (git-ignored); SHA256 recalculado.
FONTE_REC_003,http://dados.recife.pe.gov.br,nao (arquivo ja presente no repositorio),ja_existia_localmente,,text/csv,18104,local_runs/protocolo_c/v1np/raw/recife_dados_vivos_sedec_f3b3a0ab-ac8f-4fe8-a1cc-c3afdd20081a_001.csv,e26f80ddada0a6c7150925e954ef9c52a743d032e3c91071bf0e8773e8732c48,,,Fonte ja existia localmente (git-ignored); SHA256 recalculado.
FONTE_REC_004,http://dados.recife.pe.gov.br,nao (arquivo ja presente no repositorio),ja_existia_localmente,,text/csv,18578602,local_runs/protocolo_c/v1np/raw/recife_emlurb_156_031c3ad3-265f-4d9c-830a-7d1f85f830fa_007.csv,dd2f31e3f53c3aa92b4084db2cca76a1b654a22e4dbdcf7348c3a2b9107af4fe,,,Fonte ja existia localmente (git-ignored); SHA256 recalculado.
FONTE_PET_001,https://rigeo.sgb.gov.br/handle/doc/22668,nao (arquivo ja presente no repositorio),ja_existia_localmente,,application/pdf,4323850,local_runs/protocolo_c/v1if/raw_official_sources/Relatorio_Tecnico_Petropolis.pdf,45d1a9802c6485709bf39f0d8aafb9af1486529fe6463ab927ee54bcb4215b8f,,2026-05-22,Fonte ja existia localmente (git-ignored); SHA256 recalculado.
FONTE_PET_002,https://rigeo.sgb.gov.br/handle/doc/22668,nao (arquivo ja presente no repositorio),ja_existia_localmente,,application/zip,20944977,local_runs/protocolo_c/v1if/raw_official_sources/anexos_avaliacao_pos_desastre_petropolis_rj_2022.zip,78a185ba06b6f5d420afe5241f41a96e24a9a4196341e14b07c6c5cbd51868d6,,2026-05-22,Fonte ja existia localmente (git-ignored); SHA256 recalculado.
FONTE_PET_003,https://rigeo.sgb.gov.br/handle/doc/22668,nao (arquivo ja presente no repositorio),ja_existia_localmente,,application/pdf,1467536,local_runs/protocolo_c/v1mc/extracted/PKG_V1MC_0001_24be39ae/ANEXO-I-CPRM_Relatório_Petrópolis_19-02-22_Bairro_Mosella.pdf,053fa4cbccac09a65739394f9c65c2849a69cce6f96b2921618f6f7910017559,,2026-05-22,Fonte ja existia localmente (git-ignored); SHA256 recalculado.
FONTE_PET_004,https://www.petropolis.rj.gov.br,nao (arquivo ja presente no repositorio),ja_existia_localmente,,application/pdf,141739,local_runs/protocolo_c/v1na/raw/gazette_issue_2022-02-15_4542_0a45c34e.pdf,3399af178d756a1923eacd4cdec0f905a6ecd9a357efed50b5c200c5b67abdcb,,,Fonte ja existia localmente (git-ignored); SHA256 recalculado.
FONTE_CUR_001,https://www.defesacivil.pr.gov.br,nao (arquivo ja presente no repositorio),ja_existia_localmente,,text/html,118813,local_runs/ground_truth/v2cd/downloaded_sources/SRC_4c0debd1596a.html,8997b1edd6025e46727f0288e5d9b3de44a20caf05a78ef290dc28495e39b958,,2026-06-14,Fonte ja existia localmente (git-ignored); SHA256 recalculado.
FONTE_CUR_002,https://www.defesacivil.pr.gov.br,nao (arquivo ja presente no repositorio),ja_existia_localmente,,application/pdf,580217,local_runs/ground_truth/v2ce/downloaded_onehop_sources/SRC_9b151d28ab38.pdf,4db40582b10238bef6644156aa7f335e7d58846afe0b793577d99a8d2098717d,,2026-06-14,Fonte ja existia localmente (git-ignored); SHA256 recalculado.
FONTE_CUR_003,https://www.ippuc.org.br,sim (probe HTTP https://www.ippuc.org.br),requer_download_manual,200,text/html,,,,"Portal IPPUC/GeoCuritiba retorna HTML; o dataset exige navegacao/selecao humana, sem URL de arquivo direto.",2026-06-18,"Portal IPPUC/GeoCuritiba retorna HTML; o dataset exige navegacao/selecao humana, sem URL de arquivo direto."
FONTE_NAC_001,https://mapainterativo.cemaden.gov.br/,sim (probe HTTP https://mapainterativo.cemaden.gov.br/),requer_download_manual,200,text/html,,,,"CEMADEN Mapa Interativo e aplicacao JavaScript; o download exige interacao humana, nao ha URL de arquivo direto.",2026-06-18,"CEMADEN Mapa Interativo e aplicacao JavaScript; o download exige interacao humana, nao ha URL de arquivo direto."
FONTE_NAC_002,https://www.snirh.gov.br/hidroweb/,sim (probe HTTP https://www.snirh.gov.br/hidroweb/),requer_download_manual,200,text/html,,,,"ANA HidroWeb/SNIRH exige busca por estacao e formulario; a URL retorna HTML de portal, nao o dataset.",2026-06-18,"ANA HidroWeb/SNIRH exige busca por estacao e formulario; a URL retorna HTML de portal, nao o dataset."
FONTE_NAC_003,https://brasil.mapbiomas.org/,sim (probe HTTP https://brasil.mapbiomas.org/),requer_download_manual,200,text/html,,,,"MapBiomas exige selecao de colecao/recorte (Toolkit/GEE ou formulario); a URL retorna HTML, nao o arquivo de cobertura.",2026-06-18,"MapBiomas exige selecao de colecao/recorte (Toolkit/GEE ou formulario); a URL retorna HTML, nao o arquivo de cobertura."
FONTE_NAC_004,https://www.ibge.gov.br/geociencias/downloads-geociencias.html,sim (probe HTTP https://www.ibge.gov.br/geociencias/downloads-geociencias.html),requer_download_manual,200,text/html,,,,IBGE Downloads Geociencias e pagina-indice/FTP; exige navegacao ate o arquivo de malha de setores censitarios.,2026-06-18,IBGE Downloads Geociencias e pagina-indice/FTP; exige navegacao ate o arquivo de malha de setores censitarios.
FONTE_NAC_005,https://www.apac.pe.gov.br,sim (probe HTTP https://www.apac.pe.gov.br),requer_download_manual,200,text/html,,,,APAC retorna portal HTML; os boletins pluviometricos exigem navegacao/selecao de data.,2026-06-18,APAC retorna portal HTML; os boletins pluviometricos exigem navegacao/selecao de data.
FONTE_NAC_006,https://www.drm.rj.gov.br,sim (probe HTTP https://www.drm.rj.gov.br),falha_download,503,,,,,DRM-RJ retornou HTTP 503 (Service Unavailable); alem disso nao ha URL de arquivo direto (requer solicitacao formal).,2026-06-18,DRM-RJ retornou HTTP 503 (Service Unavailable); alem disso nao ha URL de arquivo direto (requer solicitacao formal).
FONTE_INT_001,https://rapidmapping.emergency.copernicus.eu/,sim (probe HTTP https://rapidmapping.emergency.copernicus.eu/),requer_download_manual,200,text/html,,,,Copernicus EMS Rapid Mapping exige selecao da ativacao (EMSR) e download por produto; o ID exato para Petropolis nao foi confirmado.,2026-06-18,Copernicus EMS Rapid Mapping exige selecao da ativacao (EMSR) e download por produto; o ID exato para Petropolis nao foi confirmado.
FONTE_INT_002,https://nhess.copernicus.org/articles/23/1157/2023/,sim (GET https://nhess.copernicus.org/articles/23/1157/2023/nhess-23-1157-2023.pdf),baixado,200,application/pdf,7765136,local_only/evidencias_externas_quarentena/fontes_internacionais/nhess_23_1157_2023_petropolis_fev2022.pdf,a8f1468feb77c412acc8d0e508dc78deaf91fc6f2b53e219496516b902dcfc56,,2026-06-18,"PDF open-access (CC BY 4.0) baixado diretamente; a URL do artigo (HTML) registrada falhou por TLS, mas o PDF canonico do mesmo artigo respondeu 200."
