arquivo,tipo,uso_principal,motivo
README.md,documento_publico,defesa_artigo_slides,"Entrada principal; resume pipeline, limites, estado atual e proximos passos."
docs/estado_metodologico_revp.md,documento_metodologico,defesa_artigo,"Declara ground truth ausente, labels ausentes, negativos ausentes e treino bloqueado."
docs/metodologia_cientifica/revp_narrativa_cientifica_consolidada.md,documento_metodologico,artigo_defesa,"Documento-ancora da narrativa cientifica consolidada."
docs/metodologia_cientifica/revp_indice_etapas.md,indice_metodologico,defesa_slides,"Traduz microversoes internas para marcos legiveis."
docs/metodologia_cientifica/revp_guia_estilo_nomenclatura.md,guia_editorial,defesa_revisao,"Define tom, lingua e politica para nao promover overclaims."
outputs_public/README.md,documento_publico,defesa,"Mapa dos artefatos publicos finais."
outputs_public/model/NO_OPERATIONAL_TRAINED_MODEL.md,documento_publico,defesa,"Declaracao formal de ausencia de modelo supervisionado operacional."
outputs_public/execution_reports/final_delivery_artifact_index.md,indice_publico,defesa_artigo,"Lista artefatos essenciais e separa figuras, tabelas, metricas e relatorios."
outputs_public/execution_reports/final_guardrails_report.md,relatorio_publico,defesa,"Resume restricoes metodologicas centrais."
outputs_public/execution_reports/final_dino_structural_analysis_report.md,relatorio_tecnico,artigo_apendice,"Apoia leitura da analise DINOv2 estrutural."
outputs_public/execution_reports/final_qa_report.md,relatorio_tecnico,defesa_apendice,"Registra QA da entrega publica."
outputs_public/tables/table_corpus_summary.csv,tabela_publica,artigo_slides,"Resume corpus, patches e artefatos."
outputs_public/tables/table_patch_distribution_by_region.csv,tabela_publica,artigo_slides,"Mostra distribuicao regional dos patches."
outputs_public/tables/table_dino_embedding_inventory.csv,tabela_publica,artigo_apendice,"Inventario dos 12 embeddings e hashes."
outputs_public/tables/table_dino_quantitative_summary_by_region.csv,tabela_publica,artigo_apendice,"Resumo quantitativo DINOv2 por regiao."
outputs_public/tables/table_protocol_c_summary.csv,tabela_publica,artigo_defesa,"Estado do Protocolo C e bloqueio por negativos formais."
outputs_public/tables/table_external_evidence_summary.csv,tabela_publica,artigo_apendice,"Resumo de evidencias externas."
outputs_public/tables/table_claims_guardrails_summary.csv,tabela_publica,defesa,"Afirmações permitidas e proibidas."
outputs_public/figures/dino_similarity_heatmap_publication.png,figura,artigo_slides,"Visualizacao de similaridade estrutural."
outputs_public/figures/dino_pca_projection_publication.png,figura,artigo_slides,"Projecao PCA exploratoria."
outputs_public/figures/dino_knn_neighbor_network_publication.png,figura,artigo_slides,"Rede k-NN exploratoria."
outputs_public/figures/fig_methodological_contribution_matrix.png,figura,slides_defesa,"Sintese visual da contribuicao metodologica."
outputs_public/figures/fig_regional_roles_summary.png,figura,slides_defesa,"Sintese dos papeis regionais."
