ordem,proximo_passo,objetivo,pre_condicao,bloqueador_atual,saida_esperada,pode_treinar_modelo,observacao_metodologica
1,Expandir embeddings DINOv2 para pelo menos 30 patches,Aumentar base minima do piloto label-free,Inventario rastreavel de patches e embeddings,Limitacao amostral n=12,Conjunto ampliado de embeddings validos,nao,Expansao ainda nao cria label ou negativo formal
2,Expandir embeddings DINOv2 idealmente para 59 patches,Cobrir o corpus territorial/contextual original,Disponibilidade de assets e sidecars rastreaveis,Cobertura atual restrita a 12 embeddings,Corpus estrutural mais completo,nao,Mesmo com 59 patches a evidencia continua label-free ate revisao formal
3,Registrar multiplas datas Sentinel por patch,Viabilizar futura analise temporal,Metadados de aquisicao por patch,0 patches com 3 ou mais datas uteis,Registro temporal auditavel,nao,Datas devem ser explicitamente rastreaveis e nao inferidas
4,Registrar cobertura de nuvem por asset,Permitir filtro temporal com qualidade minima,Metadados de nuvem por asset,162 patches com metadados de nuvem ausentes,Tabela de cobertura de nuvem por asset,nao,Cobertura ausente bloqueia Trilha A
5,Executar checagem de sanidade de dominio do DINOv2,Avaliar se a topologia visual e coerente com o dominio,Embeddings ampliados e rastreaveis,Amostra atual insuficiente para conclusao forte,Relatorio de sanidade label-free,nao,DINOv2 permanece encoder congelado e nao prova inundacao
6,Formalizar ontologia de labels patch-level,Definir criterios antes de qualquer label operacional,Fontes observacionais e revisao humana,Bloqueio por ausencia de ontologia formal,Documento de ontologia e criterios,nao,Ontologia nao preenche labels automaticamente
7,Formalizar politica de evidencia negativa,Impedir que unknown ou ausencia virem negativo,Fontes negativas formais e criterios de validade,Sem negativos formais rastreaveis,Politica de negativos formais,nao,Curitiba nunca deve ser convertida em negativo formal por contraste
8,Fechar revisao humana e adjudicacao,Separar evidencia contextual de decisao revisada,Fila de revisao e papeis definidos,Decisoes humanas vazias na restauracao v2dz-v2ef,Registro de revisao/adjudicacao,nao,Revisao humana e requisito para qualquer promocao posterior
9,Avaliar feature table multimodal somente depois dos gates anteriores,Verificar viabilidade de tabela integrada sem vazar labels,Gates temporais negativos labels e revisao fechados,Gates metodologicos ainda bloqueados,Plano de feature table auditavel,nao,A tabela multimodal nao deve ser criada antes do fechamento dos bloqueios
10,Avaliar baselines supervisionados leves somente depois dos gates anteriores,Testar hipotese supervisionada apenas se houver base formal,Evidencia formal suficiente e revisao fechada,Nenhum treino supervisionado liberado,Avaliacao futura controlada,nao,No estado atual todo treino supervisionado permanece bloqueado
