camada,status_atual,nivel_maturidade,evidencia_atual,artefatos_suporte,bloqueador_principal,acao_para_evoluir,pode_sustentar_artigo_agora,pode_sustentar_ground_truth_agora,pode_sustentar_treino_agora,observacao_metodologica
restauracao_v2dz_v2ef,restaurada_como_trilha_forense,consolidado_para_contexto,RESTAURACAO_FORENSE_FECHADA_SEM_GROUND_TRUTH_OPERACIONAL,outputs_public/execution_reports/revp_restauracao_manual_v2dz_v2ef.md,nao_fecha_ground_truth_operacional,submeter registros restaurados a revisão humana e overlay patch-evento,true,false,false,"Resolve recuperabilidade e trilha forense, não cria alvo supervisionado."
auditoria_temporal,METADADOS_TEMPORAIS_INSUFICIENTES_TRILHA_B_RECOMENDADA,consolidado_para_contexto,164 patches e 508 assets auditados; Trilha A segue bloqueada.,outputs_public/metrics/revp_auditoria_prontidao_temporal_assets_mv1.json,ausencia_multidata_temporal_e_cloud_cover,registrar múltiplas datas Sentinel e cobertura de nuvem por patch,true,false,false,"Auditoria resolve a decisão A/B, mas bloqueia deslocamento temporal amplo."
validacao_label_free_dinov2,PILOTO_LABEL_FREE_EXPLORATORIO_EXECUTADO,piloto,12 embeddings DINOv2 válidos; decisão PILOTO_LABEL_FREE_COM_LIMITACAO_AMOSTRAL.,outputs_public/metrics/revp_validacao_label_free_evidencia_estrutural_mv1.json,n_embeddings_12,expandir embeddings para pelo menos 30 patches e idealmente 59,true,false,false,"DINOv2 sustenta topologia label-free, não prova inundação."
curadoria_externa,integrada_review_only,consolidado_para_contexto,6 itens potenciais para revisão humana.,outputs_public/tables/revp_integracao_marco_label_free_evidencias_externas_navegacao_mv1.csv,fontes_contextuais_nao_sao_labels,classificar fontes por uso em revisão humana e anti-leakage,true,false,false,"Curadoria externa adiciona contexto, não decisão supervisionada."
downloads_externos,baixados_e_auditados_com_ressalvas,consolidado_para_contexto,8 arquivos baixados com SHA256.,outputs_public/tables/revp_indice_arquivos_baixados_evidencias_externas_mv1.csv,downloads_nao_equivalem_a_label,submeter arquivos baixados a revisão humana e separação label-feature,true,false,false,"Download real reforça rastreabilidade, não autoriza alvo supervisionado."
geometrias_contextuais,candidatas_para_contexto,pronto_para_revisao_humana,6 geometrias candidatas.,outputs_public/tables/revp_indice_geometrias_externas_candidatas_navegacao_mv1.csv,geometria_contextual_nao_e_evento_observado,revisar utilidade para overlay e registrar se representa evento ou contexto,true,false,false,"Pode apoiar leitura territorial futura, sem virar label automaticamente."
eventos_candidatos,candidatos_para_revisao_futura,pronto_para_revisao_humana,8 eventos candidatos.,outputs_public/tables/revp_indice_eventos_externos_candidatos_navegacao_mv1.csv,sem_revisao_humana_e_sem_overlay_patch_evento,adjudicar eventos e separar landslide vs flood,true,false,false,Evento candidato exige revisão humana antes de qualquer promoção.
protocolo_fail_closed,PROTOCOLO_FAIL_CLOSED_FORMALIZADO_SEM_LIBERAR_TREINO,consolidado_para_contexto,Gates G0-G8 formalizados com bloqueio de treino.,outputs_public/execution_reports/revp_protocolo_ground_truth_fail_closed_mv1.md,nenhuma_amostra_aprovada_em_G8,aplicar gates por item da fila de revisão humana,true,false,false,"Protocolo é maturidade metodológica, não liberação de amostras."
ontologia_labels,formalizada_para_estados_futuros,consolidado_para_contexto,7 estados de label futuros documentados.,outputs_public/tables/revp_ontologia_estados_label_mv1.csv,estados_futuros_sem_instancias_aprovadas,aplicar ontologia após revisão humana/adjudicação,true,false,false,Ontologia não preenche labels reais.
politica_negativos,formalizada_sem_negativos_formais,consolidado_para_contexto,Política exige evidência explícita de não inundação.,docs/metodologia_cientifica/revp_politica_evidencia_negativa_mv1.md,sem_negativos_formais,obter evidência explícita e revisão humana para negativos futuros,true,false,false,Ausência de evidência não vira negativo.
anti_leakage,politica_formalizada_sem_aprovacao_por_amostra,consolidado_para_contexto,Fonte de label e fonte de feature devem ser separadas.,docs/metodologia_cientifica/revp_politica_anti_leakage_mv1.md,nenhuma_amostra_auditada_contra_politica,criar matriz label-feature por candidato,true,false,false,Anti-leakage é obrigatório antes de qualquer baseline supervisionado.
revisao_humana,pendente,bloqueado_para_treino,Fila futura criada neste pacote; revisão ainda não executada.,outputs_public/tables/revp_fila_revisao_humana_candidatos_mv1.csv,sem_revisao_humana,executar revisão humana/adjudicação item a item,true,false,false,"Fila é preparação, não decisão operacional."
ground_truth_patch_level,ausente,bloqueado_para_treino,Dashboard fail-closed registra ground truth operacional ausente.,outputs_public/tables/revp_dashboard_bloqueio_treino_ground_truth_mv1.csv,sem_ground_truth_patch_level,"fechar evento, geometria, temporalidade, revisão humana e anti-leakage",true,false,false,Marco review-only mantém ausência explícita.
feature_table_multimodal,nao_liberada,bloqueado_para_treino,Gates G4-G8 seguem bloqueados.,outputs_public/tables/revp_gates_readiness_treino_mv1.csv,feature_table_multimodal_nao_liberada,avaliar somente depois de ground truth real e anti-leakage por amostra,false,false,false,Tabela multimodal antes dos gates criaria risco de circularidade.
treino_supervisionado,bloqueado,bloqueado_para_treino,G8 permanece bloqueado.,outputs_public/metrics/revp_protocolo_ground_truth_fail_closed_mv1.json,treino_supervisionado_bloqueado,não avaliar treino até satisfazer G0-G8,false,false,false,Estado final preserva bloqueio de treino.
