ordem,marco,arquivos_principais,estado_atual,claim_permitido,claim_proibido,proximo_gate
1,Corpus territorial,"README.md;outputs_public/tables/table_corpus_summary.csv;outputs_public/tables/table_patch_distribution_by_region.csv","59 patches consolidados","Corpus territorial/contextual rastreavel","Rotulo operacional de patch","Manter linhagem e escopo"
2,Inventario Sentinel-first,"outputs_public/tables/table_corpus_summary.csv;outputs_public/tables/revp_indice_etapas_publicas.csv","128 assets candidatos","Inventario de entrada reprodutivel","Classe ou alvo supervisionado","Validar disponibilidade local quando reexecutar"
3,DINOv2 congelado,"outputs_public/tables/table_dino_embedding_inventory.csv;outputs_public/figures/dino_*;outputs_public/model/NO_OPERATIONAL_TRAINED_MODEL.md","12 embeddings reais; 768D; 4 por regiao","Analise estrutural exploratoria","Detector, preditor ou acuracia operacional","Ampliar corpus somente sem promover labels"
4,Protocolo C,"outputs_public/tables/table_protocol_c_summary.csv;outputs_public/tables/protocol_c_cross_region_gate_table.csv","Cadeia de evidencia para revisao","Referencia candidata/temporal/contextual","Ground truth operacional","Obter geometria oficial e negativos formais"
5,Busca por ground truth,"docs/estado_metodologico_revp.md;scripts/ground_truth;outputs_public/logs_summary/revp_v2ez_to_v2ff_resumo_limites.csv","Bloqueada","Busca auditavel e fail-closed","Label, negativo formal ou treino liberado","Fonte oficial, CRS, hash, proveniencia, revisao humana"
6,TP2 candidatos e digitalizacao,"outputs_public/tables/revp_tp2_candidate_inventory_v2ci.csv;outputs_public/tables/revp_tp2_candidate_priority_v2cj.csv;outputs_public/tables/saidas_intermediarias/revp_digitization_task_queue_v2ck.csv","Candidatos priorizados e digitalizacao em andamento","Fila de revisao e digitalizacao manual","Evento confirmado em patch","Geometria observada validada com revisao humana"
7,QA geoespacial e replay,"outputs_public/tables/revp_observed_geometry_validation_v2cl.csv;outputs_public/tables/revp_patch_event_replay_v2cm.csv","Replay bloqueavel; sem promocao operacional","Teste estrutural de replay sob gates","Intersecao observada como verdade operacional","Geometria/CRS/proveniencia/hash completos"
8,Evidencia externa multirregional,"outputs_public/tables/revp_external_evidence_gap_matrix_v2cn.csv;outputs_public/tables/revp_external_evidence_manifest_public_v2cp.csv;outputs_public/tables/revp_external_geospatial_qa_v2cq.csv","Fontes auditadas; lacunas explicitadas","Evidencia externa candidata e gap matrix","Substituicao de ground truth","Licenca e geometria oficial validada"
9,Base v2dz-v2ef,"outputs_public/tables/revp_painel_perda_recuperacao_base_original_v2ff.csv;outputs_public/tables/revp_registro_decisao_recuperacao_forense_v2fe.csv","ORIGINAL_BASE_REQUIRES_MANUAL_RESTORE","Decisao de recuperabilidade","Base recuperada automaticamente","Restauracao manual e validacao"
10,Curadoria PT-BR,"README.md;docs/metodologia_cientifica/revp_narrativa_cientifica_consolidada.md;docs/metodologia_cientifica/revp_indice_etapas.md","Camada publica coerente em PT-BR","Narrativa publica tecnica","Alteracao de contratos tecnicos","Revisao pontual dos anexos usados em banca"
