artefato,caminho,tipo,existe,papel_no_marco,fase,status,observacao
revp_restauracao_manual_v2dz_v2ef.md,outputs_public/execution_reports/revp_restauracao_manual_v2dz_v2ef.md,relatorio,true,Sintetiza a restauracao forense v2dz-v2ef,restauracao_forense,INSUMO_EXISTENTE,"Confirma restauracao como trilha forense sem promover ground truth operacional"
revp_restauracao_manual_v2dz_v2ef_candidatos.csv,outputs_public/tables/revp_restauracao_manual_v2dz_v2ef_candidatos.csv,tabela,true,Inventaria candidatos avaliados na restauracao,restauracao_forense,INSUMO_EXISTENTE,"Registra candidatos validos e rejeitados"
revp_restauracao_manual_v2dz_v2ef_validacao.csv,outputs_public/tables/revp_restauracao_manual_v2dz_v2ef_validacao.csv,tabela,true,Registra validacao dos artefatos restaurados,restauracao_forense,INSUMO_EXISTENTE,"Mantem schema hash e guardrails"
revp_restauracao_manual_v2dz_v2ef_manifesto.csv,outputs_public/tables/revp_restauracao_manual_v2dz_v2ef_manifesto.csv,tabela,true,Lista artefatos restaurados e origem,restauracao_forense,INSUMO_EXISTENTE,"Confirma restauracao de dez artefatos"
revp_auditoria_prontidao_temporal_assets_mv1.csv,outputs_public/tables/revp_auditoria_prontidao_temporal_assets_mv1.csv,tabela,true,Audita metadados temporais por patch,auditoria_temporal,INSUMO_EXISTENTE,"Registra 164 patches auditados temporalmente"
revp_auditoria_prontidao_temporal_assets_mv1.md,outputs_public/execution_reports/revp_auditoria_prontidao_temporal_assets_mv1.md,relatorio,true,Explica bloqueio da Trilha A,auditoria_temporal,INSUMO_EXISTENTE,"Conclui metadados temporais insuficientes"
revp_auditoria_prontidao_temporal_assets_mv1.json,outputs_public/metrics/revp_auditoria_prontidao_temporal_assets_mv1.json,metricas,true,Consolida metricas da auditoria temporal,auditoria_temporal,INSUMO_EXISTENTE,"Registra 164 patches 508 assets e 0 elegiveis para deslocamento temporal"
revp_validacao_label_free_evidencia_estrutural_mv1.csv,outputs_public/tables/revp_validacao_label_free_evidencia_estrutural_mv1.csv,tabela,true,Registra amostras e embeddings do piloto label-free,validacao_label_free,INSUMO_EXISTENTE,"Registra 12 embeddings validos"
revp_matriz_topologica_cidades_mv1.csv,outputs_public/tables/revp_matriz_topologica_cidades_mv1.csv,tabela,true,Resume distancias topologicas entre cidades,validacao_label_free,INSUMO_EXISTENTE,"Apoia leitura estrutural sem label"
revp_vizinhos_embeddings_label_free_mv1.csv,outputs_public/tables/revp_vizinhos_embeddings_label_free_mv1.csv,tabela,true,Registra vizinhos mais proximos dos embeddings,validacao_label_free,INSUMO_EXISTENTE,"Apoia topologia dos embeddings"
revp_guardrails_validacao_label_free_mv1.csv,outputs_public/tables/revp_guardrails_validacao_label_free_mv1.csv,tabela,true,Lista guardrails preservados no piloto,validacao_label_free,INSUMO_EXISTENTE,"Mantem bloqueio de labels negativos e treino"
revp_validacao_label_free_evidencia_estrutural_mv1.md,outputs_public/execution_reports/revp_validacao_label_free_evidencia_estrutural_mv1.md,relatorio,true,Sintetiza validacao label-free estrutural,validacao_label_free,INSUMO_EXISTENTE,"Define piloto exploratorio com n=12"
revp_validacao_label_free_evidencia_estrutural_mv1.json,outputs_public/metrics/revp_validacao_label_free_evidencia_estrutural_mv1.json,metricas,true,Consolida metricas do piloto label-free,validacao_label_free,INSUMO_EXISTENTE,"Registra dimensao 768 e distribuicao 4/4/4"
revp_fechamento_marco_validacao_label_free_evidencia_estrutural_mv1.md,outputs_public/execution_reports/revp_fechamento_marco_validacao_label_free_evidencia_estrutural_mv1.md,relatorio,true,Fecha publicamente o marco MV1,fechamento_marco,CRIADO_NESTE_FECHAMENTO,"Consolida estado decisoes guardrails riscos e proximo passo"
revp_manifesto_marco_validacao_label_free_evidencia_estrutural_mv1.csv,outputs_public/tables/revp_manifesto_marco_validacao_label_free_evidencia_estrutural_mv1.csv,tabela,true,Manifesto publico do marco,fechamento_marco,CRIADO_NESTE_FECHAMENTO,"Lista insumos e saidas do fechamento"
revp_fechamento_marco_validacao_label_free_evidencia_estrutural_mv1.json,outputs_public/metrics/revp_fechamento_marco_validacao_label_free_evidencia_estrutural_mv1.json,metricas,true,Metricas consolidadas do marco,fechamento_marco,CRIADO_NESTE_FECHAMENTO,"Registra status do marco e claims permitidos/proibidos"
revp_proximos_passos_pos_marco_label_free_mv1.csv,outputs_public/tables/revp_proximos_passos_pos_marco_label_free_mv1.csv,tabela,true,Checklist publico de proximos passos,fechamento_marco,CRIADO_NESTE_FECHAMENTO,"Define sequencia conservadora antes de qualquer avaliacao supervisionada"
