candidate_patch_id,scene_or_item_id,band_name,stat_name,stat_value
S17C6_CANARY_REC_00001,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B03,mean,8711.7923
S17C6_CANARY_REC_00001,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B03,min,644.0000
S17C6_CANARY_REC_00001,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B03,max,14600.0000
S17C6_CANARY_REC_00001,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B03,valid_pixel_count,9900
S17C6_CANARY_REC_00001,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B04,mean,8289.8744
S17C6_CANARY_REC_00001,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B04,min,534.0000
S17C6_CANARY_REC_00001,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B04,max,14024.0000
S17C6_CANARY_REC_00001,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B04,valid_pixel_count,9900
S17C6_CANARY_REC_00001,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B08,mean,8100.6465
S17C6_CANARY_REC_00001,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B08,min,832.0000
S17C6_CANARY_REC_00001,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B08,max,13232.0000
S17C6_CANARY_REC_00001,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B08,valid_pixel_count,9900
S17C6_CANARY_REC_00001,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B11,mean,4715.6627
S17C6_CANARY_REC_00001,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B11,min,833.0000
S17C6_CANARY_REC_00001,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B11,max,6418.0000
S17C6_CANARY_REC_00001,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B11,valid_pixel_count,9900
