candidate_patch_id,scene_or_item_id,band_name,stat_name,stat_value
S17C6_CANARY_REC_00005,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B03,mean,2506.0298
S17C6_CANARY_REC_00005,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B03,min,370.0000
S17C6_CANARY_REC_00005,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B03,max,8928.0000
S17C6_CANARY_REC_00005,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B03,valid_pixel_count,9900
S17C6_CANARY_REC_00005,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B04,mean,2369.4530
S17C6_CANARY_REC_00005,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B04,min,261.0000
S17C6_CANARY_REC_00005,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B04,max,8592.0000
S17C6_CANARY_REC_00005,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B04,valid_pixel_count,9900
S17C6_CANARY_REC_00005,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B08,mean,3944.2619
S17C6_CANARY_REC_00005,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B08,min,691.0000
S17C6_CANARY_REC_00005,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B08,max,8384.0000
S17C6_CANARY_REC_00005,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B08,valid_pixel_count,9900
S17C6_CANARY_REC_00005,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B11,mean,3131.9310
S17C6_CANARY_REC_00005,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B11,min,691.0000
S17C6_CANARY_REC_00005,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B11,max,6330.0000
S17C6_CANARY_REC_00005,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B11,valid_pixel_count,9900
