candidate_patch_id,scene_or_item_id,band_name,stat_name,stat_value
S17C6_CANARY_REC_00004,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B03,mean,4347.2613
S17C6_CANARY_REC_00004,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B03,min,376.0000
S17C6_CANARY_REC_00004,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B03,max,13840.0000
S17C6_CANARY_REC_00004,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B03,valid_pixel_count,9900
S17C6_CANARY_REC_00004,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B04,mean,4155.1559
S17C6_CANARY_REC_00004,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B04,min,246.0000
S17C6_CANARY_REC_00004,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B04,max,13424.0000
S17C6_CANARY_REC_00004,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B04,valid_pixel_count,9900
S17C6_CANARY_REC_00004,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B08,mean,4536.0877
S17C6_CANARY_REC_00004,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B08,min,508.0000
S17C6_CANARY_REC_00004,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B08,max,12904.0000
S17C6_CANARY_REC_00004,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B08,valid_pixel_count,9900
S17C6_CANARY_REC_00004,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B11,mean,3234.8384
S17C6_CANARY_REC_00004,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B11,min,448.0000
S17C6_CANARY_REC_00004,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B11,max,8394.0000
S17C6_CANARY_REC_00004,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B11,valid_pixel_count,9900
