canonical_patch_id,raw_patch_id,geometry_patch_id,region,mapping_status,designation_status,designation_method,designation_confidence,tif_filename,tif_epsg,tif_bounds_left,tif_bounds_bottom,tif_bounds_right,tif_bounds_top,tif_center_x,tif_center_y,npy_available,v1d_bbox_xmin,v1d_bbox_ymin,v1d_bbox_xmax,v1d_bbox_ymax,v1d_centroid_x,v1d_centroid_y,v1d_bbox_crs,crs_candidate_official,gen_log_qa_final,sel_recommended_action,patch_bound_validated,pixel_reads,spatial_ops,notes
CUR_01,curitiba_00289,CURITIBA_001,Curitiba,MAPPED,NO_MATCHING_SENTINEL_TIF_MAPPED,N/A,NONE,,,,,,,,,False,-49.335475403844114,-25.53822798469805,-49.326492251002925,-25.530122231337888,-49.33098382742352,-25.53417510801797,WGS84_DEGREES,EPSG:31982,,,0/59 LOCKED,0,0,Binding via v1d row order (rank 1 in Curitiba sequence). No sentinel TIF found for raw_patch_id=curitiba_00289. Canonical patch MAPPED but no TIF in patch inventory.
CUR_02,curitiba_00365,CURITIBA_002,Curitiba,MAPPED,NO_MATCHING_SENTINEL_TIF_MAPPED,N/A,NONE,,,,,,,,,False,-49.28157648679694,-25.52201593023458,-49.27259333395576,-25.513909081513447,-49.27708491037635,-25.517962505874014,WGS84_DEGREES,EPSG:31982,,,0/59 LOCKED,0,0,Binding via v1d row order (rank 2 in Curitiba sequence). No sentinel TIF found for raw_patch_id=curitiba_00365. Canonical patch MAPPED but no TIF in patch inventory.
CUR_03,curitiba_00367,CURITIBA_003,Curitiba,MAPPED,DESIGNATED_BY_DETERMINISTIC_ORDER_NEEDS_REVIEW,V1D_ROW_ORDER,MEDIUM,patch_curitiba_00367.tif,32722,674470.0,7176080.0,675420.0,7177020.0,674945.0,7176550.0,True,-49.26361018111456,-25.52201593023458,-49.25462702827336,-25.513909081513447,-49.25911860469396,-25.517962505874014,WGS84_DEGREES,EPSG:31982,PASS,keep_core_visual_subset,0/59 LOCKED,0,0,Binding via v1d row order (rank 3 in Curitiba sequence). TIF header read by v1fl (rasterio header-only; 0 pixel reads). Confidence MEDIUM: row order not spatially verified.
CUR_04,curitiba_00740,CURITIBA_004,Curitiba,MAPPED,DESIGNATED_BY_DETERMINISTIC_ORDER_NEEDS_REVIEW,V1D_ROW_ORDER,MEDIUM,patch_curitiba_00740.tif,32722,663760.0,7186100.0,664700.0,7187040.0,664230.0,7186570.0,True,-49.3714080152089,-25.432810502915068,-49.3624248623677,-25.42469763867977,-49.3669164387883,-25.428754070797417,WGS84_DEGREES,EPSG:31982,PASS,keep_core_visual_subset,0/59 LOCKED,0,0,Binding via v1d row order (rank 4 in Curitiba sequence). TIF header read by v1fl (rasterio header-only; 0 pixel reads). Confidence MEDIUM: row order not spatially verified.
CUR_05,curitiba_00887,CURITIBA_005,Curitiba,MAPPED,DESIGNATED_BY_DETERMINISTIC_ORDER_NEEDS_REVIEW,V1D_ROW_ORDER,MEDIUM,patch_curitiba_00887.tif,32722,670130.0,7189620.0,671070.0,7190560.0,670600.0,7190090.0,True,-49.30852594532053,-25.4003557698139,-49.29954279247934,-25.39224072189192,-49.304034368899934,-25.39629824585291,WGS84_DEGREES,EPSG:31982,PASS,keep_core_visual_subset,0/59 LOCKED,0,0,Binding via v1d row order (rank 5 in Curitiba sequence). TIF header read by v1fl (rasterio header-only; 0 pixel reads). Confidence MEDIUM: row order not spatially verified.
CUR_06,curitiba_00891,CURITIBA_006,Curitiba,MAPPED,NO_MATCHING_SENTINEL_TIF_MAPPED,N/A,NONE,,,,,,,,,False,-49.27259333395576,-25.4003557698139,-49.26361018111456,-25.39224072189192,-49.26810175753516,-25.39629824585291,WGS84_DEGREES,EPSG:31982,,,0/59 LOCKED,0,0,Binding via v1d row order (rank 6 in Curitiba sequence). No sentinel TIF found for raw_patch_id=curitiba_00891. Canonical patch MAPPED but no TIF in patch inventory.
CUR_07,curitiba_00896,CURITIBA_007,Curitiba,MAPPED,NO_MATCHING_SENTINEL_TIF_MAPPED,N/A,NONE,,,,,,,,,False,-49.22767756974977,-25.4003557698139,-49.21869441690858,-25.39224072189192,-49.22318599332918,-25.39629824585291,WGS84_DEGREES,EPSG:31982,,,0/59 LOCKED,0,0,Binding via v1d row order (rank 7 in Curitiba sequence). No sentinel TIF found for raw_patch_id=curitiba_00896. Canonical patch MAPPED but no TIF in patch inventory.
CUR_08,curitiba_00899,NO_GEOMETRY_REGISTRY_ROW,Curitiba,PLACEHOLDER_ONLY,PLACEHOLDER_ONLY_NO_TIF,N/A,NONE,,,,,,,,,False,-49.20072811122619,-25.4003557698139,-49.191744958384994,-25.39224072189192,-49.19623653480559,-25.39629824585291,WGS84_DEGREES,EPSG:31982,,,0/59 LOCKED,0,0,CUR_08-14 are PLACEHOLDER_ONLY in canonical crosswalk (METADATA_PENDING). Raw ID from v1d: curitiba_00899. Physical TIF exists but canonical status is PLACEHOLDER_ONLY; not counted as designation.
CUR_09,curitiba_00926,NO_GEOMETRY_REGISTRY_ROW,Curitiba,PLACEHOLDER_ONLY,PLACEHOLDER_ONLY_NO_TIF,N/A,NONE,,,,,,,,,False,-49.27259333395576,-25.39224072189192,-49.26361018111456,-25.3841251283634,-49.26810175753516,-25.38818292512766,WGS84_DEGREES,EPSG:31982,,,0/59 LOCKED,0,0,CUR_08-14 are PLACEHOLDER_ONLY in canonical crosswalk (METADATA_PENDING). Raw ID from v1d: curitiba_00926. No matching TIF.
CUR_10,curitiba_00929,NO_GEOMETRY_REGISTRY_ROW,Curitiba,PLACEHOLDER_ONLY,PLACEHOLDER_ONLY_NO_TIF,N/A,NONE,,,,,,,,,False,-49.245643875432165,-25.39224072189192,-49.23666072259097,-25.3841251283634,-49.24115229901157,-25.38818292512766,WGS84_DEGREES,EPSG:31982,,,0/59 LOCKED,0,0,CUR_08-14 are PLACEHOLDER_ONLY in canonical crosswalk (METADATA_PENDING). Raw ID from v1d: curitiba_00929. No matching TIF.
CUR_11,curitiba_00930,NO_GEOMETRY_REGISTRY_ROW,Curitiba,PLACEHOLDER_ONLY,PLACEHOLDER_ONLY_NO_TIF,N/A,NONE,,,,,,,,,False,-49.23666072259097,-25.39224072189192,-49.22767756974977,-25.3841251283634,-49.23216914617037,-25.38818292512766,WGS84_DEGREES,EPSG:31982,,,0/59 LOCKED,0,0,CUR_08-14 are PLACEHOLDER_ONLY in canonical crosswalk (METADATA_PENDING). Raw ID from v1d: curitiba_00930. Physical TIF exists but canonical status is PLACEHOLDER_ONLY; not counted as designation.
CUR_12,curitiba_00931,NO_GEOMETRY_REGISTRY_ROW,Curitiba,PLACEHOLDER_ONLY,PLACEHOLDER_ONLY_NO_TIF,N/A,NONE,,,,,,,,,False,-49.22767756974977,-25.39224072189192,-49.21869441690858,-25.3841251283634,-49.22318599332918,-25.38818292512766,WGS84_DEGREES,EPSG:31982,,,0/59 LOCKED,0,0,CUR_08-14 are PLACEHOLDER_ONLY in canonical crosswalk (METADATA_PENDING). Raw ID from v1d: curitiba_00931. No matching TIF.
CUR_13,curitiba_00934,NO_GEOMETRY_REGISTRY_ROW,Curitiba,PLACEHOLDER_ONLY,PLACEHOLDER_ONLY_NO_TIF,N/A,NONE,,,,,,,,,False,-49.20072811122619,-25.39224072189192,-49.191744958384994,-25.3841251283634,-49.19623653480559,-25.38818292512766,WGS84_DEGREES,EPSG:31982,,,0/59 LOCKED,0,0,CUR_08-14 are PLACEHOLDER_ONLY in canonical crosswalk (METADATA_PENDING). Raw ID from v1d: curitiba_00934. Physical TIF exists but canonical status is PLACEHOLDER_ONLY; not counted as designation.
CUR_14,curitiba_00969,NO_GEOMETRY_REGISTRY_ROW,Curitiba,PLACEHOLDER_ONLY,PLACEHOLDER_ONLY_NO_TIF,N/A,NONE,,,,,,,,,False,-49.20072811122619,-25.3841251283634,-49.191744958384994,-25.376008989354474,-49.19623653480559,-25.380067058858938,WGS84_DEGREES,EPSG:31982,,,0/59 LOCKED,0,0,CUR_08-14 are PLACEHOLDER_ONLY in canonical crosswalk (METADATA_PENDING). Raw ID from v1d: curitiba_00969. Physical TIF exists but canonical status is PLACEHOLDER_ONLY; not counted as designation.
PET_01,petropolis_00291,PETROPOLIS_00001,Petropolis,MAPPED,DESIGNATED_BY_DETERMINISTIC_ORDER_NEEDS_REVIEW,V1D_ROW_ORDER,MEDIUM,patch_petropolis_00291.tif,32723,683250.0,7506730.0,684220.0,7507690.0,683735.0,7507210.0,True,-43.217948318990175,-22.53598920896537,-43.208965166148985,-22.527691769614595,-43.213456742569576,-22.531840489289984,WGS84_DEGREES,EPSG:31983,PASS,keep_core_visual_subset,0/59 LOCKED,0,0,Binding via v1d row order (rank 1 in Petropolis sequence). TIF header read by v1fl (rasterio header-only; 0 pixel reads). Confidence MEDIUM: row order not spatially verified. SIG zip: SIG_ZIP_VALID_CONTENT_LISTED_SIZE_MISMATCH_NEEDS_REVIEW (not TRUNCATED).
PET_02,petropolis_00292,PETROPOLIS_00002,Petropolis,MAPPED,NO_MATCHING_SENTINEL_TIF_MAPPED,N/A,NONE,,,,,,,,,False,-43.208965166148985,-22.53598920896537,-43.19998201330779,-22.527691769614595,-43.20447358972839,-22.531840489289984,WGS84_DEGREES,EPSG:31983,,,0/59 LOCKED,0,0,Binding via v1d row order (rank 2 in Petropolis sequence). No sentinel TIF found for raw_patch_id=petropolis_00292. Canonical patch MAPPED but no TIF in patch inventory.
PET_03,petropolis_00293,PETROPOLIS_00003,Petropolis,MAPPED,NO_MATCHING_SENTINEL_TIF_MAPPED,N/A,NONE,,,,,,,,,False,-43.19998201330779,-22.53598920896537,-43.19099886046659,-22.527691769614595,-43.19549043688719,-22.531840489289984,WGS84_DEGREES,EPSG:31983,,,0/59 LOCKED,0,0,Binding via v1d row order (rank 3 in Petropolis sequence). No sentinel TIF found for raw_patch_id=petropolis_00293. Canonical patch MAPPED but no TIF in patch inventory.
PET_04,petropolis_00396,PETROPOLIS_00004,Petropolis,MAPPED,DESIGNATED_BY_DETERMINISTIC_ORDER_NEEDS_REVIEW,V1D_ROW_ORDER,MEDIUM,patch_petropolis_00396.tif,32723,683280.0,7509480.0,684250.0,7510440.0,683765.0,7509960.0,True,-43.217948318990175,-22.511095395749376,-43.208965166148985,-22.50279646152321,-43.213456742569576,-22.50694592863629,WGS84_DEGREES,EPSG:31983,PASS,keep_core_visual_subset,0/59 LOCKED,0,0,Binding via v1d row order (rank 4 in Petropolis sequence). TIF header read by v1fl (rasterio header-only; 0 pixel reads). Confidence MEDIUM: row order not spatially verified. SIG zip: SIG_ZIP_VALID_CONTENT_LISTED_SIZE_MISMATCH_NEEDS_REVIEW (not TRUNCATED).
PET_05,petropolis_00397,PETROPOLIS_00005,Petropolis,MAPPED,DESIGNATED_BY_DETERMINISTIC_ORDER_NEEDS_REVIEW,V1D_ROW_ORDER,MEDIUM,patch_petropolis_00397.tif,32723,684210.0,7509470.0,685170.0,7510430.0,684690.0,7509950.0,True,-43.208965166148985,-22.511095395749376,-43.19998201330779,-22.50279646152321,-43.20447358972839,-22.50694592863629,WGS84_DEGREES,EPSG:31983,PASS,keep_core_visual_subset,0/59 LOCKED,0,0,Binding via v1d row order (rank 5 in Petropolis sequence). TIF header read by v1fl (rasterio header-only; 0 pixel reads). Confidence MEDIUM: row order not spatially verified. SIG zip: SIG_ZIP_VALID_CONTENT_LISTED_SIZE_MISMATCH_NEEDS_REVIEW (not TRUNCATED).
PET_06,petropolis_00398,PETROPOLIS_00006,Petropolis,MAPPED,NO_MATCHING_SENTINEL_TIF_MAPPED,N/A,NONE,,,,,,,,,False,-43.19998201330779,-22.511095395749376,-43.19099886046659,-22.50279646152321,-43.19549043688719,-22.50694592863629,WGS84_DEGREES,EPSG:31983,,,0/59 LOCKED,0,0,Binding via v1d row order (rank 6 in Petropolis sequence). No sentinel TIF found for raw_patch_id=petropolis_00398. Canonical patch MAPPED but no TIF in patch inventory.
PET_07,petropolis_00436,PETROPOLIS_00007,Petropolis,MAPPED,NO_MATCHING_SENTINEL_TIF_MAPPED,N/A,NONE,,,,,,,,,False,-43.1730325547842,-22.50279646152321,-43.16404940194301,-22.49449702929361,-43.16854097836361,-22.498646745408408,WGS84_DEGREES,EPSG:31983,,,0/59 LOCKED,0,0,Binding via v1d row order (rank 7 in Petropolis sequence). No sentinel TIF found for raw_patch_id=petropolis_00436. Canonical patch MAPPED but no TIF in patch inventory.
PET_08,petropolis_00471,PETROPOLIS_00008,Petropolis,MAPPED,NO_MATCHING_SENTINEL_TIF_MAPPED,N/A,NONE,,,,,,,,,False,-43.1730325547842,-22.49449702929361,-43.16404940194301,-22.486197099204848,-43.16854097836361,-22.490347064249228,WGS84_DEGREES,EPSG:31983,,,0/59 LOCKED,0,0,Binding via v1d row order (rank 8 in Petropolis sequence). No sentinel TIF found for raw_patch_id=petropolis_00471. Canonical patch MAPPED but no TIF in patch inventory.
