candidate_patch_id,scene_or_item_id,band_name,stat_name,stat_value
S17C6_CANARY_REC_00004,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B03,mean,1120.7809
S17C6_CANARY_REC_00004,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B03,min,3.0000
S17C6_CANARY_REC_00004,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B03,max,8416.0000
S17C6_CANARY_REC_00004,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B03,valid_pixel_count,9900
S17C6_CANARY_REC_00004,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B04,mean,1079.3067
S17C6_CANARY_REC_00004,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B04,min,1.0000
S17C6_CANARY_REC_00004,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B04,max,7608.0000
S17C6_CANARY_REC_00004,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B04,valid_pixel_count,9900
S17C6_CANARY_REC_00004,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B08,mean,2939.8507
S17C6_CANARY_REC_00004,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B08,min,332.0000
S17C6_CANARY_REC_00004,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B08,max,7232.0000
S17C6_CANARY_REC_00004,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B08,valid_pixel_count,9900
S17C6_CANARY_REC_00004,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B11,mean,2367.3683
S17C6_CANARY_REC_00004,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B11,min,656.0000
S17C6_CANARY_REC_00004,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B11,max,6012.0000
S17C6_CANARY_REC_00004,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B11,valid_pixel_count,9900
