candidate_patch_id,scene_or_item_id,band_name,stat_name,stat_value
S17C6_CANARY_REC_00005,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B03,mean,3516.3176
S17C6_CANARY_REC_00005,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B03,min,155.0000
S17C6_CANARY_REC_00005,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B03,max,9944.0000
S17C6_CANARY_REC_00005,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B03,valid_pixel_count,9900
S17C6_CANARY_REC_00005,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B04,mean,3278.9709
S17C6_CANARY_REC_00005,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B04,min,125.0000
S17C6_CANARY_REC_00005,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B04,max,9392.0000
S17C6_CANARY_REC_00005,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B04,valid_pixel_count,9900
S17C6_CANARY_REC_00005,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B08,mean,4497.6265
S17C6_CANARY_REC_00005,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B08,min,710.0000
S17C6_CANARY_REC_00005,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B08,max,8728.0000
S17C6_CANARY_REC_00005,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B08,valid_pixel_count,9900
S17C6_CANARY_REC_00005,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B11,mean,3902.6317
S17C6_CANARY_REC_00005,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B11,min,1157.0000
S17C6_CANARY_REC_00005,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B11,max,8454.0000
S17C6_CANARY_REC_00005,S2B_MSIL1C_20220601T124319_N0510_R009_T25MBM_20240612T164504.SAFE,B11,valid_pixel_count,9900
