score_replay_readiness_update_id,canary_patch_id,previous_score_replay_status_17c35,topography_hydrology_component_status,normalization_population_reconstructed,urban_component_available,veg_component_available,rain_component_available,evidence_component_status,can_compute_topography_component,can_compute_full_score_v6_replay,score_replay_status_after_17c36,blocking_reason,not_official_score,does_not_replace_score_v6,review_only
S17C33_RDYU_0001,S17C33_EAC_0001,partial_components_only_topography_blocked,reconstructed_not_proven_equivalent,true,true,true,true,occurrence_not_used_as_feature,true,false,topography_reconstructed_score_final_blocked_on_method_equivalence,score final exige metodo comprovadamente equivalente ao original (DEM/algoritmo/unidade); reconstruido != provado equivalente,true,true,true
S17C33_RDYU_0002,S17C33_EAC_0002,partial_components_only_topography_blocked,reconstructed_not_proven_equivalent,true,true,true,true,occurrence_not_used_as_feature,true,false,topography_reconstructed_score_final_blocked_on_method_equivalence,score final exige metodo comprovadamente equivalente ao original (DEM/algoritmo/unidade); reconstruido != provado equivalente,true,true,true
S17C33_RDYU_0003,S17C33_EAC_0003,partial_components_only_topography_blocked,reconstructed_not_proven_equivalent,true,true,true,true,occurrence_not_used_as_feature,true,false,topography_reconstructed_score_final_blocked_on_method_equivalence,score final exige metodo comprovadamente equivalente ao original (DEM/algoritmo/unidade); reconstruido != provado equivalente,true,true,true
S17C33_RDYU_0004,S17C33_EAC_0004,partial_components_only_topography_blocked,reconstructed_not_proven_equivalent,true,true,true,true,occurrence_not_used_as_feature,true,false,topography_reconstructed_score_final_blocked_on_method_equivalence,score final exige metodo comprovadamente equivalente ao original (DEM/algoritmo/unidade); reconstruido != provado equivalente,true,true,true
S17C33_RDYU_0005,S17C33_EAC_0005,partial_components_only_topography_blocked,reconstructed_not_proven_equivalent,true,true,true,true,occurrence_not_used_as_feature,true,false,topography_reconstructed_score_final_blocked_on_method_equivalence,score final exige metodo comprovadamente equivalente ao original (DEM/algoritmo/unidade); reconstruido != provado equivalente,true,true,true
S17C33_RDYU_0006,S17C33_EAC_0006,partial_components_only_topography_blocked,reconstructed_not_proven_equivalent,true,true,true,true,occurrence_not_used_as_feature,true,false,topography_reconstructed_score_final_blocked_on_method_equivalence,score final exige metodo comprovadamente equivalente ao original (DEM/algoritmo/unidade); reconstruido != provado equivalente,true,true,true
S17C33_RDYU_0007,S17C33_EAC_0007,partial_components_only_topography_blocked,reconstructed_not_proven_equivalent,true,true,true,true,occurrence_not_used_as_feature,true,false,topography_reconstructed_score_final_blocked_on_method_equivalence,score final exige metodo comprovadamente equivalente ao original (DEM/algoritmo/unidade); reconstruido != provado equivalente,true,true,true
S17C33_RDYU_0008,S17C33_EAC_0008,partial_components_only_topography_blocked,reconstructed_not_proven_equivalent,true,true,true,true,occurrence_not_used_as_feature,true,false,topography_reconstructed_score_final_blocked_on_method_equivalence,score final exige metodo comprovadamente equivalente ao original (DEM/algoritmo/unidade); reconstruido != provado equivalente,true,true,true
S17C33_RDYU_0009,S17C33_EAC_0009,partial_components_only_topography_blocked,reconstructed_not_proven_equivalent,true,true,true,true,occurrence_not_used_as_feature,true,false,topography_reconstructed_score_final_blocked_on_method_equivalence,score final exige metodo comprovadamente equivalente ao original (DEM/algoritmo/unidade); reconstruido != provado equivalente,true,true,true
S17C33_RDYU_0010,S17C33_EAC_0010,partial_components_only_topography_blocked,reconstructed_not_proven_equivalent,true,true,true,true,occurrence_not_used_as_feature,true,false,topography_reconstructed_score_final_blocked_on_method_equivalence,score final exige metodo comprovadamente equivalente ao original (DEM/algoritmo/unidade); reconstruido != provado equivalente,true,true,true
S17C33_RDYU_0011,S17C33_EAC_0011,partial_components_only_topography_blocked,reconstructed_not_proven_equivalent,true,true,true,true,occurrence_not_used_as_feature,true,false,topography_reconstructed_score_final_blocked_on_method_equivalence,score final exige metodo comprovadamente equivalente ao original (DEM/algoritmo/unidade); reconstruido != provado equivalente,true,true,true
