node_id,node_type,object_id,candidate_patch_id,event_id,review_only,trainable,ground_truth
S17C27_NODE_0001,source_artifact,S17C27_ART_0003,apac_pernambuco,REC_2022_05_24_30,true,false,false
S17C27_NODE_0002,source_artifact,S17C27_ART_0004,cemaden,REC_2022_05_24_30,true,false,false
S17C27_NODE_0003,source_artifact,S17C27_ART_0005,sgb_cprm,REC_2022_05_24_30,true,false,false
S17C27_NODE_0004,source_artifact,S17C27_ART_0006,noticias_locais_apenas_triagem,REC_2022_05_24_30,true,false,false
S17C27_NODE_0005,parsed_artifact,S17C27_PARSE_0001,all_candidate_patches,REC_2022_05_24_30,true,false,false
S17C27_NODE_0006,parsed_artifact,S17C27_PARSE_0002,all_candidate_patches,REC_2022_05_24_30,true,false,false
S17C27_NODE_0007,parsed_artifact,S17C27_PARSE_0003,all_candidate_patches,REC_2022_05_24_30,true,false,false
S17C27_NODE_0008,parsed_artifact,S17C27_PARSE_0004,all_candidate_patches,REC_2022_05_24_30,true,false,false
S17C27_NODE_0009,observed_event_candidate,S17C27_OEC_0001,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true,false,false
S17C27_NODE_0010,location_resolution,S17C27_LOC_0001,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true,false,false
S17C27_NODE_0011,phenomenon_classification,S17C27_PHEN_0001,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true,false,false
S17C27_NODE_0012,g4_evaluation,S17C27_G4_0001,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true,false,false
S17C27_NODE_0013,g5_evaluation,S17C27_G5_0001,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true,false,false
S17C27_NODE_0014,ground_reference_candidate_evaluation,S17C27_GRCE_0001,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true,false,false
