blocker_id,blocker_code,description,blocks_17b,blocks_score_v7,blocks_training,review_only,trainable,ground_truth
S17C10_BLOCKER_001,formal_requests_not_submitted,formal requests not submitted,true,true,true,true,false,false
S17C10_BLOCKER_002,responses_not_received,responses not received,true,true,true,true,false,false
S17C10_BLOCKER_003,candidate_specific_artifacts_missing,candidate specific artifacts missing,true,true,true,true,false,false
S17C10_BLOCKER_004,candidate_patch_policy_missing,candidate patch policy missing,true,true,true,true,false,false
S17C10_BLOCKER_005,pipeline_adapters_missing,pipeline adapters missing,true,true,true,true,false,false
S17C10_BLOCKER_006,official_patch_id_dependency,official patch id dependency,true,true,true,true,false,false
S17C10_BLOCKER_007,sentinel2_tile_missing,sentinel2 tile missing,true,true,true,true,false,false
S17C10_BLOCKER_008,embedding_tile_missing,embedding tile missing,true,true,true,true,false,false
S17C10_BLOCKER_009,sar_runtime_missing,sar runtime missing,true,true,true,true,false,false
S17C10_BLOCKER_010,qa_not_accepted,qa not accepted,true,true,true,true,false,false
S17C10_BLOCKER_011,17b_blocked_until_real_features_and_policy,17b blocked until real features and policy,true,true,true,true,false,false
