reason_id,category,statement,applies_to,review_only
NGT-01,conceito,suscetibilidade nao e evento observado,score_v6/features,true
NGT-02,conceito,score nao e ground truth,score_v6/score_v7,true
NGT-03,fonte,noticia/alerta/area de risco nao e patch positivo,event_record/footprint,true
NGT-04,logica,ausencia de registro nao e negativo verdadeiro,unlabeled,true
NGT-05,sensor,Sentinel-1/SAR pode gerar/confirmar footprint mas nao vira verdade automatica,footprint,true
NGT-06,fonte,area de risco nao pode virar evento ocorrido,risk_area_not_event,true
NGT-07,geometria,municipio/bairro atingido nao vira patch atingido,patch_link,true
NGT-08,temporal,footprint pos-evento nao vira feature pre-evento,footprint/features,true
NGT-09,qualidade,evidencia observacional so e referencia review-only com qualidade suficiente,score_evaluation,true
NGT-10,fonte,alerta nao pode virar evento observado,alert_only,true
NGT-11,escopo,REV-P nao preve enchentes operacionalmente; produz analise estrutural review-only,projeto,true
NGT-12,fenomeno,"Petropolis exige separacao entre flood, flash_flood, landslide e mixed_flood_landslide",event_record,true
