edge_id,source_node_id,target_node_id,edge_type,candidate_patch_id,event_id,review_only
S17C27_EDGE_0001,S17C27_NODE_0005,S17C27_NODE_0001,parsed_from_source_artifact,all_candidate_patches,REC_2022_05_24_30,true
S17C27_EDGE_0002,S17C27_NODE_0006,S17C27_NODE_0002,parsed_from_source_artifact,all_candidate_patches,REC_2022_05_24_30,true
S17C27_EDGE_0003,S17C27_NODE_0007,S17C27_NODE_0003,parsed_from_source_artifact,all_candidate_patches,REC_2022_05_24_30,true
S17C27_EDGE_0004,S17C27_NODE_0008,S17C27_NODE_0004,parsed_from_source_artifact,all_candidate_patches,REC_2022_05_24_30,true
S17C27_EDGE_0005,S17C27_NODE_0009,S17C27_NODE_0008,candidate_from_parsed_artifact,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true
S17C27_EDGE_0006,S17C27_NODE_0010,S17C27_NODE_0009,location_of_candidate,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true
S17C27_EDGE_0007,S17C27_NODE_0011,S17C27_NODE_0009,phenomenon_of_candidate,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true
S17C27_EDGE_0008,S17C27_NODE_0012,S17C27_NODE_0009,g4_evaluation_of_candidate,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true
S17C27_EDGE_0009,S17C27_NODE_0013,S17C27_NODE_0009,g5_evaluation_of_candidate,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true
S17C27_EDGE_0010,S17C27_NODE_0014,S17C27_NODE_0009,ground_reference_evaluation_of_candidate,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true
