blocker_id,blocker_code,description,blocks_17b,blocks_score_v7,blocks_training,review_only,trainable,ground_truth
S17C9_BLOCKER_001,candidate_specific_artifacts_missing,faltam artefatos candidato-especificos para features reais,true,true,true,true,false,false
S17C9_BLOCKER_002,candidate_patch_policy_missing,nao ha politica aceita para usar grade candidata em score ou 17B,true,true,true,true,false,false
S17C9_BLOCKER_003,pipeline_adapters_missing,pipelines existentes exigem adapter para geojson/bbox candidato,true,true,true,true,false,false
S17C9_BLOCKER_004,official_patch_id_dependency,pipelines tabulares atuais dependem de patch oficial ou matriz oficial,true,true,true,true,false,false
S17C9_BLOCKER_005,sentinel2_tile_missing,tile Sentinel-2 real candidato-especifico nao existe,true,true,true,true,false,false
S17C9_BLOCKER_006,embedding_tile_missing,tile real para DINO/SatMAE nao existe,true,true,true,true,false,false
S17C9_BLOCKER_007,sar_runtime_missing,SAR continua fora de escopo e sem runtime/credencial,true,true,true,true,false,false
S17C9_BLOCKER_008,qa_not_accepted,links candidatos e evidencias ainda nao sao QA-accepted,true,true,true,true,false,false
S17C9_BLOCKER_009,p0_official_packages_missing,pacotes P0 de DEM/HAND/drenagem faltam,true,true,true,true,false,false
S17C9_BLOCKER_010,17b_blocked_until_real_features_and_policy,"17B exige features reais, proveniencia, QA e politica",true,true,true,true,false,false
