model_card_id,experiment_id,model_or_method_name,task_type,training_status,intended_use,forbidden_use,input_features,known_limitations,uses_labels,uses_ground_truth,review_only
S18B_CARD_0001,EXP01_pca_2d,pca_2d,dimensionality_reduction,completed,exploracao visual review-only da estrutura multimodal,previsao/classe/risco/ground truth,elevation_mean;slope_mean;HAND_value;TWI_value;TPI_250m_value;distance_to_official_drainage_m;distance_to_official_water_m;urban_prop;vegetation_prop;water_prop;NDVI_mean;NDWI_mean;MNDWI_mean;NDBI_mean;B03_mean;B04_mean;B08_mean;B11_mean;chirps_3d_sum;chirps_7d_sum;chirps_30d_sum,escala nao-oficial; sem label; missingness imputada(0) flagada,false,false,true
S18B_CARD_0002,EXP02_truncated_svd_5d,truncated_svd_5d,dimensionality_reduction,completed,embedding tabular review-only,target de treino/score,elevation_mean;slope_mean;HAND_value;TWI_value;TPI_250m_value;distance_to_official_drainage_m;distance_to_official_water_m;urban_prop;vegetation_prop;water_prop;NDVI_mean;NDWI_mean;MNDWI_mean;NDBI_mean;B03_mean;B04_mean;B08_mean;B11_mean;chirps_3d_sum;chirps_7d_sum;chirps_30d_sum,componentes latentes nao interpretaveis como risco,false,false,true
S18B_CARD_0003,EXP03_kmeans_k5,kmeans_k5,clustering,completed,agrupamento multimodal exploratorio,chamar cluster de classe/previsao,elevation_mean;slope_mean;HAND_value;TWI_value;TPI_250m_value;distance_to_official_drainage_m;distance_to_official_water_m;urban_prop;vegetation_prop;water_prop;NDVI_mean;NDWI_mean;MNDWI_mean;NDBI_mean;B03_mean;B04_mean;B08_mean;B11_mean;chirps_3d_sum;chirps_7d_sum;chirps_30d_sum,k arbitrario; cluster != classe; sensivel a missingness,false,false,true
S18B_CARD_0004,EXP04_kmeans_k8,kmeans_k8,clustering,completed,agrupamento multimodal exploratorio,chamar cluster de risco,elevation_mean;slope_mean;HAND_value;TWI_value;TPI_250m_value;distance_to_official_drainage_m;distance_to_official_water_m;urban_prop;vegetation_prop;water_prop;NDVI_mean;NDWI_mean;MNDWI_mean;NDBI_mean;B03_mean;B04_mean;B08_mean;B11_mean;chirps_3d_sum;chirps_7d_sum;chirps_30d_sum,k arbitrario; review-only,false,false,true
S18B_CARD_0005,EXP05_outlier_distance_to_centroid,outlier_distance_centroid,outlier_detection,completed,detectar patches multimodais incomuns,chamar outlier de risco/evento,elevation_mean;slope_mean;HAND_value;TWI_value;TPI_250m_value;distance_to_official_drainage_m;distance_to_official_water_m;urban_prop;vegetation_prop;water_prop;NDVI_mean;NDWI_mean;MNDWI_mean;NDBI_mean;B03_mean;B04_mean;B08_mean;B11_mean;chirps_3d_sum;chirps_7d_sum;chirps_30d_sum,"outlier=incomum, NAO risco; sensivel a escala",false,false,true
S18B_CARD_0006,EXP06_similarity_topk,similarity_topk,similarity_search,completed,vizinhanca multimodal p/ triagem,chamar similaridade de ground truth,elevation_mean;slope_mean;HAND_value;TWI_value;TPI_250m_value;distance_to_official_drainage_m;distance_to_official_water_m;urban_prop;vegetation_prop;water_prop;NDVI_mean;NDWI_mean;MNDWI_mean;NDBI_mean;B03_mean;B04_mean;B08_mean;B11_mean;chirps_3d_sum;chirps_7d_sum;chirps_30d_sum,distancia euclidiana review-only,false,false,true
S18B_CARD_0007,SUP_logistic_regression,logistic_regression,supervised_classification,blocked_no_labels,reservado p/ treino futuro com labels aceitos,treinar sem ground reference aceito,elevation_mean;slope_mean;HAND_value;TWI_value;TPI_250m_value;distance_to_official_drainage_m;distance_to_official_water_m;urban_prop;vegetation_prop;water_prop;NDVI_mean;NDWI_mean;MNDWI_mean;NDBI_mean;B03_mean;B04_mean;B08_mean;B11_mean;chirps_3d_sum;chirps_7d_sum;chirps_30d_sum,harness existe mas NAO treina; sem labels,false,false,true
S18B_CARD_0008,SUP_random_forest,random_forest,supervised_classification,blocked_no_labels,reservado p/ treino futuro,treinar sem labels/pseudo-label,elevation_mean;slope_mean;HAND_value;TWI_value;TPI_250m_value;distance_to_official_drainage_m;distance_to_official_water_m;urban_prop;vegetation_prop;water_prop;NDVI_mean;NDWI_mean;MNDWI_mean;NDBI_mean;B03_mean;B04_mean;B08_mean;B11_mean;chirps_3d_sum;chirps_7d_sum;chirps_30d_sum,fail-closed,false,false,true
S18B_CARD_0009,SUP_gradient_boosting_or_xgboost,gradient_boosting_or_xgboost,supervised_classification,blocked_no_labels,reservado p/ treino futuro,treinar sem labels,elevation_mean;slope_mean;HAND_value;TWI_value;TPI_250m_value;distance_to_official_drainage_m;distance_to_official_water_m;urban_prop;vegetation_prop;water_prop;NDVI_mean;NDWI_mean;MNDWI_mean;NDBI_mean;B03_mean;B04_mean;B08_mean;B11_mean;chirps_3d_sum;chirps_7d_sum;chirps_30d_sum,fail-closed,false,false,true
S18B_CARD_0010,SUP_linear_svm,linear_svm,supervised_classification,blocked_no_labels,reservado p/ treino futuro,treinar sem labels,elevation_mean;slope_mean;HAND_value;TWI_value;TPI_250m_value;distance_to_official_drainage_m;distance_to_official_water_m;urban_prop;vegetation_prop;water_prop;NDVI_mean;NDWI_mean;MNDWI_mean;NDBI_mean;B03_mean;B04_mean;B08_mean;B11_mean;chirps_3d_sum;chirps_7d_sum;chirps_30d_sum,fail-closed,false,false,true
