plan_id,geometry_target_id,step_order,action_pt,expected_artifact_pt,success_criteria_pt,fail_closed_outcome_pt,manual_review_required,can_be_automated_future,requires_network_future,requires_official_source_future,requires_sar_future
GPL_00001,GEO_0001,1,manter como contexto/bloqueado; sem aquisicao geometrica neste marco,nenhum artefato de aquisicao neste marco,registro preservado como contexto auditavel,"permanece review-only, sem promocao e sem treino",true,false,false,false,false
GPL_00002,GEO_0002,1,manter como contexto/bloqueado; sem aquisicao geometrica neste marco,nenhum artefato de aquisicao neste marco,registro preservado como contexto auditavel,"permanece review-only, sem promocao e sem treino",true,false,false,false,false
GPL_00003,GEO_0003,1,manter como contexto/bloqueado; sem aquisicao geometrica neste marco,nenhum artefato de aquisicao neste marco,registro preservado como contexto auditavel,"permanece review-only, sem promocao e sem treino",true,false,false,false,false
GPL_00004,GEO_0004,1,manter como contexto/bloqueado; sem aquisicao geometrica neste marco,nenhum artefato de aquisicao neste marco,registro preservado como contexto auditavel,"permanece review-only, sem promocao e sem treino",true,false,false,false,false
GPL_00005,GEO_0005,1,manter como contexto/bloqueado; sem aquisicao geometrica neste marco,nenhum artefato de aquisicao neste marco,registro preservado como contexto auditavel,"permanece review-only, sem promocao e sem treino",true,false,false,false,false
GPL_00006,GEO_0006,1,manter como contexto/bloqueado; sem aquisicao geometrica neste marco,nenhum artefato de aquisicao neste marco,registro preservado como contexto auditavel,"permanece review-only, sem promocao e sem treino",true,false,false,false,false
GPL_00007,GEO_0007,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00008,GEO_0007,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00009,GEO_0007,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00010,GEO_0008,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00011,GEO_0008,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00012,GEO_0008,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00013,GEO_0009,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00014,GEO_0009,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00015,GEO_0009,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00016,GEO_0010,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00017,GEO_0010,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00018,GEO_0010,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00019,GEO_0011,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00020,GEO_0011,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00021,GEO_0011,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00022,GEO_0012,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00023,GEO_0012,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00024,GEO_0012,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00025,GEO_0013,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00026,GEO_0013,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00027,GEO_0013,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00028,GEO_0014,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00029,GEO_0014,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00030,GEO_0014,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00031,GEO_0015,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00032,GEO_0015,2,consultar base setorial oficial no futuro (Defesa Civil/SGB/APAC/IPPUC/CEMADEN/S2iD),geometria/atributo oficial da base setorial,geometria/atributo oficial da base setorial registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
GPL_00033,GEO_0015,3,estimar incerteza geometrica (uncertainty_m) do candidato,uncertainty_m quantificada,uncertainty_m quantificada registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,false,false,false,false
GPL_00034,GEO_0016,1,buscar poligono oficial do evento em base ja conhecida (sem consulta agora),poligono oficial associado ao evento,poligono oficial associado ao evento registrado e auditavel,"sem o artefato, permanece review-only sem promocao",true,true,true,true,false
