safety_audit_id,formal_request_id,guardrail,passes,violation_found,blocking_reason,review_only
S17C14_SAFE_0001,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,nenhuma solicitacao enviada,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0002,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,nenhum protocolo aberto,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0003,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,nenhuma resposta recebida,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0004,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,nenhum contato inventado,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0005,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,nenhuma URL inventada,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0006,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,nenhuma fonte nao oficial confirmada,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0007,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,score v6 intacto,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0008,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,score v7 inexistente,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0009,P1_DEM_HAND_DRAINAGE_COVERAGE_CANDIDATE_GRID,17B inelegivel,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0010,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,nenhuma solicitacao enviada,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0011,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,nenhum protocolo aberto,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0012,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,nenhuma resposta recebida,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0013,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,nenhum contato inventado,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0014,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,nenhuma URL inventada,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0015,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,nenhuma fonte nao oficial confirmada,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0016,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,score v6 intacto,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0017,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,score v7 inexistente,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0018,P1_PET_2024_VALPARAISO_FLORESTA_GEOMETRY,17B inelegivel,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0019,P2_DINO_SATMAE_INPUT_TILE,nenhuma solicitacao enviada,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0020,P2_DINO_SATMAE_INPUT_TILE,nenhum protocolo aberto,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0021,P2_DINO_SATMAE_INPUT_TILE,nenhuma resposta recebida,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0022,P2_DINO_SATMAE_INPUT_TILE,nenhum contato inventado,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0023,P2_DINO_SATMAE_INPUT_TILE,nenhuma URL inventada,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0024,P2_DINO_SATMAE_INPUT_TILE,nenhuma fonte nao oficial confirmada,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0025,P2_DINO_SATMAE_INPUT_TILE,score v6 intacto,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0026,P2_DINO_SATMAE_INPUT_TILE,score v7 inexistente,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0027,P2_DINO_SATMAE_INPUT_TILE,17B inelegivel,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0028,P2_SAR_RUNTIME_OR_EXPORT_PATH,nenhuma solicitacao enviada,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0029,P2_SAR_RUNTIME_OR_EXPORT_PATH,nenhum protocolo aberto,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0030,P2_SAR_RUNTIME_OR_EXPORT_PATH,nenhuma resposta recebida,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0031,P2_SAR_RUNTIME_OR_EXPORT_PATH,nenhum contato inventado,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0032,P2_SAR_RUNTIME_OR_EXPORT_PATH,nenhuma URL inventada,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0033,P2_SAR_RUNTIME_OR_EXPORT_PATH,nenhuma fonte nao oficial confirmada,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0034,P2_SAR_RUNTIME_OR_EXPORT_PATH,score v6 intacto,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0035,P2_SAR_RUNTIME_OR_EXPORT_PATH,score v7 inexistente,true,false,guardrail_preserved_review_only,true
S17C14_SAFE_0036,P2_SAR_RUNTIME_OR_EXPORT_PATH,17B inelegivel,true,false,guardrail_preserved_review_only,true
