scientific_feature_acceptance_id,candidate_patch_id,event_id,scene_or_item_id,feature_name,feature_value,feature_unit,source_artifact_manifest_id,source_role,prior_acceptance_status,fallback_scientific_resolved,patch_usage_accepted,acceptance_status,usable_for_science_now,usable_for_training,ground_truth,eligible_for_score_v7,eligible_for_17b,remaining_limitation,review_only
S17C23_SCIFEAT_0001,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B03_mean,8711.7923,reflectance_dn,S17C20_MANIFEST_0001_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0002,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B04_mean,8289.8744,reflectance_dn,S17C20_MANIFEST_0001_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0003,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B08_mean,8100.6465,reflectance_dn,S17C20_MANIFEST_0001_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0004,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B11_mean,4715.6627,reflectance_dn,S17C20_MANIFEST_0001_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0005,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,NDVI_mean,0.001421,ratio,S17C20_MANIFEST_0001_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0006,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,NDWI_mean,0.025447,ratio,S17C20_MANIFEST_0001_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0007,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,MNDWI_mean,0.272481,ratio,S17C20_MANIFEST_0001_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0008,S17C6_CANARY_REC_00001,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,NDBI_mean,-0.250239,ratio,S17C20_MANIFEST_0001_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0009,S17C6_CANARY_REC_00002,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B03_mean,9271.3730,reflectance_dn,S17C20_MANIFEST_0002_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0010,S17C6_CANARY_REC_00002,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B04_mean,8917.5982,reflectance_dn,S17C20_MANIFEST_0002_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0011,S17C6_CANARY_REC_00002,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B08_mean,8562.6289,reflectance_dn,S17C20_MANIFEST_0002_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
S17C23_SCIFEAT_0012,S17C6_CANARY_REC_00002,REC_2022_05_24_30,S2A_MSIL1C_20220427T124321_N0510_R009_T25MBM_20240604T235122.SAFE,B11_mean,5202.0936,reflectance_dn,S17C20_MANIFEST_0002_A,materialization_fallback,accepted_review_only_sensor_feature,true,true,accepted_scientific_review_only_sensor_feature,true,false,false,false,false,cdse_l1c_vs_earth_search_l2a_processing_level_difference_documented_as_methodological_limitation,true
