node_id,node_type,object_id,candidate_patch_id,event_id,review_only,trainable,ground_truth
S17C28_NODE_0001,deep_source_artifact,S17C28_ART_0001,all_candidate_patches,REC_2022_05_24_30,true,false,false
S17C28_NODE_0002,deep_source_artifact,S17C28_ART_0002,all_candidate_patches,REC_2022_05_24_30,true,false,false
S17C28_NODE_0003,deep_source_artifact,S17C28_ART_0003,all_candidate_patches,REC_2022_05_24_30,true,false,false
S17C28_NODE_0004,deep_source_artifact,S17C28_ART_0004,all_candidate_patches,REC_2022_05_24_30,true,false,false
S17C28_NODE_0005,deep_source_artifact,S17C28_ART_0005,all_candidate_patches,REC_2022_05_24_30,true,false,false
S17C28_NODE_0006,deep_parsed_artifact,S17C28_PARSE_0001,all_candidate_patches,REC_2022_05_24_30,true,false,false
S17C28_NODE_0007,deep_parsed_artifact,S17C28_PARSE_0002,all_candidate_patches,REC_2022_05_24_30,true,false,false
S17C28_NODE_0008,deep_parsed_artifact,S17C28_PARSE_0003,all_candidate_patches,REC_2022_05_24_30,true,false,false
S17C28_NODE_0009,deep_parsed_artifact,S17C28_PARSE_0004,all_candidate_patches,REC_2022_05_24_30,true,false,false
S17C28_NODE_0010,deep_parsed_artifact,S17C28_PARSE_0005,all_candidate_patches,REC_2022_05_24_30,true,false,false
S17C28_NODE_0011,specific_observed_event_candidate,S17C28_OEC_0001,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true,false,false
S17C28_NODE_0012,specific_observed_event_candidate,S17C28_OEC_0002,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true,false,false
S17C28_NODE_0013,specific_observed_event_candidate,S17C28_OEC_0003,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true,false,false
S17C28_NODE_0014,specific_observed_event_candidate,S17C28_OEC_0004,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true,false,false
S17C28_NODE_0015,location_resolution,S17C28_LOC_0001,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true,false,false
S17C28_NODE_0016,location_resolution,S17C28_LOC_0002,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true,false,false
S17C28_NODE_0017,location_resolution,S17C28_LOC_0003,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true,false,false
S17C28_NODE_0018,location_resolution,S17C28_LOC_0004,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true,false,false
S17C28_NODE_0019,phenomenon_classification,S17C28_PHEN_0001,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true,false,false
S17C28_NODE_0020,phenomenon_classification,S17C28_PHEN_0002,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true,false,false
S17C28_NODE_0021,phenomenon_classification,S17C28_PHEN_0003,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true,false,false
S17C28_NODE_0022,phenomenon_classification,S17C28_PHEN_0004,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true,false,false
S17C28_NODE_0023,g4_evaluation,S17C28_G4_0001,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true,false,false
S17C28_NODE_0024,g4_evaluation,S17C28_G4_0002,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true,false,false
S17C28_NODE_0025,g4_evaluation,S17C28_G4_0003,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true,false,false
S17C28_NODE_0026,g4_evaluation,S17C28_G4_0004,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true,false,false
S17C28_NODE_0027,g5_evaluation,S17C28_G5_0001,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true,false,false
S17C28_NODE_0028,g5_evaluation,S17C28_G5_0002,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true,false,false
S17C28_NODE_0029,g5_evaluation,S17C28_G5_0003,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true,false,false
S17C28_NODE_0030,g5_evaluation,S17C28_G5_0004,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true,false,false
S17C28_NODE_0031,ground_reference_candidate_evaluation,S17C28_GRCE_0001,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true,false,false
S17C28_NODE_0032,ground_reference_candidate_evaluation,S17C28_GRCE_0002,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true,false,false
S17C28_NODE_0033,ground_reference_candidate_evaluation,S17C28_GRCE_0003,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true,false,false
S17C28_NODE_0034,ground_reference_candidate_evaluation,S17C28_GRCE_0004,S17C6_CANARY_REC_00001,REC_2022_05_24_30,true,false,false
