light_raster_execution_plan_id,candidate_patch_id,sensor_or_dataset,planned_action,expected_output,can_execute_now,why_not_now,requires_network,requires_credentials,requires_storage_policy,requires_aoi,review_only
S17C17_RASTEREXEC_0001,S17C6_CANARY_REC_00001,CHIRPS,future_chirps_zonal_stats,estatistica_zonal_precipitacao_csv_por_aoi,false,requer politica de storage aprovada e execucao de rede dedicada fora do escopo do 17C17,true,false,true,true,true
S17C17_RASTEREXEC_0002,S17C6_CANARY_REC_00001,Sentinel-2/CDSE,future_sentinel2_metadata_query,consulta_stac_por_aoi_com_lista_de_produtos_candidatos,false,requer consulta STAC filtrada por AOI ainda nao executada nesta sprint,true,false,true,true,true
S17C17_RASTEREXEC_0003,S17C6_CANARY_REC_00001,Sentinel-2/CDSE,future_sentinel2_small_tile_preview,preview_leve_de_tile_sentinel2_nao_versionado_em_outputs_public,false,"requer download de produto Sentinel-2 e geracao de preview, bloqueado nesta sprint",false,true,true,true,true
S17C17_RASTEREXEC_0004,S17C6_CANARY_REC_00001,Sentinel-2/CDSE,future_embedding_input_tile_manifest,manifesto_json_de_tile_de_entrada_para_embedding_sem_pixel_real,false,requer tile real Sentinel-2 inexistente; manifesto de embedding depende do 17C9 completo,true,true,true,true,true
S17C17_RASTEREXEC_0005,S17C6_CANARY_REC_00002,CHIRPS,future_chirps_zonal_stats,estatistica_zonal_precipitacao_csv_por_aoi,false,requer politica de storage aprovada e execucao de rede dedicada fora do escopo do 17C17,true,false,true,true,true
S17C17_RASTEREXEC_0006,S17C6_CANARY_REC_00002,Sentinel-2/CDSE,future_sentinel2_metadata_query,consulta_stac_por_aoi_com_lista_de_produtos_candidatos,false,requer consulta STAC filtrada por AOI ainda nao executada nesta sprint,true,false,true,true,true
S17C17_RASTEREXEC_0007,S17C6_CANARY_REC_00002,Sentinel-2/CDSE,future_sentinel2_small_tile_preview,preview_leve_de_tile_sentinel2_nao_versionado_em_outputs_public,false,"requer download de produto Sentinel-2 e geracao de preview, bloqueado nesta sprint",false,true,true,true,true
S17C17_RASTEREXEC_0008,S17C6_CANARY_REC_00002,Sentinel-2/CDSE,future_embedding_input_tile_manifest,manifesto_json_de_tile_de_entrada_para_embedding_sem_pixel_real,false,requer tile real Sentinel-2 inexistente; manifesto de embedding depende do 17C9 completo,true,true,true,true,true
S17C17_RASTEREXEC_0009,S17C6_CANARY_REC_00003,CHIRPS,future_chirps_zonal_stats,estatistica_zonal_precipitacao_csv_por_aoi,false,requer politica de storage aprovada e execucao de rede dedicada fora do escopo do 17C17,true,false,true,true,true
S17C17_RASTEREXEC_0010,S17C6_CANARY_REC_00003,Sentinel-2/CDSE,future_sentinel2_metadata_query,consulta_stac_por_aoi_com_lista_de_produtos_candidatos,false,requer consulta STAC filtrada por AOI ainda nao executada nesta sprint,true,false,true,true,true
S17C17_RASTEREXEC_0011,S17C6_CANARY_REC_00003,Sentinel-2/CDSE,future_sentinel2_small_tile_preview,preview_leve_de_tile_sentinel2_nao_versionado_em_outputs_public,false,"requer download de produto Sentinel-2 e geracao de preview, bloqueado nesta sprint",false,true,true,true,true
S17C17_RASTEREXEC_0012,S17C6_CANARY_REC_00003,Sentinel-2/CDSE,future_embedding_input_tile_manifest,manifesto_json_de_tile_de_entrada_para_embedding_sem_pixel_real,false,requer tile real Sentinel-2 inexistente; manifesto de embedding depende do 17C9 completo,true,true,true,true,true
S17C17_RASTEREXEC_0013,S17C6_CANARY_REC_00004,CHIRPS,future_chirps_zonal_stats,estatistica_zonal_precipitacao_csv_por_aoi,false,requer politica de storage aprovada e execucao de rede dedicada fora do escopo do 17C17,true,false,true,true,true
S17C17_RASTEREXEC_0014,S17C6_CANARY_REC_00004,Sentinel-2/CDSE,future_sentinel2_metadata_query,consulta_stac_por_aoi_com_lista_de_produtos_candidatos,false,requer consulta STAC filtrada por AOI ainda nao executada nesta sprint,true,false,true,true,true
S17C17_RASTEREXEC_0015,S17C6_CANARY_REC_00004,Sentinel-2/CDSE,future_sentinel2_small_tile_preview,preview_leve_de_tile_sentinel2_nao_versionado_em_outputs_public,false,"requer download de produto Sentinel-2 e geracao de preview, bloqueado nesta sprint",false,true,true,true,true
S17C17_RASTEREXEC_0016,S17C6_CANARY_REC_00004,Sentinel-2/CDSE,future_embedding_input_tile_manifest,manifesto_json_de_tile_de_entrada_para_embedding_sem_pixel_real,false,requer tile real Sentinel-2 inexistente; manifesto de embedding depende do 17C9 completo,true,true,true,true,true
S17C17_RASTEREXEC_0017,S17C6_CANARY_REC_00005,CHIRPS,future_chirps_zonal_stats,estatistica_zonal_precipitacao_csv_por_aoi,false,requer politica de storage aprovada e execucao de rede dedicada fora do escopo do 17C17,true,false,true,true,true
S17C17_RASTEREXEC_0018,S17C6_CANARY_REC_00005,Sentinel-2/CDSE,future_sentinel2_metadata_query,consulta_stac_por_aoi_com_lista_de_produtos_candidatos,false,requer consulta STAC filtrada por AOI ainda nao executada nesta sprint,true,false,true,true,true
S17C17_RASTEREXEC_0019,S17C6_CANARY_REC_00005,Sentinel-2/CDSE,future_sentinel2_small_tile_preview,preview_leve_de_tile_sentinel2_nao_versionado_em_outputs_public,false,"requer download de produto Sentinel-2 e geracao de preview, bloqueado nesta sprint",false,true,true,true,true
S17C17_RASTEREXEC_0020,S17C6_CANARY_REC_00005,Sentinel-2/CDSE,future_embedding_input_tile_manifest,manifesto_json_de_tile_de_entrada_para_embedding_sem_pixel_real,false,requer tile real Sentinel-2 inexistente; manifesto de embedding depende do 17C9 completo,true,true,true,true,true
