metric,value,review_only
occurrences_input_count,4412,true
flood_occurrences_count,4412,true
reference_features_total,12158,true
new_reference_features_count,50000,true
exact_matches_count,0,true
fuzzy_matches_count,1,true
resolved_ambiguous_count,0,true
remaining_ambiguous_count,19,true
blocked_no_reference_count,66,true
moderate_patch_links_count,0,true
patches_observational_count,0,true
score_v6_mean_event_links,null,true
score_v6_median_event_links,null,true
hit_rate_top_10,0.0,true
hit_rate_top_20,0.0,true
hit_rate_top_30,0.0,true
ready_for_12a,false,true
ready_for_12b,false,true
ready_for_12c,false,true
ready_for_score_v7,false,true
score_v7_status,blocked_review_only_no_automatic_score_v7,true
