canonical_patch_id,region,mapping_status,raw_geometry_status,tif_binding_status,grounding_status,crs_candidate,allowed_claim,forbidden_claim,next_required_action,forbidden_next_action,patch_bound_validated,gates
CUR_01,Curitiba,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,UNRESOLVED_TIF_BINDING,EPSG:31982,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Track as TIF candidate when/if additional metadata acquired,Spatial ops; claim TIF binding exists; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
CUR_02,Curitiba,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,UNRESOLVED_TIF_BINDING,EPSG:31982,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Track as TIF candidate when/if additional metadata acquired,Spatial ops; claim TIF binding exists; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
CUR_03,Curitiba,MAPPED,RAW_GEOMETRY_PRESENT,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,CANDIDATE_GROUNDING_NEEDS_REVIEWER,EPSG:31982,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Documentation of designation (medium confidence); await reviewer approval,Spatial ops; CRS promotion; treat as confirmed binding; declare patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
CUR_04,Curitiba,MAPPED,RAW_GEOMETRY_PRESENT,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,CANDIDATE_GROUNDING_NEEDS_REVIEWER,EPSG:31982,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Documentation of designation (medium confidence); await reviewer approval,Spatial ops; CRS promotion; treat as confirmed binding; declare patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
CUR_05,Curitiba,MAPPED,RAW_GEOMETRY_PRESENT,GEOMETRY_AND_TIF_DESIGNATED_NEEDS_REVIEW,CANDIDATE_GROUNDING_NEEDS_REVIEWER,EPSG:31982,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Documentation of designation (medium confidence); await reviewer approval,Spatial ops; CRS promotion; treat as confirmed binding; declare patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
CUR_06,Curitiba,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,UNRESOLVED_TIF_BINDING,EPSG:31982,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Track as TIF candidate when/if additional metadata acquired,Spatial ops; claim TIF binding exists; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
CUR_07,Curitiba,MAPPED,RAW_GEOMETRY_PRESENT,RAW_GEOMETRY_PRESENT_TIF_UNRESOLVED,UNRESOLVED_TIF_BINDING,EPSG:31982,geometry present,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Track as TIF candidate when/if additional metadata acquired,Spatial ops; claim TIF binding exists; patch_bound_validated,0/59 LOCKED,10/10 BLOCKED
CUR_08,Curitiba,PLACEHOLDER_ONLY,PLACEHOLDER_ONLY_NO_GEOMETRY,NOT_APPLICABLE,PLACEHOLDER_ONLY_NO_GEOMETRY,UNKNOWN,metadata pending,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Metadata-only documentation; track external metadata acquisition,Spatial ops; CRS promotion; patch_bound_validated increment,0/59 LOCKED,10/10 BLOCKED
CUR_09,Curitiba,PLACEHOLDER_ONLY,PLACEHOLDER_ONLY_NO_GEOMETRY,NOT_APPLICABLE,PLACEHOLDER_ONLY_NO_GEOMETRY,UNKNOWN,metadata pending,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Metadata-only documentation; track external metadata acquisition,Spatial ops; CRS promotion; patch_bound_validated increment,0/59 LOCKED,10/10 BLOCKED
CUR_10,Curitiba,PLACEHOLDER_ONLY,PLACEHOLDER_ONLY_NO_GEOMETRY,NOT_APPLICABLE,PLACEHOLDER_ONLY_NO_GEOMETRY,UNKNOWN,metadata pending,validated; confirmed; final; ground truth; patch_bound_validated; spatial ops approved,Metadata-only documentation; track external metadata acquisition,Spatial ops; CRS promotion; patch_bound_validated increment,0/59 LOCKED,10/10 BLOCKED
