canonical_patch_id,raw_patch_id,naming_convention,sentinel_tif_available,pe3d_raster_available,tif_binding_status,next_action,issue,implication
REC_01,recife_ext_0001,recife_ext_*,NO,POSSIBLY (66/66 headers confirmed in B4),UNRESOLVED_REC_EXT_BG_NAMING,Await PE3D metadata extraction; determine if PE3D TIFs have naming that maps to ext/bg,Canonical IDs use ext/bg naming; sentinel TIFs use standard naming; bridge unclear,REC binding deferred until PE3D metadata authorization (B4+B1)
REC_02,recife_ext_0002,recife_ext_*,NO,POSSIBLY (66/66 headers confirmed in B4),UNRESOLVED_REC_EXT_BG_NAMING,Await PE3D metadata extraction; determine if PE3D TIFs have naming that maps to ext/bg,Canonical IDs use ext/bg naming; sentinel TIFs use standard naming; bridge unclear,REC binding deferred until PE3D metadata authorization (B4+B1)
REC_03,recife_ext_0003,recife_ext_*,NO,POSSIBLY (66/66 headers confirmed in B4),UNRESOLVED_REC_EXT_BG_NAMING,Await PE3D metadata extraction; determine if PE3D TIFs have naming that maps to ext/bg,Canonical IDs use ext/bg naming; sentinel TIFs use standard naming; bridge unclear,REC binding deferred until PE3D metadata authorization (B4+B1)
REC_04,recife_ext_0004,recife_ext_*,NO,POSSIBLY (66/66 headers confirmed in B4),UNRESOLVED_REC_EXT_BG_NAMING,Await PE3D metadata extraction; determine if PE3D TIFs have naming that maps to ext/bg,Canonical IDs use ext/bg naming; sentinel TIFs use standard naming; bridge unclear,REC binding deferred until PE3D metadata authorization (B4+B1)
REC_05,recife_ext_0005,recife_ext_*,NO,POSSIBLY (66/66 headers confirmed in B4),UNRESOLVED_REC_EXT_BG_NAMING,Await PE3D metadata extraction; determine if PE3D TIFs have naming that maps to ext/bg,Canonical IDs use ext/bg naming; sentinel TIFs use standard naming; bridge unclear,REC binding deferred until PE3D metadata authorization (B4+B1)
REC_06,recife_ext_0006,recife_ext_*,NO,POSSIBLY (66/66 headers confirmed in B4),UNRESOLVED_REC_EXT_BG_NAMING,Await PE3D metadata extraction; determine if PE3D TIFs have naming that maps to ext/bg,Canonical IDs use ext/bg naming; sentinel TIFs use standard naming; bridge unclear,REC binding deferred until PE3D metadata authorization (B4+B1)
REC_07,recife_bg_0001,recife_bg_*,NO,POSSIBLY (66/66 headers confirmed in B4),UNRESOLVED_REC_EXT_BG_NAMING,Await PE3D metadata extraction; determine if PE3D TIFs have naming that maps to ext/bg,Canonical IDs use ext/bg naming; sentinel TIFs use standard naming; bridge unclear,REC binding deferred until PE3D metadata authorization (B4+B1)
REC_08,recife_bg_0002,recife_bg_*,NO,POSSIBLY (66/66 headers confirmed in B4),UNRESOLVED_REC_EXT_BG_NAMING,Await PE3D metadata extraction; determine if PE3D TIFs have naming that maps to ext/bg,Canonical IDs use ext/bg naming; sentinel TIFs use standard naming; bridge unclear,REC binding deferred until PE3D metadata authorization (B4+B1)
REC_09,recife_bg_0003,recife_bg_*,NO,POSSIBLY (66/66 headers confirmed in B4),UNRESOLVED_REC_EXT_BG_NAMING,Await PE3D metadata extraction; determine if PE3D TIFs have naming that maps to ext/bg,Canonical IDs use ext/bg naming; sentinel TIFs use standard naming; bridge unclear,REC binding deferred until PE3D metadata authorization (B4+B1)
REC_10,recife_bg_0004,recife_bg_*,NO,POSSIBLY (66/66 headers confirmed in B4),UNRESOLVED_REC_EXT_BG_NAMING,Await PE3D metadata extraction; determine if PE3D TIFs have naming that maps to ext/bg,Canonical IDs use ext/bg naming; sentinel TIFs use standard naming; bridge unclear,REC binding deferred until PE3D metadata authorization (B4+B1)
REC_11,recife_bg_0005,recife_bg_*,NO,POSSIBLY (66/66 headers confirmed in B4),UNRESOLVED_REC_EXT_BG_NAMING,Await PE3D metadata extraction; determine if PE3D TIFs have naming that maps to ext/bg,Canonical IDs use ext/bg naming; sentinel TIFs use standard naming; bridge unclear,REC binding deferred until PE3D metadata authorization (B4+B1)
REC_12,recife_bg_0006,recife_bg_*,NO,POSSIBLY (66/66 headers confirmed in B4),UNRESOLVED_REC_EXT_BG_NAMING,Await PE3D metadata extraction; determine if PE3D TIFs have naming that maps to ext/bg,Canonical IDs use ext/bg naming; sentinel TIFs use standard naming; bridge unclear,REC binding deferred until PE3D metadata authorization (B4+B1)
