lineage_id,entidade,origem_marco,region,city,candidate_event_id,event_date,phenomenon_type,geometry_id,geometry_type,patch_id,patch_link_id,feature_family,score_reference,evidence_tier,review_only,ground_truth,eligible_for_training,score_v7_allowed,uncertainty_m,status,justificativa_tecnica
LIN_REC_0001,event_record,SUSC-17C,nordeste,recife,REC_CANARY_SET,not_available,inundacao_alagamento,not_available,none,not_available,not_available,not_available,not_available,C_footprint_tecnico_sar,true,false,false,false,not_available,referencia_forte_review_only,evento de referencia forte para revisao; ocorrencias de Recife nao georreferenciadas por ocorrencia; nao e ground truth
LIN_REC_0002,source_footprint,SUSC-17D,nordeste,recife,REC_CANARY_SET,not_available,inundacao_alagamento,REC_FOOTPRINT_TECNICO,footprint_tecnico_observacional,not_available,not_available,not_available,not_available,C_footprint_tecnico_sar,true,false,false,false,not_available,footprint_tecnico_review_only,footprint tecnico observacional para revisao; nao substitui geometria oficial de ocorrencia; nao e ground truth
LIN_REC_0003,derived_patch_link,SUSC-17C5,nordeste,recife,REC_CANARY_SET,not_available,inundacao_alagamento,REC_FOOTPRINT_TECNICO,footprint_tecnico_observacional,recife_canarios,REC_PATCH_LINKS_5,not_available,not_available,C_footprint_tecnico_sar,true,false,false,false,not_available,cinco_canarios_fortes_review_only,"cinco vinculos patch de canario para revisao; vinculo forte somente revisao, nao rotulo e nao treino"
LIN_REC_0004,feature_evidence,SUSC-17G,nordeste,recife,REC_CANARY_SET,not_available,inundacao_alagamento,not_available,none,recife_canarios,REC_PATCH_LINKS_5,fisica_topografica,not_available,C_footprint_tecnico_sar,true,false,false,false,not_available,features_fisicas_diretas_completas,"features fisicas diretas (DEM GLO-30, hidrografia) para revisao; terreno elevado gera divergencia fisica preservada"
LIN_REC_0005,feature_evidence,SUSC-17E,nordeste,recife,REC_CANARY_SET,not_available,inundacao_alagamento,not_available,none,recife_canarios,REC_PATCH_LINKS_5,espectral_e_chuva,not_available,C_footprint_tecnico_sar,true,false,false,false,not_available,features_espectrais_e_chuva_presentes,features espectral e chuva presentes para revisao; nao constituem rotulo e nao habilitam treino
LIN_REC_0006,score_evaluation,SUSC-17H,nordeste,recife,REC_CANARY_SET,not_available,inundacao_alagamento,not_available,none,recife_canarios,REC_PATCH_LINKS_5,indice_5_componentes,score_v6_candidate,C_footprint_tecnico_sar,true,false,false,false,not_available,calibracao_forte_review_only_com_divergencia_fisica,indice de calibracao espelha o score_v6 apenas para revisao; score_v6 intacto e score_v7 nao criado
LIN_REC_0007,gate_status,SUSC-18A,nordeste,recife,REC_CANARY_SET,not_available,inundacao_alagamento,not_available,none,recife_canarios,REC_PATCH_LINKS_5,not_available,not_available,C_footprint_tecnico_sar,true,false,false,false,not_available,aproximacao_regional_uma_regiao_um_evento,gate de aproximacao com uma regiao e um evento forte; nao habilita benchmark 17B
LIN_CUR_0001,event_record,SUSC-17I,sul,curitiba,S17C_REF_0060,2022-01-15,inundacao,not_available,none,not_available,not_available,not_available,not_available,G_rejeitado_ou_insuficiente,true,false,false,false,not_available,evento_reconhecido_sem_geometria_oficial,evento oficial reconhecido (CUR_2022_01_15) porem sem geometria oficial de ocorrencia liberada; insuficiente ate resposta do 18D
LIN_CUR_0002,derived_patch_link,SUSC-18B,sul,curitiba,S17C_REF_0060,2022-01-15,inundacao,not_available,none,curitiba_region,CUR_PRELINK_54,not_available,not_available,F_area_risco_ou_suscetibilidade_nao_evento,true,false,false,false,not_available,prelink_region_only_sem_geometria,"54 prelinks region-only e ancora hidrometeorologica; vinculo apenas regional, nao patch de ocorrencia; nao e evidencia forte"
LIN_CUR_0003,gate_status,SUSC-18D,sul,curitiba,S17C_REF_0060,2022-01-15,inundacao,not_available,none,not_available,not_available,not_available,not_available,G_rejeitado_ou_insuficiente,true,false,false,false,not_available,bloqueado_aguardando_resposta_oficial_18D,rota oficial bloqueada por ausencia de geometria; pacote formal 18D aguardando resposta; nao promover sem geometria
LIN_CUR_0004,source_footprint,SUSC-18G,sul,curitiba,S17C_REF_0060,2022-01-15,inundacao,S18G_CUR_SAR_COMPACT_0001,footprint_tecnico_sar_compacto,not_available,not_available,sar_sentinel1,not_available,C_footprint_tecnico_sar,true,false,false,false,60,footprint_tecnico_sar_forte_review_only,footprint tecnico SAR compacto para revisao; nao e geometria oficial de ocorrencia e nao e ground truth
LIN_CUR_0005,derived_patch_link,SUSC-18G,sul,curitiba,S17C_REF_0060,2022-01-15,inundacao,S18G_CUR_SAR_COMPACT_0001,footprint_tecnico_sar_compacto,CUR_01050,S18G_LINK_CUR_01050,sar_sentinel1,score_v6_candidate,C_footprint_tecnico_sar,true,false,false,false,60,overlay_tecnico_sar_review_only,overlay tecnico SAR em CUR_01050 para revisao; nao e geometria oficial e nao vira feature pre-evento
LIN_CUR_0006,derived_patch_link,SUSC-18G,sul,curitiba,S17C_REF_0060,2022-01-15,inundacao,S18G_CUR_SAR_COMPACT_0001,footprint_tecnico_sar_compacto,CUR_01101,S18G_LINK_CUR_01101,sar_sentinel1,score_v6_candidate,C_footprint_tecnico_sar,true,false,false,false,60,overlay_tecnico_sar_review_only,overlay tecnico SAR em CUR_01101 para revisao; nao e geometria oficial e nao vira feature pre-evento
LIN_CUR_0007,feature_evidence,SUSC-18F,sul,curitiba,S17C_REF_0060,2022-01-15,inundacao,not_available,none,curitiba_patches_43,not_available,sar_patch_stats,not_available,C_footprint_tecnico_sar,true,false,false,false,60,patch_stats_sar_real_43_linhas,"patch_stats SAR real com 43 linhas; resultado pos-evento para revisao, nao e footprint vetorial e nao vira feature pre-evento"
LIN_CUR_0008,score_evaluation,SUSC-18E,sul,curitiba,S17C_REF_0060,2022-01-15,inundacao,not_available,none,curitiba_patches_43,not_available,comparacao_sar_score_v6,score_v6_candidate,C_footprint_tecnico_sar,true,false,false,false,not_available,comparacao_diagnostica_com_score_v6,comparacao diagnostica entre footprint SAR e score_v6 apenas para revisao; score_v6 intacto e score_v7 nao criado
LIN_CUR_0009,gate_status,SUSC-18G,sul,curitiba,S17C_REF_0060,2022-01-15,inundacao,S18G_CUR_SAR_COMPACT_0001,footprint_tecnico_sar_compacto,not_available,not_available,not_available,not_available,C_footprint_tecnico_sar,true,false,false,false,60,segunda_regiao_tecnica_sem_geometria_oficial,segunda regiao tecnica via SAR para revisao; nao substitui a geometria oficial ainda pendente do 18D
LIN_PET_0001,event_record,SUSC-17I,sudeste,petropolis,PET_REGISTROS_MISTOS,not_available,misto_deslizamento_inundacao,not_available,none,not_available,not_available,not_available,not_available,G_rejeitado_ou_insuficiente,true,false,false,false,not_available,fenomeno_misto_sem_separacao,registros de fenomeno misto (deslizamento e inundacao) sem separacao; nao entra como evidencia de inundacao sem separar o fenomeno
LIN_PET_0002,event_record,SUSC-18B,sudeste,petropolis,PET_2024_CONTEXTUAL,2024,inundacao_contextual,not_available,none,not_available,not_available,not_available,not_available,E_contexto_rua_bairro,true,false,false,false,not_available,candidato_contextual_sem_geometria_forte,"1 candidato contextual de inundacao de 2024 sem geometria forte; contexto de bairro, nao evidencia forte de ocorrencia"
