failure_id,patch_id,regiao,failure_type,severidade,evidencia_suporte,impacto_no_score,acao_futura_possivel,bloqueia_score_v7,justificativa_tecnica
FAIL_001,recife_00299,recife,observed_patch_medium_not_topk,media,score_v6_class=medium;rank_global=119,score intermediario fora do top-30 global,avaliar reponderacao urbana/espectral em hipotese review-only,true,patch observado medio fora do top-k; leitura exploratoria review-only
FAIL_002,recife_00322,recife,observed_patch_medium_not_topk,media,score_v6_class=medium;rank_global=136,score intermediario fora do top-30 global,avaliar reponderacao urbana/espectral em hipotese review-only,true,patch observado medio fora do top-k; leitura exploratoria review-only
FAIL_003,curitiba_01050,curitiba,SAR_only_evidence,media,evidencia apenas SAR overlay tecnico,evidencia review-only sem documental; SAR e pos-evento,buscar geometria oficial de ocorrencia antes de qualquer promocao,true,SAR nao e geometria oficial e nao vira feature pre-evento; nao habilita treino
FAIL_004,curitiba_01050,curitiba,evento_tecnico_nao_oficial,media,overlay tecnico SAR sem evento oficial datado por patch,"vinculo tecnico review-only, nao oficial",aquisicao de geometria oficial (fila 17B/GT),true,evento tecnico nao oficial; nao e ground truth e nao cria benchmark 17B
FAIL_005,curitiba_01101,curitiba,observed_patch_low_score,alta,score_v6_class=low;rank_global=241,score_v6 baixo apesar de evidencia observacional review-only,revisar decomposicao e hipoteses review-only sem alterar score_v6,true,"patch observado com score baixo; divergencia registrada, nao corrige score, nao e negativo"
FAIL_006,curitiba_01101,curitiba,SAR_only_evidence,media,evidencia apenas SAR overlay tecnico,evidencia review-only sem documental; SAR e pos-evento,buscar geometria oficial de ocorrencia antes de qualquer promocao,true,SAR nao e geometria oficial e nao vira feature pre-evento; nao habilita treino
FAIL_007,curitiba_01101,curitiba,evento_tecnico_nao_oficial,media,overlay tecnico SAR sem evento oficial datado por patch,"vinculo tecnico review-only, nao oficial",aquisicao de geometria oficial (fila 17B/GT),true,evento tecnico nao oficial; nao e ground truth e nao cria benchmark 17B
FAIL_008,todos_observados,global,hidrologia_divergente,alta,familia_hidrologica direction_agreement_rate=0.000,distance_to_water/TWI/flow_accumulation divergem da direcao esperada e limitam o score,hipotese review-only de componente hidrologico diferenciado para alagamento urbano,true,divergencia hidrologica global review-only; nao corrige score e nao propoe score_v7
FAIL_009,todos_observados,global,chuva_subponderada_ou_nao_representativa,alta,familia_chuva direction_agreement_rate=0.000,CHIRPS 3d/7d/30d menores nos observados; chuva estatica derruba o ranking,"hipotese review-only de chuva como gatilho contextual, nao como suscetibilidade estatica",true,"chuva antecedente tratada como suscetibilidade estatica; hipotese review-only, sem score_v7"
FAIL_010,todos_observados,global,topografia_coerente_mas_score_nao_extremo,media,familia_fisica direction_agreement_rate=1.000;top30_global=0/7,topografia coerente nao basta para levar observados ao top-30 global,documentar em comunicacao cientifica review-only (19E),true,coerencia topografica sem extremo de score; leitura exploratoria review-only
FAIL_011,todos_observados,global,urbano_espectral_coerente,baixa,familia_urbana=1.000;familia_espectral=1.000,sinal urbano e espectral coerente sustenta parte da aderencia,testar aumento de peso urbano/espectral em hipotese review-only,true,coerencia urbana/espectral review-only; nao vira score oficial
FAIL_012,todos_observados,global,evidencia_documental_rara,media,documental presente so em Recife (evidence_support_index 0.5-1.0); Curitiba 0.0,documental confunde confianca com suscetibilidade e beneficia apenas Recife,separar evidencia documental de suscetibilidade fisica (hipotese review-only),true,evidencia documental rara e desigual; separacao proposta como hipotese review-only
FAIL_013,todos_observados,global,missingness_territorial,alta,faltam MapBiomas_class_majority;MapBiomas_class_distribution;exposed_soil_prop;water_prop;impervious_proxy em todos os 300 patches (cobertura territorial 0.333),urban_spectral usa apenas urban/veg; refino territorial ausente,executar pacote MapBiomas/GEE (19B) antes de qualquer calibracao,true,missingness territorial explicito herdado do 19B; nao ocultado; bloqueia score_v7
FAIL_014,todos_observados,global,amostra_minima,alta,apenas 7 patches observacionais (Recife 5 + Curitiba 2),potencia amostral baixa; sem conclusao estatistica forte,ampliar amostra observacional antes de qualquer score_v7 ou benchmark,true,amostra minima; leitura exploratoria review-only; nao e benchmark
