event_id,source_lineage,region,municipality,event_type,event_date,event_period_start,event_period_end,source_institution,source_title,source_url,local_file_path,evidence_level,geometry_type,lat,lon,bbox,wkt,geojson_ref,crs,spatial_precision,temporal_precision,is_observed_event,source_confidence,duplicate_group_id,duplicate_candidate,deduplication_action,preferred_record,evidence_upgrade_from_13a,requires_manual_review,can_be_ground_truth,allowed_for_training,review_only,consolidation_notes
SUSC13BC_00000,susc_13a,recife,Recife,unknown,,,,INEA/RJ,patch_boundary_REC_00019_from_lineage.geojson,datasets/external_sources/recife_minimal_tp/derived/patch_boundary_REC_00019_from_lineage.geojson,datasets/external_sources/recife_minimal_tp/derived/patch_boundary_REC_00019_from_lineage.geojson,documentary_only,polygon,,,-34.989584;-8.227246;-34.980193;-8.21807,,datasets/external_sources/recife_minimal_tp/derived/patch_boundary_REC_00019_from_lineage.geojson,EPSG:4326,neighborhood,unknown,false,medium,DUPG_0006,false,keep_preferred,true,false,true,false,false,true,origem=susc_13a; orig_id=SUSC13A_00000
SUSC13BC_00001,susc_13a,recife,Recife,urban_flooding,2022-05-24,2022-05-24,2022-05-30,International Charter,event_polygon_REC_2022_05_24_30_charter758_digitized_candidate.geojson,datasets/external_sources/recife_minimal_tp/event_polygon_REC_2022_05_24_30/charter758/derived/event_polygon_REC_2022_05_24_30_charter758_digitized_candidate.geojson,datasets/external_sources/recife_minimal_tp/event_polygon_REC_2022_05_24_30/charter758/derived/event_polygon_REC_2022_05_24_30_charter758_digitized_candidate.geojson,moderate_official_flood_bbox,polygon,,,-34.941752;-8.001308;-34.920971;-7.981592,,datasets/external_sources/recife_minimal_tp/event_polygon_REC_2022_05_24_30/charter758/derived/event_polygon_REC_2022_05_24_30_charter758_digitized_candidate.geojson,EPSG:4326,neighborhood,period,true,medium,DUPG_0002,false,keep_preferred,true,false,true,false,false,true,origem=susc_13a; orig_id=SUSC13A_00001
SUSC13BC_00002,susc_13a,recife,Recife,unknown,2022-05-24,2022-05-24,2022-05-30,Defesa Civil,recife_defesa_civil_risk_locations.geojson,datasets/external_sources/recife_minimal_tp/event_polygon_REC_2022_05_24_30/raw/recife_defesa_civil_risk_locations.geojson,datasets/external_sources/recife_minimal_tp/event_polygon_REC_2022_05_24_30/raw/recife_defesa_civil_risk_locations.geojson,weak_risk_area_context,point_set,,,-34.957271;-8.138517;-34.929074;-8.10852,,datasets/external_sources/recife_minimal_tp/event_polygon_REC_2022_05_24_30/raw/recife_defesa_civil_risk_locations.geojson,EPSG:4326,neighborhood,period,false,medium,DUPG_0003,false,keep_preferred,true,false,true,false,false,true,origem=susc_13a; orig_id=SUSC13A_00002
SUSC13BC_00003,susc_13a,recife,Recife,unknown,,,,Defesa Civil,recife_defesa_civil_risk_areas_geojson.geojson,datasets/external_sources/recife_minimal_tp/raw/recife_defesa_civil_risk_areas_geojson.geojson,datasets/external_sources/recife_minimal_tp/raw/recife_defesa_civil_risk_areas_geojson.geojson,weak_risk_area_context,point_set,,,-34.957271;-8.138517;-34.929074;-8.10852,,datasets/external_sources/recife_minimal_tp/raw/recife_defesa_civil_risk_areas_geojson.geojson,EPSG:4326,neighborhood,unknown,false,medium,DUPG_0005,true,keep_preferred,true,false,true,false,false,true,origem=susc_13a; orig_id=SUSC13A_00003
SUSC13BC_00004,susc_13a,recife,Recife,unknown,,,,unknown,recife_digitization_aoi_context.geojson,datasets/gis_workbench/recife_minimal_tp/layers/recife_digitization_aoi_context.geojson,datasets/gis_workbench/recife_minimal_tp/layers/recife_digitization_aoi_context.geojson,documentary_only,polygon,,,-34.957271;-8.138517;-34.929074;-8.10852,,datasets/gis_workbench/recife_minimal_tp/layers/recife_digitization_aoi_context.geojson,EPSG:4326,neighborhood,unknown,false,medium,DUPG_0004,false,keep_preferred,true,false,true,false,false,true,origem=susc_13a; orig_id=SUSC13A_00004
SUSC13BC_00005,susc_13a,recife,Recife,unknown,,,,unknown,recife_risk_areas_context.geojson,datasets/gis_workbench/recife_minimal_tp/layers/recife_risk_areas_context.geojson,datasets/gis_workbench/recife_minimal_tp/layers/recife_risk_areas_context.geojson,weak_risk_area_context,point_set,,,-34.957271;-8.138517;-34.929074;-8.10852,,datasets/gis_workbench/recife_minimal_tp/layers/recife_risk_areas_context.geojson,EPSG:4326,neighborhood,unknown,false,medium,DUPG_0005,true,drop_duplicate_review,false,false,true,false,false,true,origem=susc_13a; orig_id=SUSC13A_00005
SUSC13BC_00006,susc_13a,petropolis,Petropolis,flash_flood,,,,unknown,ground_reference_event_registry.csv,datasets/ground_reference_event_registry.csv,datasets/ground_reference_event_registry.csv,moderate_official_occurrence_point,point_set,,,-43.211257;-22.539291;-43.169978;-22.484251,,,EPSG:4326,neighborhood,unknown,true,medium,DUPG_0000,true,keep_preferred,true,false,true,false,false,true,origem=susc_13a; orig_id=SUSC13A_00006
SUSC13BC_00007,susc_13a,petropolis,Petropolis,flash_flood,,,,unknown,multi_anchor_multimodal_patch_registry.csv,datasets/multi_anchor_multimodal_patch_registry.csv,datasets/multi_anchor_multimodal_patch_registry.csv,moderate_official_occurrence_point,point_set,,,-43.211257;-22.539291;-43.169978;-22.484251,,,EPSG:4326,neighborhood,unknown,true,medium,DUPG_0000,true,drop_duplicate_review,false,false,true,false,false,true,origem=susc_13a; orig_id=SUSC13A_00007
SUSC13BC_00008,susc_13a,petropolis,Petropolis,flash_flood,,,,unknown,official_coordinate_recovery_hardened_registry.csv,datasets/official_coordinate_recovery_hardened_registry.csv,datasets/official_coordinate_recovery_hardened_registry.csv,moderate_official_occurrence_point,point_set,,,-43.211257;-22.539519;-43.168575;-22.484006,,,EPSG:4326,neighborhood,unknown,true,medium,DUPG_0000,true,drop_duplicate_review,false,false,true,false,false,true,origem=susc_13a; orig_id=SUSC13A_00008
SUSC13BC_00009,susc_13a,petropolis,Petropolis,flash_flood,,,,unknown,official_multi_anchor_registry.csv,datasets/official_multi_anchor_registry.csv,datasets/official_multi_anchor_registry.csv,moderate_official_occurrence_point,point_set,,,-43.211257;-22.539291;-43.169978;-22.484251,,,EPSG:4326,neighborhood,unknown,true,medium,DUPG_0000,true,drop_duplicate_review,false,false,true,false,false,true,origem=susc_13a; orig_id=SUSC13A_00009
