date,precip_mm
2022-04-24,8.1875
2022-04-25,8.5920
2022-04-26,0.0000
2022-04-27,7.8818
2022-04-28,10.4744
2022-04-29,0.0000
2022-04-30,0.0000
2022-05-01,0.0000
2022-05-02,0.0000
2022-05-03,0.0000
2022-05-04,0.0000
2022-05-05,0.0000
2022-05-06,0.0000
2022-05-07,0.0000
2022-05-08,0.0000
2022-05-09,47.3064
2022-05-10,0.0000
2022-05-11,0.0000
2022-05-12,0.0000
2022-05-13,0.0000
2022-05-14,0.0000
2022-05-15,0.0000
2022-05-16,0.0000
2022-05-17,21.1722
2022-05-18,0.0000
2022-05-19,0.0000
2022-05-20,0.0000
2022-05-21,0.0000
2022-05-22,0.0000
2022-05-23,18.2800
