missing_data_id,data_name,region,related_patch_id,related_asset_id,related_event_id,current_status,scientific_purpose,unlocks_day,unlocks_gate,required_format,expected_location,known_source_or_portal,local_search_result,external_download_needed,manual_action_needed,can_be_done_now,priority,blocking_reason,notes
MD_P0_01_SCENE_ID,scene_id / product_id dos 128 exports GEE/Sentinel,Todas,128_patches,128_assets,,FALTANTE_RECUPERAR_LOCAL,SCENE_LINEAGE|TEMPORALIDADE|REPRODUTIBILIDADE,DIA_02|DIA_03,G1,log/CSV de tasks GEE ou metadados de exportação,histórico de tasks GEE da usuária / workspace PROJETO,Google Earth Engine task history,AUSENTE — 0 scene_id nos 128 assets do manifesto MV2-03,false,true,false,P0,"sem scene_id não há acquisition_datetime, cloud_cover, lineage nem Trilha A",uma única recuperação destrava datetime+cloud_cover+lineage da Trilha A inteira
MD_P0_02_ACQ_DATETIME,acquisition_datetime por asset/patch,Todas,128_patches,128_assets,,PRESENTE_SEM_METADATA,TEMPORALIDADE,DIA_02,G2,campo datetime ISO por asset,manifesto temporal MV2-02 (campos hoje null),derivável do scene_id (MD_P0_01),TODOS_NULOS — 0/128 com datetime válido,false,true,false,P0,datetime ausente; não inferir por nome de arquivo sem evidência forte,depende de MD_P0_01; não inferir data por filename
MD_P0_03_CLOUD_COVER,cloud_cover por asset/patch,Todas,128_patches,128_assets,,PRESENTE_SEM_METADATA,CLOUD_COVER,DIA_03,G2,fração de nuvem por patch (0-1),metadados GEE/Copernicus por cena,Copernicus Hub / GEE asset metadata,AUSENTE — 162/164 patches sem cloud_cover,false,true,false,P0,confound visual do encoder não controlável sem cloud_cover,derivável se scene_id recuperado (MD_P0_01)
MD_P0_04_PNG_RECIFE,PNG canônicos de Recife com vínculo patch_id (deficit ~35),Recife,REC_patches,REC_assets,,FALTANTE_RECUPERAR_LOCAL,REBALANCEAMENTO_REGIONAL,DIA_08,G_COVERAGE,PNG renderizado com patch_id/asset_id rastreável,workspace PROJETO (read-only) / local_runs,exportação canônica PROJETO,PARCIAL — 102 candidatos Recife LOW sem vínculo patch/asset (MV2-11),false,true,false,P0,cobertura Recife=5.4%; 131 candidatos LOW não canonizáveis sem vínculo forte,candidato regional != canônico; só promover com patch_id/asset_id forte
MD_P0_05_PNG_PETROPOLIS,PNG canônicos de Petrópolis com vínculo patch_id (deficit ~45),Petropolis,PET_patches,PET_assets,,FALTANTE_RECUPERAR_LOCAL,REBALANCEAMENTO_REGIONAL,DIA_08,G_COVERAGE,PNG renderizado com patch_id/asset_id rastreável,workspace PROJETO (read-only) / local_runs,exportação canônica PROJETO,PARCIAL — 29 candidatos Petropolis LOW sem vínculo patch/asset (MV2-11),false,true,false,P0,cobertura Petropolis=6.25%; Petrópolis é cohort mass_movement separado de flood,não misturar Petrópolis (mass_movement) com flood em nenhuma análise
MD_P0_06_RASTER_ESPECTRAL,Raster Sentinel-2 L2A espectral nativo (bandas B02/B03/B04/B08/B11/B12 + SCL),Todas,128_patches,128_assets,,FALTANTE_BAIXAR_EXTERNO,RASTER_SENTINEL_ESPECTRAL,DIA_10,G1,GeoTIFF/JP2/SAFE multibanda com CRS,data_quarantine/mv2_12_intake ou external_data_local/mv2_12 (git-ignored),https://dataspace.copernicus.eu / GEE export,AUSENTE — 0 GeoTIFF/JP2/SAFE espectral legível na varredura MV2-12,true,true,false,P0,PNG/NPZ/DINOv2 visual não substituem raster espectral; 0 raster nativo local,depende de MD_P0_01 (scene_id) para download auditável por patch
MD_P1_07_FOOTPRINT_RECIFE,Footprint vetorial de inundação Recife mai/2022 (Charter758/EMSR601),Recife,REC_00019,,REC_2022_05_24_30,FALTANTE_DIGITALIZAR,GEOMETRIA_EVENTO|EVIDENCIA_OBSERVACIONAL,DIA_18,G2|G3,GeoJSON/SHP polígono com CRS e incerteza,datasets/external_sources/recife_minimal_tp/.../charter758/derived,Copernicus EMS EMSR601 (vetor pago) / digitalização do PNG,PNG_PRESENTE_VETOR_AUSENTE — candidato digitalizado tem 0 features,true,true,true,P1,só raster PNG disponível; vetor oficial exige acesso pago/institucional,única evidência observacional digitalizável agora; só imagem != vetor fechado
MD_P1_08_GEOM_EVENTOS_PROTOCOLO_C,Geometrias dos 9 eventos candidatos do Protocolo C,Todas,,,9_eventos_v2aq,FALTANTE_DIGITALIZAR,GEOMETRIA_EVENTO|OVERLAY_PATCH_EVENTO,DIA_18,G4,"GeoJSON polígono observado com CRS, fonte e data",docs/protocolo_c/v2aq_event_geometry_patch_link/geojson_candidates,mapas oficiais / Defesa Civil / Copernicus EMS,"TODOS_NULL — 9/9 geometry=null (4 textual, 4 mapa, 1 insuficiente)",true,true,false,P1,geometry=null; município inteiro não é geometria de evento observado,G4 permanece bloqueado; ver mv2_12_event_geometry_backlog.csv
MD_P1_09_DEFESA_CIVIL_RECIFE,Pontos GPS de vistoria Defesa Civil Recife mai/2022 (400 pontos),Recife,,,REC_2022_05_24_30,PRESENTE_SEM_VINCULO_FORTE,GEOMETRIA_EVENTO|EVIDENCIA_OBSERVACIONAL,DIA_18,G2|G3,CSV lat/lon ou shapefile revisado,quarentena local (GeoJSON existente is_reviewed=false),Defesa Civil Recife (LAI/email),PARCIAL — 400 pontos existem mas conflitam com Charter758 (v2bs); não revisados,false,true,false,P1,conflito espacial documentado; exige revisão humana para escolher geometria,ponto != footprint; não promover a GT sem revisão
MD_P1_10_CEMADEN,Série de alertas/relatórios CEMADEN por evento,Todas,,,REC/PET/CTB,FALTANTE_PORTAL_MANUAL,EVIDENCIA_OBSERVACIONAL|TEMPORALIDADE,DIA_18,G4|G5,CSV/PDF de alertas por estação e data,quarentena local após solicitação,https://www.cemaden.gov.br/ (LAI 12.527/2011),BLOQUEADO — exige solicitação formal; cartas criadas em v2bk,true,true,false,P1,dados históricos detalhados exigem LAI; prazo legal 30 dias,confirmação temporal independente; não cria label
