source_name,source_type,region,url_or_portal,expected_file,expected_format,access_status,license_or_terms_status,estimated_size_class,should_download_now,download_target_dir,publish_to_outputs_public,checksum_required,reason,risk
ESA/Copernicus — EXT_001,Sentinel-2,Todas,https://scihub.copernicus.eu ou https://dataspace.copernicus.eu,GeoTIFFs Level-2A por patch — 128 recortes espectrais com bandas B02/B03/B04/B08/B11,GeoTIFF/JP2 multibanda,LOCAL_ONLY_INACESSIVEL — arquivos físicos encontrados mas 0 legíveis como GeoTIFF espectral; PIL lê como PNG renderizado,ABERTO_COPERNICUS,GB,false,external_data_local/mv2_12,false,true,Requer exportação nova via GEE ou download Copernicus com scene ID auditável por patch,pesado; exige scene_id por patch para download auditável
ESA/Copernicus via GEE — EXT_002,Sentinel-2,Todas,GEE export log ou arquivo de metadados de exportação,Scene ID / Product ID de geração de cada recorte (log GEE export),log/CSV de export GEE,AUSENTE — nenhum scene_id nos 128 assets do manifesto,PRIVADO_USUARIA,KB,false,external_data_local/mv2_12,false,true,Requer recuperação do log original de exportação GEE; possível via histórico de tasks GEE da usuária,recuperação manual do histórico GEE
ESA/Copernicus — EXT_003,Sentinel-2,Todas,Copernicus Hub / GEE asset metadata,Cloud cover por recorte — fração de nuvem real por patch,CSV cloud_cover por cena,AUSENTE — 162/164 patches sem cloud cover,ABERTO_COPERNICUS,KB,false,external_data_local/mv2_12,false,true,Derivável do GEE se o scene ID for recuperado,depende de scene_id
Copernicus EMS — EXT_004,Copernicus_EMS,Recife,https://emergency.copernicus.eu/mapping/ems-product-component/EMSR601_AOI01_GRA_PRODUCT_r1_RTP01/1,Mapa de satélite ativação Charter758 — polígono de inundação Recife mai/2022 (vetor ou GeoTIFF),PNG raster (vetor indisponível),BAIXADO PNG — vetor/SHP não disponível gratuitamente; raster PNG baixado em quarentena local,EMS_TERMOS,MB,false,external_data_local/mv2_12,false,true,Vetor exige acesso premium Copernicus EMS; alternativa: digitalizar manualmente do raster PNG,vetor exige acesso premium; PNG já em quarentena
Defesa Civil Recife — EXT_005,Defesa_Civil,Recife,Secretaria de Defesa Civil de Recife (LAI ou email direto),Pontos GPS de vistoria Defesa Civil Recife mai/2022 (CSV lat/lon ou shapefile),CSV lat/lon ou SHP,PARCIALMENTE_PRESENTE — GeoJSON dos pontos existe em quarentena local mas is_reviewed=false; conflito espacial documenta,LAI_OU_CONTATO,MB,false,external_data_local/mv2_12,false,true,Pontos existem localmente; requer revisão humana para validar qual geometria usar,pontos existem mas conflitam; exige revisão humana
CEMADEN — EXT_006,CEMADEN,Todas,https://www.cemaden.gov.br/,Série de alertas/relatórios por evento (Recife mai/2022 / Petrópolis fev/2022 / Curitiba jan/2022),CSV/PDF de alertas,BLOQUEADO — CEMADEN exige solicitação formal/LAI para dados históricos detalhados; cartas de solicitação criadas em v2bk,LAI_REQUERIDA,MB,false,external_data_local/mv2_12,false,true,Envia solicitação formal via LAI (Lei 12.527/2011); 30 dias de prazo legal,solicitação formal LAI; prazo 30 dias
APAC (PE) — EXT_007,APAC,Recife,https://www.apac.pe.gov.br/,Dados pluviométricos e de alerta — eventos Recife 2022,CSV série por estação,PDF informativo baixado (CONTEXT_ONLY); série por estação não disponibilizada publicamente,CONTATO_DIRETO,MB,false,external_data_local/mv2_12,false,true,PDF em quarentena local; série requer contato direto com APAC,série não pública; PDF já baixado
ANA — EXT_008,ANA_HidroWeb,Recife,https://www.snirh.gov.br/hidroweb/,Série histórica Capibaribe — estação 39187800 (Recife) — dados horários/diários por evento,CSV série diária/horária,BAIXADO VAZIO — estação 39187800 sem dados 2022 no download realizado; HidroWeb pode ter dados por consulta diferente,ABERTO_ANA,MB,true,data_quarantine/mv2_12_intake,false,true,Tentar download série tipo diário ou reenviar consulta com intervalo explícito,download leve público; consulta anterior veio vazia
DRM-RJ — EXT_009,DRM_RJ,Petrópolis,http://www.drm.rj.gov.br/,Mapeamento de cicatrizes/áreas atingidas Petrópolis fev/2022,SHP/GeoJSON cicatrizes,AUSENTE — DRM-RJ não acessado; cohort Petrópolis = MASS_MOVEMENT separado de flood,CONTATO_DRM,MB,false,external_data_local/mv2_12,false,true,Contato DRM-RJ; atenção: massa ≠ inundação — coorte separado,cohort mass_movement separado de flood
SGB/CPRM — EXT_010,CPRM_SGB,Recife,https://rigeo.sgb.gov.br/,Vetor leve de suscetibilidade Recife — carta SGB recorte municipal,GeoJSON/SHP recorte municipal,BLOQUEADO — SIG vetorial completo 1.8 GB; carta PDF disponível; recorte municipal ausente,ABERTO_SGB,GB,false,external_data_local/mv2_12,false,true,Solicitar recorte GeoJSON/SHP do município ao SGB ou derivar do PDF via digitalização,SIG completo 1.8GB; recorte ausente
IPPUC / Defesa Civil CTB — EXT_011,IPPUC_GeoCuritiba,Curitiba,https://geocuritiba.ippuc.org.br/,Dados de ocorrência de inundação Curitiba jan/2022 (relatório de defesa civil municipal),CSV pontos / GeoJSON,AUSENTE — deep crawl v2ce tentou 181 links; 0 geometria encontrada; dossiê de solicitação criado,ABERTO_GEOCURITIBA,MB,false,external_data_local/mv2_12,false,true,Solicitação formal à Defesa Civil de Curitiba (v2ce dossiê ready),deep crawl 0 geometria; solicitação formal pronta
ESA/Copernicus — EXT_012,Sentinel-1_SAR,Todas,https://dataspace.copernicus.eu,Imagens SAR Sentinel-1 pré/pós evento por cidade (detecta água sob nuvem),GRD backscatter GeoTIFF,AUSENTE — nenhum asset SAR no manifesto; 0 assets_sentinel_1 no MV2-01,ABERTO_COPERNICUS,GB,false,external_data_local/mv2_12,false,true,Download viável via Copernicus Dataspace com scene ID de evento; requer processamento de back-scatter,exige processamento de backscatter
IBGE — EXT_013,IBGE,Todas,https://www.ibge.gov.br/geociencias/organizacao-do-territorio/malhas-territoriais/26565-malhas-de-setores-censitarios-divisoes-intramunicipais.html,Grade estatística 1km (Censo 2022) — densidade demográfica por patch,raster/CSV grade 1km,BLOQUEADO por licença em versão anterior; reavaliação da licença da grade 1km 2022 pendente,LICENCA_A_VERIFICAR,MB,false,external_data_local/mv2_12,false,true,Grade 2022 pode ter licença diferente; verificar antes de baixar,licença grade 2022 a reverificar antes de baixar
Copernicus EMS — EXT_014,Copernicus_EMS_Recife,Recife,https://emergency.copernicus.eu/mapping/ems/601,Vetor landslide scars evento Recife (ativação EMSR601) — formato SHP ou GeoJSON,SHP/GeoJSON landslide scars,ACESSO_PAGO — produto vectorial exige acesso pago ou ser organização elegível; PNG/metadata metadata baixados,ACESSO_PAGO,MB,false,external_data_local/mv2_12,false,true,Alternativa: solicitar via parceria institucional (CEMADEN/CPRM/Defesa Civil são elegíveis),produto vetorial pago ou organização elegível
MapBiomas/PRODES — EXT_015,MapBiomas,Todas,https://brasil.mapbiomas.org/,Coleção COL.10 — raster de cobertura do solo por patch (resolução 30m),raster cobertura 30m,XLSX de estatísticas baixado (CONTEXT_ONLY); raster por patch não baixado (pesado/GEE),ABERTO_MAPBIOMAS,GB,false,external_data_local/mv2_12,false,true,Raster acessível via GEE (asset MapBiomas); exportação por patch viável,raster por patch via GEE; XLSX já baixado
