gate_id,turning_point_level,gate_name,required_condition,observed_value,gate_passed,severity,blocking_reason,recommended_action,notes
V2BE_GATE_c9d1fe41d0f9,TP1_ONE_PATCH_BOUNDARY_CANDIDATE_REQUIRES_HUMAN_REVIEW,TP1_01_BOUNDARY_GEOJSON_EXISTS,source GeoJSON exists,GeoJSON loaded,true,blocking,,Preserve guardrail,TP1 remains a candidate requiring human review; never final truth.
V2BE_GATE_14a25ba8cba9,TP1_ONE_PATCH_BOUNDARY_CANDIDATE_REQUIRES_HUMAN_REVIEW,TP1_02_BOUNDARY_GEOMETRY_VALID,Polygon/MultiPolygon valid,geometry_valid=True,true,blocking,,Preserve guardrail,TP1 remains a candidate requiring human review; never final truth.
V2BE_GATE_2cf5a2115f10,TP1_ONE_PATCH_BOUNDARY_CANDIDATE_REQUIRES_HUMAN_REVIEW,TP1_03_ORIGINAL_CRS_RECORDED,original CRS recorded,EPSG:32725,true,blocking,,Preserve guardrail,TP1 remains a candidate requiring human review; never final truth.
V2BE_GATE_5de71e274fc6,TP1_ONE_PATCH_BOUNDARY_CANDIDATE_REQUIRES_HUMAN_REVIEW,TP1_04_NORMALIZED_CRS_RECORDED,normalized CRS recorded,EPSG:4326,true,blocking,,Preserve guardrail,TP1 remains a candidate requiring human review; never final truth.
V2BE_GATE_1075bb29aef1,TP1_ONE_PATCH_BOUNDARY_CANDIDATE_REQUIRES_HUMAN_REVIEW,TP1_05_LINEAGE_SOURCE_RECORDED,direct lineage source recorded,lineage_recorded=True,true,blocking,,Preserve guardrail,TP1 remains a candidate requiring human review; never final truth.
V2BE_GATE_3f554618964b,TP1_ONE_PATCH_BOUNDARY_CANDIDATE_REQUIRES_HUMAN_REVIEW,TP1_06_FEED_READY_FOR_V2BA,v2ba feed ready,ready=True,true,blocking,,Preserve guardrail,TP1 remains a candidate requiring human review; never final truth.
V2BE_GATE_bb9a11ab854b,TP1_ONE_PATCH_BOUNDARY_CANDIDATE_REQUIRES_HUMAN_REVIEW,TP1_07_FEED_READY_FOR_V2AW,v2aw feed ready,ready=True,true,blocking,,Preserve guardrail,TP1 remains a candidate requiring human review; never final truth.
V2BE_GATE_54ac61a840eb,TP1_ONE_PATCH_BOUNDARY_CANDIDATE_REQUIRES_HUMAN_REVIEW,TP1_08_FEED_READY_FOR_V2AV,v2av feed ready,ready=True,true,blocking,,Preserve guardrail,TP1 remains a candidate requiring human review; never final truth.
V2BE_GATE_8c4302a74682,TP1_ONE_PATCH_BOUNDARY_CANDIDATE_REQUIRES_HUMAN_REVIEW,TP1_09_FEED_READY_FOR_V2AZ,v2az feed ready,ready=True,true,blocking,,Preserve guardrail,TP1 remains a candidate requiring human review; never final truth.
V2BE_GATE_349b03b11a27,TP1_ONE_PATCH_BOUNDARY_CANDIDATE_REQUIRES_HUMAN_REVIEW,TP1_10_HUMAN_REVIEW_REQUIRED,human review remains required,required=True,true,blocking,,Preserve guardrail,TP1 remains a candidate requiring human review; never final truth.
V2BE_GATE_f3c69b96f16f,TP1_ONE_PATCH_BOUNDARY_CANDIDATE_REQUIRES_HUMAN_REVIEW,TP1_11_NO_EVENT_POLYGON_INFERRED,no event polygon inferred,event_polygons_created=0,true,safety,,Preserve guardrail,TP1 remains a candidate requiring human review; never final truth.
V2BE_GATE_f3336ff93fe9,TP1_ONE_PATCH_BOUNDARY_CANDIDATE_REQUIRES_HUMAN_REVIEW,TP1_12_NO_LABEL_CREATED,no operational label created,labels_created=0,true,safety,,Preserve guardrail,TP1 remains a candidate requiring human review; never final truth.
V2BE_GATE_9d94bdc00c1c,TP1_ONE_PATCH_BOUNDARY_CANDIDATE_REQUIRES_HUMAN_REVIEW,TP1_13_NO_MODEL_TRAINED,no model trained,models_trained=0,true,safety,,Preserve guardrail,TP1 remains a candidate requiring human review; never final truth.
