smoke_id,execution_queue_id,visual_asset_id,patch_id,alias,region,relative_path,path_hash,visual_type,sample_rank,selection_reason,linkage_confidence,dino_allowed_use,can_create_label,can_train_model,target_created,selected_for_smoke,blocked_reason,notes
V1QH_SMK_00001,V1QA_EQ_00001,V1PU_VA_00001,CUR_00038,CUR_00038,CURITIBA,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,1,min_per_region_quota,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
V1QH_SMK_00002,V1QA_EQ_00002,V1PU_VA_00002,CUR_00249,CUR_00249,CURITIBA,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,2,min_per_region_quota,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
V1QH_SMK_00003,V1QA_EQ_00003,V1PU_VA_00003,CUR_00350,CUR_00350,CURITIBA,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,3,min_per_region_quota,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
V1QH_SMK_00004,V1QA_EQ_00004,V1PU_VA_00004,CUR_00357,CUR_00357,CURITIBA,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,4,min_per_region_quota,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
V1QH_SMK_00005,V1QA_EQ_00045,V1PU_VA_00045,PET_00104,PET_00104,PET,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,5,min_per_region_quota,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
V1QH_SMK_00006,V1QA_EQ_00046,V1PU_VA_00046,PET_00119,PET_00119,PET,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,6,min_per_region_quota,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
V1QH_SMK_00007,V1QA_EQ_00047,V1PU_VA_00047,PET_00140,PET_00140,PET,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,7,min_per_region_quota,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
V1QH_SMK_00008,V1QA_EQ_00048,V1PU_VA_00048,PET_00240,PET_00240,PET,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,8,min_per_region_quota,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
V1QH_SMK_00009,V1QA_EQ_00093,V1PU_VA_00093,REC_00183,REC_00183,RECIFE,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,9,min_per_region_quota,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
V1QH_SMK_00010,V1QA_EQ_00094,V1PU_VA_00094,REC_00204,REC_00204,RECIFE,,e3b0c44298fc1c14,SENTINEL_TIF_REFERENCE,10,min_per_region_quota,HIGH,REVIEW_ONLY_REPRESENTATION,false,false,false,true,,
