gap_id,observed_event_id,region,gap_type,gap_description,required_for_gate,required_for_patch_level_reference,priority_level,suggested_action,status,notes
GAP_REC_2022_05_001,REC_2022_05_24_30,Recife,PATCH_OVERLAY_NOT_DONE,Overlay espacial entre geometria do evento e patches do corpus Sentinel não foi executado,G4_SPATIAL_ALIGNMENT,true,HIGH,Adquirir geometria de área afetada e executar overlay patch-level após licença verificada,OPEN,Não pode ser feito sem geometria de área afetada validada
GAP_REC_2022_05_002,REC_2022_05_24_30,Recife,REVIEW_GATE_NOT_DONE,Revisão supervisora da evidência observacional não foi executada,G7_REVIEW_GATE,true,HIGH,Programar revisão por pesquisador ou especialista após aquisição de fonte bruta,OPEN,Obrigatória antes de qualquer promoção
GAP_REC_2022_05_003,REC_2022_05_24_30,Recife,LICENSE_PROVENANCE_PENDING,Licença e proveniência das fontes municipais para uso acadêmico não foram verificadas,G5_SOURCE_STRENGTH,true,HIGH,Verificar termos de reutilização do portal da Prefeitura do Recife,OPEN,Fontes municipais podem ter restrições de redistribuição
GAP_REC_2022_05_004,REC_2022_05_24_30,Recife,MUNICIPAL_OCCURRENCE_LOG_MISSING,Base com as 115 ocorrências críticas do evento não foi adquirida,G4_SPATIAL_ALIGNMENT,true,HIGH,Solicitar formalmente à COMPDEC Recife a base de ocorrências críticas,OPEN,Essencial para georreferenciamento de área afetada
GAP_REC_2022_05_005,REC_2022_05_24_30,Recife,OFFICIAL_FLOOD_MAP_MISSING,Mapa oficial de área afetada ou delimitação de pontos de alagamento não disponível no repositório,G4_SPATIAL_ALIGNMENT,true,HIGH,Solicitar mapa de pontos de alagamento à COMPDEC e/ou CTTU,OPEN,Necessário para overlay patch-level futuro
GAP_REC_2022_05_006,REC_2022_05_24_30,Recife,ADDRESS_LEVEL_DETAIL_MISSING,Endereços ou localidades específicas afetadas não foram georreferenciados,G4_SPATIAL_ALIGNMENT,true,MEDIUM,Extrair localidades dos boletins municipais e georreferenciar,OPEN,Jardim Uchôa; Areias; Jardim Monte Verde mencionados nas fontes
GAP_REC_2023_02_001,REC_2023_02_05_06,Recife,PATCH_OVERLAY_NOT_DONE,Overlay espacial entre geometria do evento e patches do corpus não foi executado,G4_SPATIAL_ALIGNMENT,true,HIGH,Adquirir lista oficial de pontos de alagamento e executar overlay futuro,OPEN,Não pode ser feito sem geometria validada
GAP_REC_2023_02_002,REC_2023_02_05_06,Recife,REVIEW_GATE_NOT_DONE,Revisão supervisora da evidência não foi executada,G7_REVIEW_GATE,true,HIGH,Programar revisão após aquisição de fonte de pontos de alagamento,OPEN,Obrigatória antes de qualquer promoção
GAP_REC_2023_02_003,REC_2023_02_05_06,Recife,LICENSE_PROVENANCE_PENDING,Licença e proveniência da fonte jornalística (NE10) não verificada para uso acadêmico,G5_SOURCE_STRENGTH,false,MEDIUM,Verificar termos de uso do portal NE10 e identificar fonte primária oficial subjacente,OPEN,Fonte jornalística não é fonte primária; precisa de fonte oficial correspondente
GAP_REC_2023_02_004,REC_2023_02_05_06,Recife,MUNICIPAL_OCCURRENCE_LOG_MISSING,Lista oficial de pontos de alagamento de 05–06/02/2023 não adquirida,G4_SPATIAL_ALIGNMENT,true,HIGH,Solicitar à COMPDEC Recife registros de ocorrências do período,OPEN,Necessário para triagem espacial detalhada
