provenance_id,source_id,acquisition_id,source_name,provider,license_status,redistribution_status,citation_required,citation_text_placeholder,public_metadata_allowed,raw_data_publication_allowed,derived_data_publication_allowed,local_only_required,sensitive_content_risk,provenance_completeness,use_in_public_repo_allowed,use_for_reference_candidate_allowed,use_for_operational_ground_truth_allowed,blocked_reason,notes
PROV_REC_DC_001,SRC_REC_DC_2021,ACQ_REC_DC_001,Defesa Civil Recife - Relatório 2021,COMPDEC Recife,UNKNOWN,UNKNOWN,unknown,[To be completed upon access: Coordenadoria Municipal de Proteção e Defesa Civil de Recife. Relatório de Evento. Ano. Acesso: data.],true,false,UNKNOWN,true,POSSIBLE_SENSITIVE_INFRASTRUCTURE,INSUFFICIENT,true,BLOCKED_PENDING_LICENSE_CLARIFICATION,FALSE,LICENSE_UNKNOWN,All uses blocked until license clarified; metadata only in public repo; formal request required
PROV_REC_DC_002,SRC_REC_DC_2022,ACQ_REC_DC_002,Defesa Civil Recife - Relatório 2022,COMPDEC Recife,UNKNOWN,UNKNOWN,unknown,[To be completed upon access: Coordenadoria Municipal de Proteção e Defesa Civil de Recife. Relatório de Evento 2022. Acesso: data.],true,false,UNKNOWN,true,POSSIBLE_SENSITIVE_INFRASTRUCTURE,INSUFFICIENT,true,BLOCKED_PENDING_LICENSE_CLARIFICATION,FALSE,LICENSE_UNKNOWN,Same blocker as 2021; provenance incomplete pending formal access
PROV_REC_CPRM_001,SRC_REC_CPRM_2021,ACQ_REC_CPRM_001,CPRM Post-event Assessment Recife,Serviço Geológico do Brasil (CPRM),UNKNOWN,UNKNOWN,true,[To be completed: CPRM/SGB. Relatório de Avaliação Pós-Evento. Recife. Ano. Disponível em: rigeo.cprm.gov.br. Acesso: data.],true,false,UNKNOWN,true,NONE_IDENTIFIED,INSUFFICIENT,true,BLOCKED_PENDING_LICENSE_CLARIFICATION,FALSE,LICENSE_UNKNOWN,CPRM reports typically public but license must be confirmed; once confirmed likely PUBLIC_REUSE_ALLOWED
PROV_REC_SENT2_001,SRC_REC_SENT2_2021,ACQ_REC_SENT2_001,Sentinel-2 L2A Recife 2021,ESA/Copernicus,PUBLIC_REUSE_ALLOWED,PUBLIC_METADATA_ONLY,true,"ESA (European Space Agency). Sentinel-2 Level-2A. Copernicus Open Access Hub. Accessed: [date]. Tile: [tile_id]. Date: [date].",true,false,FUTURE_REVIEW_REQUIRED,true,NONE_IDENTIFIED,PARTIAL,true,PENDING_ANNOTATION_AND_REVIEW,FUTURE_REVIEW_REQUIRED,NONE,License known (Copernicus Sentinel Data Terms); raw data local-only; derived analysis requires review gate before use as reference; citation required
PROV_REC_GFM_001,SRC_REC_GFM_2021,ACQ_REC_GFM_001,Copernicus GFM Recife 2021,Copernicus Emergency Management Service (CEMS),PUBLIC_REUSE_ALLOWED,PUBLIC_METADATA_ONLY,true,"Copernicus Emergency Management Service (CEMS). Global Flood Monitoring (GFM). [Event ID]. [Date]. European Commission.",true,false,FUTURE_REVIEW_REQUIRED,true,NONE_IDENTIFIED,PARTIAL,true,PENDING_UNCERTAINTY_DOCUMENTATION,FALSE,NONE,License known (Copernicus open); algorithmic product; uncertainty must be documented from GFM methodology; cannot be operational ground truth alone
PROV_PET_DC_001,SRC_PET_DC_2022,ACQ_PET_DC_001,Defesa Civil Petrópolis - Relatório Fevereiro 2022,Defesa Civil Municipal Petrópolis,UNKNOWN,UNKNOWN,unknown,[To be completed: Defesa Civil Municipal de Petrópolis. Relatório de Evento. Fevereiro 2022. Acesso: data.],true,false,UNKNOWN,true,POSSIBLE_SENSITIVE_INFRASTRUCTURE,INSUFFICIENT,true,BLOCKED_PENDING_LICENSE_CLARIFICATION,FALSE,LICENSE_UNKNOWN,Formal request required; license unknown; raw data local-only pending access
PROV_PET_CPRM_001,SRC_PET_CPRM_2022,ACQ_PET_CPRM_001,CPRM Post-event Geological Assessment Feb 2022,Serviço Geológico do Brasil (CPRM),UNKNOWN,UNKNOWN,true,[To be completed: CPRM/SGB. Relatório Geológico Pós-Evento - Petrópolis. Fevereiro 2022. Disponível em: rigeo.cprm.gov.br. Acesso: data.],true,false,UNKNOWN,true,NONE_IDENTIFIED,INSUFFICIENT,true,BLOCKED_PENDING_LICENSE_CLARIFICATION,FALSE,LICENSE_UNKNOWN,CPRM reports typically public; license confirmation pending; critical for geomorphological grounding of Feb 2022 event
PROV_CUR_DC_001,SRC_CUR_DC_2022,ACQ_CUR_DC_001,Defesa Civil Curitiba - Relatório 2022-2023,Defesa Civil Municipal Curitiba,UNKNOWN,UNKNOWN,unknown,[To be completed: Defesa Civil Municipal de Curitiba. Relatório de Eventos 2022-2023. Acesso: data.],true,false,UNKNOWN,true,POSSIBLE_SENSITIVE_INFRASTRUCTURE,INSUFFICIENT,true,BLOCKED_PENDING_LICENSE_CLARIFICATION,FALSE,LICENSE_UNKNOWN,Formal request required; license unknown; urban alagamento records
PROV_CUR_GEOCUR_001,SRC_CUR_GEOCUR,ACQ_CUR_GEOCURITIBA_001,GeoCuritiba Municipal GIS Layers,Prefeitura de Curitiba; Secretaria de Meio Ambiente,UNKNOWN,UNKNOWN,true,[To be completed: Prefeitura de Curitiba. GeoCuritiba Portal. Layer: [layer_name]. CRS: SIRGAS2000. Accessed: [date].],true,false,FUTURE_REVIEW_REQUIRED,false,NONE_IDENTIFIED,PARTIAL,true,PENDING_LICENSE_CONFIRMATION,FALSE,LICENSE_UNKNOWN,Portal is public; license expected open but must be confirmed; CRS and metadata visible in portal; citation required
PROV_DINO_001,SRC_DINO_ALL,ACQ_DINO_SUPPORT,DINOv2 Structural Embedding,Facebook Research / Meta AI,PUBLIC_REUSE_ALLOWED,PUBLIC_REUSABLE,true,"Oquab, M. et al. (2023). DINOv2: Learning Robust Visual Features without Supervision. arXiv:2304.07193.",true,false,FUTURE_REVIEW_REQUIRED,false,NONE_IDENTIFIED,COMPLETE,true,NOT_APPLICABLE_REVIEW_ONLY,FALSE,NONE,License Apache 2.0; provenance complete; cannot be used for ground truth gate closure; review-only structural support
