update_id,target_type,target_id,source_file_to_edit,field_name,current_value,expected_value_or_instruction,is_required,blocking_reason,notes
V2BC_UPDATE_d319af449963,patch_boundary,REC_00019,datasets/external_sources/recife_minimal_tp/patch_boundary_REC_00019/FILL_THIS_PATCH_BOUNDARY.csv,source_type,missing,"wkt, geojson_file, geojson_inline or bbox",true,REAL_GEOMETRY_AND_PROVENANCE_REQUIRED,Do not fill from context-only layers.
V2BC_UPDATE_fd2b0393ccb0,patch_boundary,REC_00019,datasets/external_sources/recife_minimal_tp/patch_boundary_REC_00019/FILL_THIS_PATCH_BOUNDARY.csv,geometry_path,,Path to real saved geometry,true,REAL_GEOMETRY_AND_PROVENANCE_REQUIRED,Do not fill from context-only layers.
V2BC_UPDATE_4fb3c83981af,patch_boundary,REC_00019,datasets/external_sources/recife_minimal_tp/patch_boundary_REC_00019/FILL_THIS_PATCH_BOUNDARY.csv,crs,,Verified accepted CRS,true,REAL_GEOMETRY_AND_PROVENANCE_REQUIRED,Do not fill from context-only layers.
V2BC_UPDATE_b90ea8fa7dd5,patch_boundary,REC_00019,datasets/external_sources/recife_minimal_tp/patch_boundary_REC_00019/FILL_THIS_PATCH_BOUNDARY.csv,provenance_note,,Source and digitization provenance,true,REAL_GEOMETRY_AND_PROVENANCE_REQUIRED,Do not fill from context-only layers.
V2BC_UPDATE_bb313f749edc,patch_boundary,REC_00019,datasets/external_sources/recife_minimal_tp/patch_boundary_REC_00019/FILL_THIS_PATCH_BOUNDARY.csv,source_document,,Verified source document/reference,true,REAL_GEOMETRY_AND_PROVENANCE_REQUIRED,Do not fill from context-only layers.
V2BC_UPDATE_6bedb70709c0,patch_boundary,REC_00019,datasets/external_sources/recife_minimal_tp/patch_boundary_REC_00019/FILL_THIS_PATCH_BOUNDARY.csv,review_status,,provided_unreviewed,true,REAL_GEOMETRY_AND_PROVENANCE_REQUIRED,Do not fill from context-only layers.
V2BC_UPDATE_cea4b142413d,event_polygon,REC_2022_05_24_30,datasets/external_sources/recife_minimal_tp/event_polygon_REC_2022_05_24_30/FILL_THIS_EVENT_POLYGON.csv,source_type,missing,"wkt, geojson_file, geojson_inline or bbox",true,REAL_GEOMETRY_AND_PROVENANCE_REQUIRED,Do not fill from context-only layers.
V2BC_UPDATE_21acf3fdab96,event_polygon,REC_2022_05_24_30,datasets/external_sources/recife_minimal_tp/event_polygon_REC_2022_05_24_30/FILL_THIS_EVENT_POLYGON.csv,geometry_path,,Path to real saved geometry,true,REAL_GEOMETRY_AND_PROVENANCE_REQUIRED,Do not fill from context-only layers.
V2BC_UPDATE_df5dc6a8ad92,event_polygon,REC_2022_05_24_30,datasets/external_sources/recife_minimal_tp/event_polygon_REC_2022_05_24_30/FILL_THIS_EVENT_POLYGON.csv,crs,,Verified accepted CRS,true,REAL_GEOMETRY_AND_PROVENANCE_REQUIRED,Do not fill from context-only layers.
V2BC_UPDATE_2ed6b4ae507f,event_polygon,REC_2022_05_24_30,datasets/external_sources/recife_minimal_tp/event_polygon_REC_2022_05_24_30/FILL_THIS_EVENT_POLYGON.csv,provenance_note,,Source and digitization provenance,true,REAL_GEOMETRY_AND_PROVENANCE_REQUIRED,Do not fill from context-only layers.
V2BC_UPDATE_aebcd5ffe936,event_polygon,REC_2022_05_24_30,datasets/external_sources/recife_minimal_tp/event_polygon_REC_2022_05_24_30/FILL_THIS_EVENT_POLYGON.csv,source_document,,Verified source document/reference,true,REAL_GEOMETRY_AND_PROVENANCE_REQUIRED,Do not fill from context-only layers.
V2BC_UPDATE_c447580e85a7,event_polygon,REC_2022_05_24_30,datasets/external_sources/recife_minimal_tp/event_polygon_REC_2022_05_24_30/FILL_THIS_EVENT_POLYGON.csv,review_status,,provided_unreviewed,true,REAL_GEOMETRY_AND_PROVENANCE_REQUIRED,Do not fill from context-only layers.
