search_plan_id,region,municipality,candidate_event_name,candidate_event_period,search_goal,target_gate,target_source_family,target_provider_or_institution,expected_evidence_type,expected_temporal_information,expected_spatial_information,expected_license_status,expected_uncertainty_information,search_priority,search_mode,current_status,dependency,allowed_output,forbidden_use,notes
SP_REC_2021_COMPDEC,RECIFE,Recife,"Inundação urbana Recife — maio/julho 2021",2021-05/2021-07,"Obter confirmação oficial de evento de inundação e mapa de área afetada de 2021 via COMPDEC Recife",MULTIPLE_GATES,CIVIL_DEFENSE_RECORD,COMPDEC Recife,"Relatório de ocorrência; mapa de área afetada; lista de bairros ou polígono afetado",Data ou período do evento confirmado por fonte institucional,Polígono ou mapa de área afetada com CRS documentado,UNKNOWN,"Limitações do levantamento administrativo documentadas",HIGH,FORMAL_REQUEST,READY_FOR_REQUEST,NONE,"metadata_registry_only; intake_record_on_receipt; raw_data_local_only","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL;FLOOD_DETECTION_SOLO;FLOOD_PREDICTION;SUPERVISED_TRAINING","Bundling com 2022 recomendado. Licença deve ser clarificada antes de qualquer uso. Template de solicitação disponível em docs/templates/."
SP_REC_2022_COMPDEC,RECIFE,Recife,"Inundação urbana Recife — 2022",2022-01/2022-12,"Obter confirmação oficial de evento específico de inundação em 2022 via COMPDEC Recife; refinar período anual",G1_EVENT_CONFIRMATION,CIVIL_DEFENSE_RECORD,COMPDEC Recife,"Relatório de ocorrência com data específica; bairros ou polígono afetado",Data específica do evento dentro de 2022,Polígono ou localização do evento,UNKNOWN,NOT_APPLICABLE,HIGH,FORMAL_REQUEST,READY_FOR_REQUEST,SP_REC_2021_COMPDEC,"metadata_registry_only; intake_record_on_receipt; raw_data_local_only","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL;FLOOD_DETECTION_SOLO;FLOOD_PREDICTION","Pode ser bundled com solicitação 2021 à mesma instituição. Evento específico dentro de 2022 deve ser identificado antes de avaliação temporal."
SP_REC_2021_CPRM,RECIFE,Recife,"Inundação urbana Recife — maio/julho 2021",2021-05/2021-07,"Verificar existência de laudo CPRM pós-evento para Recife 2021 no portal RIGeo",MULTIPLE_GATES,OFFICIAL_OBSERVED_FLOOD_MAP,Serviço Geológico do Brasil (CPRM),"Laudo geológico pós-evento; mapas de suscetibilidade ou ocorrência",Data do laudo e data do evento avaliado,Geometria de área avaliada ou afetada,UNKNOWN,"Limitações de escala e metodologia documentadas no laudo",HIGH,PUBLIC_PORTAL_REVIEW,READY_FOR_SEARCH,NONE,"metadata_registry_only; raw_data_local_only_if_downloaded","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL;SUPERVISED_TRAINING","Portal RIGeo é público. Busca pode começar sem solicitação formal. Licença UNKNOWN — verificar termos antes de qualquer download ou uso."
SP_REC_2021_SENT2,RECIFE,Recife,"Inundação urbana Recife — maio/julho 2021",2021-05/2021-07,"Verificar disponibilidade e cobertura de nuvem de imagens Sentinel-2 L2A próximas ao evento de 2021 no Copernicus Data Space",G3_TEMPORAL_ALIGNMENT,SENTINEL_EVENT_IMAGE,ESA/Copernicus,"Metadados de imagem Sentinel-2 L2A (data; cobertura de nuvem; tile)",Data de aquisição da imagem dentro da janela do evento,Cobertura do tile sobre área de Recife,PUBLIC_REUSE_ALLOWED,"Cobertura de nuvem documentada nos metadados da imagem",HIGH,PUBLIC_PORTAL_REVIEW,READY_FOR_SEARCH,SP_REC_2021_COMPDEC,"metadata_registry_only; raw_data_local_only_if_downloaded","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL","G3 depende de G1 — data do evento deve ser confirmada antes. Dado bruto local-only. Licença Copernicus Open."
SP_REC_2021_GFM,RECIFE,Recife,"Inundação urbana Recife — maio/julho 2021",2021-05/2021-07,"Verificar se houve ativação GFM/CEMS para Recife 2021 e disponibilidade de produto no portal CEMS",MULTIPLE_GATES,OPERATIONAL_FLOOD_PRODUCT,Copernicus Emergency Management Service (CEMS),"Produto GFM com mapa de inundação e metadados de incerteza",Data do produto alinhada ao evento,Extensão do produto sobre área de Recife,PUBLIC_REUSE_ALLOWED,"Metadados de confiança e limitações do produto GFM documentados",MEDIUM,PUBLIC_PORTAL_REVIEW,READY_FOR_SEARCH,SP_REC_2021_COMPDEC,"metadata_registry_only; raw_data_local_only_if_downloaded","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL;SUPERVISED_TRAINING","Produto algorítmico — não pode declarar ground truth sozinho. Incerteza deve ser documentada. Depende de confirmação de evento (G1) para vínculo temporal."
SP_PET_2022_CPRM,PETROPOLIS,Petrópolis,"Evento Petrópolis — fevereiro 2022",2022-02,"Verificar existência de laudo CPRM pós-evento para Petrópolis fevereiro 2022 no portal RIGeo",MULTIPLE_GATES,OFFICIAL_OBSERVED_FLOOD_MAP,Serviço Geológico do Brasil (CPRM),"Laudo geológico pós-evento; mapas de suscetibilidade; análise de processo",Data do laudo pós-evento de fevereiro 2022,"Geometria de área avaliada; separação inundação-deslizamento",UNKNOWN,"Limitações de escala; separação de processo geomorfológico documentada",HIGH,PUBLIC_PORTAL_REVIEW,READY_FOR_SEARCH,NONE,"metadata_registry_only; raw_data_local_only_if_downloaded","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL;SUPERVISED_TRAINING","CPRM publicou análise pós-evento do fevereiro de 2022. Separação inundação-deslizamento é requisito obrigatório para qualquer uso. Portal RIGeo é público."
SP_PET_2022_DC,PETROPOLIS,Petrópolis,"Evento Petrópolis — fevereiro 2022",2022-02,"Solicitar à Defesa Civil Municipal de Petrópolis registros espaciais e documentais do evento de fevereiro 2022",MULTIPLE_GATES,CIVIL_DEFENSE_RECORD,Defesa Civil Municipal Petrópolis,"Relatório de ocorrência; mapa de área afetada; registro de vítimas e danos",Data confirmada do evento; janela temporal do desastre,Polígono ou mapa de área afetada; localização de ocorrências,UNKNOWN,NOT_APPLICABLE,HIGH,FORMAL_REQUEST,READY_FOR_REQUEST,SP_PET_2022_CPRM,"metadata_registry_only; intake_record_on_receipt; raw_data_local_only","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL;FLOOD_DETECTION_SOLO;FLOOD_PREDICTION;SUPERVISED_TRAINING","Alta visibilidade do evento aumenta probabilidade de documentação disponível. Separação inundação-deslizamento obrigatória na revisão. Solicitar especificamente área de inundação."
SP_PET_2022_SENT2,PETROPOLIS,Petrópolis,"Evento Petrópolis — fevereiro 2022",2022-02,"Verificar disponibilidade de imagens Sentinel-2 com baixa cobertura de nuvem em fevereiro 2022 sobre Petrópolis",G3_TEMPORAL_ALIGNMENT,SENTINEL_EVENT_IMAGE,ESA/Copernicus,"Metadados de imagem Sentinel-2 L2A (data; cobertura de nuvem; tile)",Data de aquisição dentro de fevereiro 2022,Cobertura do tile sobre área serrana de Petrópolis,PUBLIC_REUSE_ALLOWED,"Cobertura de nuvem documentada; avaliar necessidade de SAR como complemento",HIGH,PUBLIC_PORTAL_REVIEW,READY_FOR_SEARCH,SP_PET_2022_CPRM,"metadata_registry_only; raw_data_local_only_if_downloaded","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL","Risco de cobertura de nuvem em fevereiro é significativo. SAR pode ser necessário. Dado bruto local-only."
SP_CUR_2022_DC,CURITIBA,Curitiba,"Alagamento urbano Curitiba — 2022",2022-01/2022-12,"Solicitar à Defesa Civil Municipal de Curitiba registros de eventos de alagamento urbano em 2022 e 2023",MULTIPLE_GATES,CIVIL_DEFENSE_RECORD,Defesa Civil Municipal Curitiba,"Relatório de ocorrência; localização de alagamentos; danos registrados",Data ou período do evento específico em 2022,Localização ou polígono de área afetada,UNKNOWN,NOT_APPLICABLE,HIGH,FORMAL_REQUEST,READY_FOR_REQUEST,NONE,"metadata_registry_only; intake_record_on_receipt; raw_data_local_only","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL;FLOOD_DETECTION_SOLO;FLOOD_PREDICTION;SUPERVISED_TRAINING","Bundling com 2023 recomendado — ACQ_CUR_DC_001 cobre 2022-2023. Defesa Civil Curitiba tem registros bem organizados. Licença deve ser clarificada."
SP_CUR_GEOCURITIBA,CURITIBA,Curitiba,NOT_EVENT_SPECIFIC,NOT_EVENT_SPECIFIC,"Verificar disponibilidade de camadas GIS de drenagem, rede pluvial e topografia no portal GeoCuritiba para uso como baseline espacial",G4_SPATIAL_ALIGNMENT,MUNICIPAL_GIS_LAYER,Prefeitura de Curitiba / GeoCuritiba,"Camadas shapefile: rede_pluvial; drenagem; topografia com CRS documentado",NOT_APPLICABLE — não é evidência de evento,CRS documentado; cobertura de Curitiba,UNKNOWN,NOT_APPLICABLE — contexto spatial,MEDIUM,PUBLIC_PORTAL_REVIEW,WAITING_LICENSE_CLARIFICATION,NONE,"metadata_registry_only; raw_data_local_only_if_downloaded","OPERATIONAL_GROUND_TRUTH_DECLARATION;FLOOD_LABEL_CREATION;TRAINING_LABEL;SUPERVISED_TRAINING","GeoCuritiba não é evidência de evento observado — não fecha G4 como confirmação de evento. Contribui para baseline spatial. Licença UNKNOWN — verificar antes de uso."
