dependency_id,observed_event_id,region,dependency_type,dependency_description,required_before_overlay,required_before_review_gate,required_before_ground_reference,current_status,priority_level,responsible_review_role,forbidden_if_missing,notes
DEP_REC_2022_05_001,REC_2022_05_24_30,Recife,SOURCE_GEOMETRY,Geometria vetorial de área afetada para o evento de maio de 2022 não está disponível no repositório. É necessário solicitar formalmente à Prefeitura do Recife (Defesa Civil; CTTU) shapefiles ou polígonos oficiais de pontos de alagamento e áreas afetadas com CRS documentado.,true,true,true,OPEN,HIGH,GIS_REVIEWER,"patch-linking validado; ground reference; ground truth operacional; label de treino","Fonte principal é Prefeitura do Recife; shapefile de pontos de alagamento histórico pode estar disponível no portal GEORecife; verificar via solicitação formal ou acesso público"
DEP_REC_2022_05_002,REC_2022_05_24_30,Recife,MANUAL_GEOCODING,Localidades identificadas nas fontes (Jardim Uchôa; Areias; Sítio dos Macacos; Milagres; Rio Tejipió) precisam ser geocodificadas manualmente por revisão supervisora usando geometria oficial. Nenhuma coordenada foi criada nesta etapa.,true,true,true,OPEN,HIGH,GIS_REVIEWER,"patch-linking validado; ground reference; ground truth operacional; label de treino; qualquer relação espacial entre evento e patches","5 localidades para geocodificar; Rio Tejipió pode usar hidrografia ANA; bairros precisam de shapefile IBGE ou GEORecife"
DEP_REC_2022_05_003,REC_2022_05_24_30,Recife,LICENSE_PROVENANCE,Licença e proveniência de qualquer geometria obtida para o evento de maio de 2022 precisam ser verificadas para uso operacional. Fontes municipais podem ter restrições de redistribuição.,false,true,true,OPEN,MEDIUM,METHODOLOGICAL_REVIEWER,"qualquer uso operacional de geometria; patch-linking validado; ground reference; ground truth operacional; label de treino","Verificar termos de uso dos portais GEORecife; IBGE; Defesa Civil antes de qualquer uso de geometria no repositório público"
DEP_REC_2022_05_004,REC_2022_05_24_30,Recife,SENTINEL_TEMPORAL_SEARCH,Busca de assets Sentinel-1 e Sentinel-2 para a janela do evento (2022-05-24 a 2022-05-30) e janelas pré/pós ainda não foi executada. Disponibilidade real e cobertura de nuvem não foram verificadas.,false,false,true,OPEN,MEDIUM,REMOTE_SENSING_REVIEWER,"confirmação de disponibilidade de asset Sentinel para janela do evento; alinhamento temporal validado com imagem real; qualquer uso de Sentinel como evidência observacional do evento","Janela definida em STW_REC_2022_05_24_30; busca deve ser feita no Copernicus Data Space Ecosystem; não baixar sem aprovação metodológica"
DEP_REC_2022_05_005,REC_2022_05_24_30,Recife,REVIEW_GATE,Revisão supervisora formal da relação entre o evento de maio de 2022 e os patches REC_P001–P004 não foi realizada. Nenhuma promoção a ground reference pode ocorrer sem revisão por especialista com protocolo documentado.,false,false,true,OPEN,HIGH,METHODOLOGICAL_REVIEWER,"promoção a ground reference; ground truth operacional; label de treino; patch-linking validado; qualquer claim de relação confirmada entre evento e patch","Revisão supervisora exige geometria disponível; geocodificação concluída; licença verificada; alinhamento temporal confirmado — todas as dependências anteriores devem estar resolvidas"
DEP_REC_2023_02_001,REC_2023_02_05_06,Recife,SOURCE_GEOMETRY,Geometria vetorial de pontos de alagamento para o evento de fevereiro de 2023 não está disponível no repositório. Necessário buscar lista oficial de pontos de alagamento da Defesa Civil do Recife ou CTTU.,true,true,true,OPEN,MEDIUM,GIS_REVIEWER,"patch-linking validado; ground reference; ground truth operacional; label de treino","Fonte primária é Prefeitura do Recife; fonte secundária (NE10) cita pontos específicos mas não fornece geometria; solicitação formal à Defesa Civil recomendada"
DEP_REC_2023_02_002,REC_2023_02_05_06,Recife,MANUAL_GEOCODING,Localidade CAIC Barro identificada na fonte primária precisa ser geocodificada manualmente usando base de equipamentos públicos da Prefeitura do Recife. Nenhuma coordenada foi criada nesta etapa.,true,true,true,OPEN,MEDIUM,GIS_REVIEWER,"patch-linking validado; ground reference; ground truth operacional; label de treino; qualquer relação espacial entre evento e patches","1 localidade específica (CAIC Barro) a geocodificar; base de equipamentos públicos da Prefeitura do Recife é fonte candidata"
DEP_REC_2023_02_003,REC_2023_02_05_06,Recife,LICENSE_PROVENANCE,Licença e proveniência de geometrias para o evento de fevereiro de 2023 precisam ser verificadas. Fonte secundária NE10 ainda não arquivada — verificar status de acesso e redistribuição.,false,true,true,OPEN,MEDIUM,METHODOLOGICAL_REVIEWER,"qualquer uso operacional de geometria; patch-linking validado; ground reference; ground truth operacional; label de treino","Verificar termos de uso de NE10 e fontes municipais antes de qualquer uso no repositório público"
DEP_REC_2023_02_004,REC_2023_02_05_06,Recife,SENTINEL_TEMPORAL_SEARCH,Busca de assets Sentinel-1 e Sentinel-2 para a janela do evento (2023-02-05 a 2023-02-06) e janelas pré/pós não foi executada. Janela do evento de apenas 2 dias torna busca SAR crítica.,false,false,true,OPEN,MEDIUM,REMOTE_SENSING_REVIEWER,"confirmação de disponibilidade de asset Sentinel para janela do evento; alinhamento temporal validado; qualquer uso de Sentinel como evidência observacional","Janela definida em STW_REC_2023_02_05_06; evento de curta duração — verificar disponibilidade de passe SAR na data exata"
DEP_REC_2023_02_005,REC_2023_02_05_06,Recife,REVIEW_GATE,Revisão supervisora formal da relação entre o evento de fevereiro de 2023 e os patches REC_P001–P004 não foi realizada. Nenhuma promoção a ground reference sem revisão por especialista.,false,false,true,OPEN,HIGH,METHODOLOGICAL_REVIEWER,"promoção a ground reference; ground truth operacional; label de treino; patch-linking validado; qualquer claim de relação confirmada entre evento e patch","Revisão supervisora exige resolução das dependências anteriores desta lista"
