manifest_id,smoke_id,patch_id,relative_path,path_hash,execution_mode,embedding_attempted,embedding_valid,vector_norm,status,blocked_reason,notes
V1QJ_MAN_00001,V1QH_SMK_00023,CUR_00662,curitiba/curitiba_00662__rgb_preview.png,e220905ceb5a9900,REAL_EXECUTION,true,true,1.000000,DINO_SMOKE_EMBEDDINGS_READY_REVIEW_ONLY,,sha=5adad18e150c9fda
V1QJ_MAN_00002,V1QH_SMK_00024,CUR_00695,curitiba/curitiba_00695__rgb_preview.png,9d63e32a39ba6785,REAL_EXECUTION,true,true,1.000000,DINO_SMOKE_EMBEDDINGS_READY_REVIEW_ONLY,,sha=26da078760506752
V1QJ_MAN_00003,V1QH_SMK_00025,CUR_00728,curitiba/curitiba_00728__rgb_preview.png,5721eedb257c03fe,REAL_EXECUTION,true,true,1.000000,DINO_SMOKE_EMBEDDINGS_READY_REVIEW_ONLY,,sha=bed4889baff9c1a6
V1QJ_MAN_00004,V1QH_SMK_00026,CUR_00740,curitiba/curitiba_00740__rgb_preview.png,32aad09519554a43,REAL_EXECUTION,true,true,1.000000,DINO_SMOKE_EMBEDDINGS_READY_REVIEW_ONLY,,sha=a32ae8a559adbb17
V1QJ_MAN_00005,V1QH_SMK_00027,CUR_00887,curitiba/curitiba_00887__rgb_preview.png,27759a157c961e6f,REAL_EXECUTION,true,true,1.000000,DINO_SMOKE_EMBEDDINGS_READY_REVIEW_ONLY,,sha=2919af45ce47c491
V1QJ_MAN_00006,V1QH_SMK_00028,CUR_00888,curitiba/curitiba_00888__rgb_preview.png,3956e50d31187527,REAL_EXECUTION,true,true,1.000000,DINO_SMOKE_EMBEDDINGS_READY_REVIEW_ONLY,,sha=8646e2e7f0709008
V1QJ_MAN_00007,V1QH_SMK_00029,CUR_00889,curitiba/curitiba_00889__rgb_preview.png,bd86460e0ac23e41,REAL_EXECUTION,true,true,1.000000,DINO_SMOKE_EMBEDDINGS_READY_REVIEW_ONLY,,sha=e59bd16fc183c01f
V1QJ_MAN_00008,V1QH_SMK_00030,CUR_00895,curitiba/curitiba_00895__rgb_preview.png,6898b8e3038cdc48,REAL_EXECUTION,true,true,1.000000,DINO_SMOKE_EMBEDDINGS_READY_REVIEW_ONLY,,sha=5cec85ed5a42a013
V1QJ_MAN_00009,V1QH_SMK_00031,CUR_00899,curitiba/curitiba_00899__rgb_preview.png,9868a3487dcc3d7f,REAL_EXECUTION,true,true,1.000000,DINO_SMOKE_EMBEDDINGS_READY_REVIEW_ONLY,,sha=2353f3121f0c6907
V1QJ_MAN_00010,V1QH_SMK_00032,CUR_00924,curitiba/curitiba_00924__rgb_preview.png,1fc09a71bc34f224,REAL_EXECUTION,true,true,1.000000,DINO_SMOKE_EMBEDDINGS_READY_REVIEW_ONLY,,sha=5f8a3970b39ae839
