gate_id,turning_point_level,gate_name,required_condition,observed_value,gate_passed,severity,blocking_reason,recommended_action,notes
V2AY_GATE_af8f77421eab,TP0_DOCUMENTED_ABSENCE,TP_GATE_01_EVENT_SCOPE_RECONCILED,01_event_scope_reconciled,Observed event scope derived from registries,true,critical,,Preserve guardrail,Safety gates pass independently of missing geometry.
V2AY_GATE_8d8ac4c89933,TP0_DOCUMENTED_ABSENCE,TP_GATE_02_NO_EVENT_INVENTED,02_no_event_invented,No synthetic event rows,true,critical,,Preserve guardrail,Safety gates pass independently of missing geometry.
V2AY_GATE_d80cd10e04d7,TP0_DOCUMENTED_ABSENCE,TP_GATE_03_PATCH_BOUNDARY_SOURCE_EXISTS,03_patch_boundary_source_exists,valid_patch_boundaries=0,false,blocking,REQUIRED_REAL_GEOMETRY_OR_REPLAY_EVIDENCE_MISSING,Acquire/validate real geometry and replay pipeline,Safety gates pass independently of missing geometry.
V2AY_GATE_0553f2a32c1a,TP0_DOCUMENTED_ABSENCE,TP_GATE_04_EVENT_POLYGON_SOURCE_EXISTS,04_event_polygon_source_exists,valid_event_polygons=0,false,blocking,REQUIRED_REAL_GEOMETRY_OR_REPLAY_EVIDENCE_MISSING,Acquire/validate real geometry and replay pipeline,Safety gates pass independently of missing geometry.
V2AY_GATE_b88ff320f7c2,TP0_DOCUMENTED_ABSENCE,TP_GATE_05_CRS_VALID,05_crs_valid,CRS required on both geometries,false,blocking,REQUIRED_REAL_GEOMETRY_OR_REPLAY_EVIDENCE_MISSING,Acquire/validate real geometry and replay pipeline,Safety gates pass independently of missing geometry.
V2AY_GATE_6a18fac04581,TP0_DOCUMENTED_ABSENCE,TP_GATE_06_PROVENANCE_RECORDED,06_provenance_recorded,pair_ready=False,false,blocking,REQUIRED_REAL_GEOMETRY_OR_REPLAY_EVIDENCE_MISSING,Acquire/validate real geometry and replay pipeline,Safety gates pass independently of missing geometry.
V2AY_GATE_1dab061efe70,TP0_DOCUMENTED_ABSENCE,TP_GATE_07_LICENSE_RECORDED,07_license_recorded,pair_ready=False,false,blocking,REQUIRED_REAL_GEOMETRY_OR_REPLAY_EVIDENCE_MISSING,Acquire/validate real geometry and replay pipeline,Safety gates pass independently of missing geometry.
V2AY_GATE_d3e63a5f97a6,TP0_DOCUMENTED_ABSENCE,TP_GATE_08_V2AX_VALIDATION_READY,08_v2ax_validation_ready,pair_ready=False,false,blocking,REQUIRED_REAL_GEOMETRY_OR_REPLAY_EVIDENCE_MISSING,Acquire/validate real geometry and replay pipeline,Safety gates pass independently of missing geometry.
V2AY_GATE_089f1d315db4,TP0_DOCUMENTED_ABSENCE,TP_GATE_09_V2AW_READY,09_v2aw_ready,pair_ready=False,false,blocking,REQUIRED_REAL_GEOMETRY_OR_REPLAY_EVIDENCE_MISSING,Acquire/validate real geometry and replay pipeline,Safety gates pass independently of missing geometry.
V2AY_GATE_eab2f26958c8,TP0_DOCUMENTED_ABSENCE,TP_GATE_10_V2AV_READY,10_v2av_ready,valid_patch_boundaries=0,false,blocking,REQUIRED_REAL_GEOMETRY_OR_REPLAY_EVIDENCE_MISSING,Acquire/validate real geometry and replay pipeline,Safety gates pass independently of missing geometry.
V2AY_GATE_0527a34a0b71,TP0_DOCUMENTED_ABSENCE,TP_GATE_11_V2AU_REPLAY_READY,11_v2au_replay_ready,pair_ready=False; overlays=0,false,blocking,REQUIRED_REAL_GEOMETRY_OR_REPLAY_EVIDENCE_MISSING,Acquire/validate real geometry and replay pipeline,Safety gates pass independently of missing geometry.
V2AY_GATE_769dedbae442,TP0_DOCUMENTED_ABSENCE,TP_GATE_12_NO_LABEL_CREATED,12_no_label_created,can_create_operational_labels=false,true,critical,,Preserve guardrail,Safety gates pass independently of missing geometry.
V2AY_GATE_f17347abbe52,TP0_DOCUMENTED_ABSENCE,TP_GATE_13_NO_MODEL_TRAINED,13_no_model_trained,can_train_model=false,true,critical,,Preserve guardrail,Safety gates pass independently of missing geometry.
V2AY_GATE_63962f7a8435,TP0_DOCUMENTED_ABSENCE,TP_GATE_14_C4_NOT_PROMOTED_AUTOMATICALLY,14_c4_not_promoted_automatically,maximum is human-review C4 candidate,true,critical,,Preserve guardrail,Safety gates pass independently of missing geometry.
