acquisition_id,region,target_source_name,target_source_family,institution_or_provider,expected_evidence_type,event_specific_expected,expected_temporal_information,expected_spatial_information,expected_geometry_type,expected_resolution_or_scale,expected_crs_information,expected_uncertainty_information,related_protocol_c_gate,acquisition_priority,access_mode,local_asset_expected,can_support_reference_candidate,cannot_support_operational_ground_truth_alone,required_follow_up,forbidden_use,notes
ACQ_REC_DC_001,RECIFE,Defesa Civil Municipal - Relatório 2021,CIVIL_DEFENSE_RECORD,COMPDEC Recife,EVENT_CONFIRMATION;SPATIAL_EXTENT,true,2021-05-10 to 2021-06-15,Recife urban area,POLYGON,administrative source,SIRGAS2000 (EPSG:4674),Event confirmation date; spatial extent dependent on Defesa Civil mapping,G1_EVENT_CONFIRMATION;G2_SOURCE_AVAILABILITY;G3_TEMPORAL_ALIGNMENT;G4_SPATIAL_ALIGNMENT;G8_INDEPENDENT_CORROBORATION,HIGH,FORMAL_REQUEST,true,true,false,Contact COMPDEC Recife; request structured spatial data,SUPERVISED_TRAINING;PREDICTION;OPERATIONAL_GROUND_TRUTH_DECLARATION,Primary source for 2021 flood event in Recife metropolitan area
ACQ_REC_DC_002,RECIFE,Defesa Civil Municipal - Relatório 2022,CIVIL_DEFENSE_RECORD,COMPDEC Recife,EVENT_CONFIRMATION;SPATIAL_EXTENT,true,2022-03 to 2022-05,Recife urban area,POLYGON,administrative source,SIRGAS2000 (EPSG:4674),Event confirmation date; spatial extent varies by report,G1_EVENT_CONFIRMATION;G2_SOURCE_AVAILABILITY;G3_TEMPORAL_ALIGNMENT;G4_SPATIAL_ALIGNMENT;G8_INDEPENDENT_CORROBORATION,HIGH,FORMAL_REQUEST,true,true,false,Contact COMPDEC; cross-check with 2021 event documentation,SUPERVISED_TRAINING;PREDICTION;OPERATIONAL_GROUND_TRUTH_DECLARATION,Post-event reports from 2022 flood events
ACQ_REC_PE3D_001,RECIFE,PE3D - Plataforma de Dados Geoespaciais de Pernambuco,MUNICIPAL_GIS_LAYER,Secretaria de Gestão da Cidade - PE,SPATIAL_EXTENT;STRENGTH_METRIC,false,ongoing,Pernambuco state; Recife detail,RASTER;VECTOR,1:5000 municipal layers; 1:50000 state,SIRGAS2000 (EPSG:4674); UTM Zone 25S,Metadata in portal; CRS and accuracy documented,G2_SOURCE_AVAILABILITY;G4_SPATIAL_ALIGNMENT;G5_SOURCE_STRENGTH,MEDIUM,PUBLIC_PORTAL_REVIEW,true,true,false,Navigate PE3D portal; download drenagem and hidrografia layers; document CRS and metadata,SUPERVISED_TRAINING;OPERATIONAL_GROUND_TRUTH_DECLARATION,Provides baseline spatial/hydrographic context; not event-specific
ACQ_REC_CPRM_001,RECIFE,CPRM/SGB - Post-evento geological assessment (if 2021 or 2022 event covered),OFFICIAL_OBSERVED_FLOOD_MAP,Serviço Geológico do Brasil (CPRM),EVENT_CONFIRMATION;SPATIAL_EXTENT;LIMITATION_DOCUMENTATION,true,2021 or 2022,Recife area,POLYGON,report + map,SIRGAS2000 or reported CRS,Depends on CPRM methodology documentation,G1_EVENT_CONFIRMATION;G2_SOURCE_AVAILABILITY;G5_SOURCE_STRENGTH;G6_UNCERTAINTY_AND_LIMITATIONS;G8_INDEPENDENT_CORROBORATION,HIGH,PUBLIC_PORTAL_REVIEW;FORMAL_REQUEST,true,true,false,Search CPRM online reports; contact CPRM if event-specific analysis not published,SUPERVISED_TRAINING;OPERATIONAL_GROUND_TRUTH_DECLARATION,Cross-validates Defesa Civil; brings hydrogeomorphological context
ACQ_REC_SENT2_001,RECIFE,Sentinel-2 post-event imagery (2021 event),SENTINEL_EVENT_IMAGE,ESA/Copernicus,SPATIAL_EXTENT;TEMPORAL_ANCHOR,true,2021-05 to 2021-07,Recife urban area,RASTER,10 m,EPSG:32725 (UTM 25S),±10 m pixel size; cloud cover varies,G3_TEMPORAL_ALIGNMENT;G4_SPATIAL_ALIGNMENT;G5_SOURCE_STRENGTH,HIGH,PUBLIC_DOWNLOAD,true,true,true - product is satellite measurement; requires human annotation for evidence,Query ESA Scihub; download L2A products; check cloud cover; validate geometric correction,DETECTION_SOLO;PREDICTION;SUPERVISED_TRAINING_SOLO,Visual change detection between pre- and post-event; human interpretation required for ground reference support
ACQ_REC_SENT1_001,RECIFE,Sentinel-1 SAR post-event imagery (2021 event),SENTINEL_EVENT_IMAGE,ESA/Copernicus,SPATIAL_EXTENT;TEMPORAL_ANCHOR,true,2021-05 to 2021-07,Recife urban area,RASTER,10 m,EPSG:32725 (UTM 25S),±10 m pixel size; all-weather coverage,G3_TEMPORAL_ALIGNMENT;G4_SPATIAL_ALIGNMENT;G5_SOURCE_STRENGTH,MEDIUM,PUBLIC_DOWNLOAD,true,false,true - SAR sensitive to water and surface change; not sensitive to inundation depth; requires interpretation,Query ESA Scihub; download VV/VH products; apply radiometric calibration; geometric correction,DETECTION_SOLO;PREDICTION;SUPERVISED_TRAINING_SOLO,SAR sensitivity to water body change; complements optical; not definitive alone for inundation extent
ACQ_REC_GFM_001,RECIFE,Copernicus GFM - Rapid flood mapping (2021 event),OPERATIONAL_FLOOD_PRODUCT,Copernicus Emergency Management Service (CEMS),SPATIAL_EXTENT;LIMITATION_DOCUMENTATION,true,2021-05 to 2021-07,Recife area,RASTER,Variable (~10-20 m composite),Reported in GFM documentation,Automated product; documented uncertainty in GFM methodological paper,G2_SOURCE_AVAILABILITY;G4_SPATIAL_ALIGNMENT;G6_UNCERTAINTY_AND_LIMITATIONS,HIGH,PUBLIC_DOWNLOAD,true,false,true - algorithmic product with documented uncertainty; cannot be operational ground truth alone,Access CEMS portal; download GFM products; document methodology and uncertainty metrics; compare with other sources,OPERATIONAL_GROUND_TRUTH_DECLARATION;DETECTION_SOLO,Operationally available; provides rapid context; includes uncertainty documentation; triangulation required
ACQ_REC_UFPE_001,RECIFE,UFPE / UFRPE - Local academic analysis (if available),ACADEMIC_DATASET,Universidade Federal de Pernambuco; Universidade Federal Rural de Pernambuco,EVENT_CONFIRMATION;SPATIAL_EXTENT;LIMITATION_DOCUMENTATION,true,2021 or 2022,Recife area,Varies,Report/dataset dependent,Institutional documentation,Methodology-dependent,G1_EVENT_CONFIRMATION;G2_SOURCE_AVAILABILITY;G5_SOURCE_STRENGTH;G6_UNCERTAINTY_AND_LIMITATIONS,MEDIUM,FORMAL_REQUEST;PUBLIC_PORTAL_REVIEW,false,true,true - academic analysis; independent from operational systems,Contact UFPE/UFRPE research groups; request methods documentation and raw data if available,SUPERVISED_TRAINING_SOLO;OPERATIONAL_GROUND_TRUTH_DECLARATION,Provides methodological reference; may have local validation; requires access and documentation
ACQ_PET_DC_001,PETROPOLIS,Defesa Civil Municipal - Relatório Fevereiro 2022,CIVIL_DEFENSE_RECORD,Defesa Civil Municipal Petrópolis,EVENT_CONFIRMATION;SPATIAL_EXTENT,true,2022-02-09 to 2022-02-15,Petrópolis municipality; focus on affected areas,POLYGON,administrative source,SIRGAS2000 or local CRS,Event dates and affected areas documented,G1_EVENT_CONFIRMATION;G2_SOURCE_AVAILABILITY;G3_TEMPORAL_ALIGNMENT;G4_SPATIAL_ALIGNMENT;G7_REVIEW_GATE;G8_INDEPENDENT_CORROBORATION,HIGH,FORMAL_REQUEST,true,true,false,Contact Defesa Civil Petrópolis; request structured spatial data from Feb 2022 event,SUPERVISED_TRAINING;PREDICTION;OPERATIONAL_GROUND_TRUTH_DECLARATION,Primary source for major 2022 landslide/flood event; high priority
ACQ_PET_CPRM_001,PETROPOLIS,CPRM - Post-evento geological assessment Feb 2022,OFFICIAL_OBSERVED_FLOOD_MAP,Serviço Geológico do Brasil (CPRM),EVENT_CONFIRMATION;SPATIAL_EXTENT;LIMITATION_DOCUMENTATION,true,2022-02,Petrópolis slopes and valleys,POLYGON,CPRM report,SIRGAS2000,CPRM analysis includes hydrogeomorphological interpretation,G1_EVENT_CONFIRMATION;G2_SOURCE_AVAILABILITY;G5_SOURCE_STRENGTH;G6_UNCERTAINTY_AND_LIMITATIONS;G8_INDEPENDENT_CORROBORATION,HIGH,PUBLIC_PORTAL_REVIEW,true,true,false,Locate CPRM Feb 2022 report; download analysis maps; document methodology,SUPERVISED_TRAINING;OPERATIONAL_GROUND_TRUTH_DECLARATION,Critical: CPRM brings geomorphological grounding; validates that landslide+flooding connection is documented
