candidate_id,required_inputs,sentinel_asset,pe3d_mde_header_evidence,expected_output_path,required_naming_convention,minimum_qa,guardrails,blocked_claims
REC_00019,reviewed Sentinel asset; approved multimodal recipe; PE3D/MDE evidence as review context only,data/sentinel/patch_recife_00019.tif,B4_LOCAL_RASTER_HEADER_EVIDENCE_PRESENT_NEEDS_REVIEW,patches/stacks/recife/patch_recife_00019.npy,patch_recife_#####.npy matching candidate/raw id after REC ext/bg provenance review,path exists; shape mmap; channel spec; source lineage; grouped split; no labels or targets,no reconstruction in v1ft; no event claims; no gate/CRS/preflight promotion,no supervised readiness; no event detection; no model metrics
REC_00183,reviewed Sentinel asset; approved multimodal recipe; PE3D/MDE evidence as review context only,data/sentinel/patch_recife_00183.tif,B4_LOCAL_RASTER_HEADER_EVIDENCE_PRESENT_NEEDS_REVIEW,patches/stacks/recife/patch_recife_00183.npy,patch_recife_#####.npy matching candidate/raw id after REC ext/bg provenance review,path exists; shape mmap; channel spec; source lineage; grouped split; no labels or targets,no reconstruction in v1ft; no event claims; no gate/CRS/preflight promotion,no supervised readiness; no event detection; no model metrics
REC_00204,reviewed Sentinel asset; approved multimodal recipe; PE3D/MDE evidence as review context only,data/sentinel/patch_recife_00204.tif,B4_LOCAL_RASTER_HEADER_EVIDENCE_PRESENT_NEEDS_REVIEW,patches/stacks/recife/patch_recife_00204.npy,patch_recife_#####.npy matching candidate/raw id after REC ext/bg provenance review,path exists; shape mmap; channel spec; source lineage; grouped split; no labels or targets,no reconstruction in v1ft; no event claims; no gate/CRS/preflight promotion,no supervised readiness; no event detection; no model metrics
REC_00205,reviewed Sentinel asset; approved multimodal recipe; PE3D/MDE evidence as review context only,data/sentinel/patch_recife_00205.tif,B4_LOCAL_RASTER_HEADER_EVIDENCE_PRESENT_NEEDS_REVIEW,patches/stacks/recife/patch_recife_00205.npy,patch_recife_#####.npy matching candidate/raw id after REC ext/bg provenance review,path exists; shape mmap; channel spec; source lineage; grouped split; no labels or targets,no reconstruction in v1ft; no event claims; no gate/CRS/preflight promotion,no supervised readiness; no event detection; no model metrics
REC_00227,reviewed Sentinel asset; approved multimodal recipe; PE3D/MDE evidence as review context only,data/sentinel/patch_recife_00227.tif,B4_LOCAL_RASTER_HEADER_EVIDENCE_PRESENT_NEEDS_REVIEW,patches/stacks/recife/patch_recife_00227.npy,patch_recife_#####.npy matching candidate/raw id after REC ext/bg provenance review,path exists; shape mmap; channel spec; source lineage; grouped split; no labels or targets,no reconstruction in v1ft; no event claims; no gate/CRS/preflight promotion,no supervised readiness; no event detection; no model metrics
REC_00260,reviewed Sentinel asset; approved multimodal recipe; PE3D/MDE evidence as review context only,data/sentinel/patch_recife_00260.tif,B4_LOCAL_RASTER_HEADER_EVIDENCE_PRESENT_NEEDS_REVIEW,patches/stacks/recife/patch_recife_00260.npy,patch_recife_#####.npy matching candidate/raw id after REC ext/bg provenance review,path exists; shape mmap; channel spec; source lineage; grouped split; no labels or targets,no reconstruction in v1ft; no event claims; no gate/CRS/preflight promotion,no supervised readiness; no event detection; no model metrics
REC_00276,reviewed Sentinel asset; approved multimodal recipe; PE3D/MDE evidence as review context only,data/sentinel/patch_recife_00276.tif,B4_LOCAL_RASTER_HEADER_EVIDENCE_PRESENT_NEEDS_REVIEW,patches/stacks/recife/patch_recife_00276.npy,patch_recife_#####.npy matching candidate/raw id after REC ext/bg provenance review,path exists; shape mmap; channel spec; source lineage; grouped split; no labels or targets,no reconstruction in v1ft; no event claims; no gate/CRS/preflight promotion,no supervised readiness; no event detection; no model metrics
REC_00279,reviewed Sentinel asset; approved multimodal recipe; PE3D/MDE evidence as review context only,data/sentinel/patch_recife_00279.tif,B4_LOCAL_RASTER_HEADER_EVIDENCE_PRESENT_NEEDS_REVIEW,patches/stacks/recife/patch_recife_00279.npy,patch_recife_#####.npy matching candidate/raw id after REC ext/bg provenance review,path exists; shape mmap; channel spec; source lineage; grouped split; no labels or targets,no reconstruction in v1ft; no event claims; no gate/CRS/preflight promotion,no supervised readiness; no event detection; no model metrics
REC_00290,reviewed Sentinel asset; approved multimodal recipe; PE3D/MDE evidence as review context only,data/sentinel/patch_recife_00290.tif,B4_LOCAL_RASTER_HEADER_EVIDENCE_PRESENT_NEEDS_REVIEW,patches/stacks/recife/patch_recife_00290.npy,patch_recife_#####.npy matching candidate/raw id after REC ext/bg provenance review,path exists; shape mmap; channel spec; source lineage; grouped split; no labels or targets,no reconstruction in v1ft; no event claims; no gate/CRS/preflight promotion,no supervised readiness; no event detection; no model metrics
REC_00291,reviewed Sentinel asset; approved multimodal recipe; PE3D/MDE evidence as review context only,data/sentinel/patch_recife_00291.tif,B4_LOCAL_RASTER_HEADER_EVIDENCE_PRESENT_NEEDS_REVIEW,patches/stacks/recife/patch_recife_00291.npy,patch_recife_#####.npy matching candidate/raw id after REC ext/bg provenance review,path exists; shape mmap; channel spec; source lineage; grouped split; no labels or targets,no reconstruction in v1ft; no event claims; no gate/CRS/preflight promotion,no supervised readiness; no event detection; no model metrics
REC_00292,reviewed Sentinel asset; approved multimodal recipe; PE3D/MDE evidence as review context only,data/sentinel/patch_recife_00292.tif,B4_LOCAL_RASTER_HEADER_EVIDENCE_PRESENT_NEEDS_REVIEW,patches/stacks/recife/patch_recife_00292.npy,patch_recife_#####.npy matching candidate/raw id after REC ext/bg provenance review,path exists; shape mmap; channel spec; source lineage; grouped split; no labels or targets,no reconstruction in v1ft; no event claims; no gate/CRS/preflight promotion,no supervised readiness; no event detection; no model metrics
REC_00294,reviewed Sentinel asset; approved multimodal recipe; PE3D/MDE evidence as review context only,data/sentinel/patch_recife_00294.tif,B4_LOCAL_RASTER_HEADER_EVIDENCE_PRESENT_NEEDS_REVIEW,patches/stacks/recife/patch_recife_00294.npy,patch_recife_#####.npy matching candidate/raw id after REC ext/bg provenance review,path exists; shape mmap; channel spec; source lineage; grouped split; no labels or targets,no reconstruction in v1ft; no event claims; no gate/CRS/preflight promotion,no supervised readiness; no event detection; no model metrics
REC_00296,reviewed Sentinel asset; approved multimodal recipe; PE3D/MDE evidence as review context only,data/sentinel/patch_recife_00296.tif,B4_LOCAL_RASTER_HEADER_EVIDENCE_PRESENT_NEEDS_REVIEW,patches/stacks/recife/patch_recife_00296.npy,patch_recife_#####.npy matching candidate/raw id after REC ext/bg provenance review,path exists; shape mmap; channel spec; source lineage; grouped split; no labels or targets,no reconstruction in v1ft; no event claims; no gate/CRS/preflight promotion,no supervised readiness; no event detection; no model metrics
REC_00299,reviewed Sentinel asset; approved multimodal recipe; PE3D/MDE evidence as review context only,data/sentinel/patch_recife_00299.tif,B4_LOCAL_RASTER_HEADER_EVIDENCE_PRESENT_NEEDS_REVIEW,patches/stacks/recife/patch_recife_00299.npy,patch_recife_#####.npy matching candidate/raw id after REC ext/bg provenance review,path exists; shape mmap; channel spec; source lineage; grouped split; no labels or targets,no reconstruction in v1ft; no event claims; no gate/CRS/preflight promotion,no supervised readiness; no event detection; no model metrics
REC_00302,reviewed Sentinel asset; approved multimodal recipe; PE3D/MDE evidence as review context only,data/sentinel/patch_recife_00302.tif,B4_LOCAL_RASTER_HEADER_EVIDENCE_PRESENT_NEEDS_REVIEW,patches/stacks/recife/patch_recife_00302.npy,patch_recife_#####.npy matching candidate/raw id after REC ext/bg provenance review,path exists; shape mmap; channel spec; source lineage; grouped split; no labels or targets,no reconstruction in v1ft; no event claims; no gate/CRS/preflight promotion,no supervised readiness; no event detection; no model metrics
REC_00313,reviewed Sentinel asset; approved multimodal recipe; PE3D/MDE evidence as review context only,data/sentinel/patch_recife_00313.tif,B4_LOCAL_RASTER_HEADER_EVIDENCE_PRESENT_NEEDS_REVIEW,patches/stacks/recife/patch_recife_00313.npy,patch_recife_#####.npy matching candidate/raw id after REC ext/bg provenance review,path exists; shape mmap; channel spec; source lineage; grouped split; no labels or targets,no reconstruction in v1ft; no event claims; no gate/CRS/preflight promotion,no supervised readiness; no event detection; no model metrics
REC_00314,reviewed Sentinel asset; approved multimodal recipe; PE3D/MDE evidence as review context only,data/sentinel/patch_recife_00314.tif,B4_LOCAL_RASTER_HEADER_EVIDENCE_PRESENT_NEEDS_REVIEW,patches/stacks/recife/patch_recife_00314.npy,patch_recife_#####.npy matching candidate/raw id after REC ext/bg provenance review,path exists; shape mmap; channel spec; source lineage; grouped split; no labels or targets,no reconstruction in v1ft; no event claims; no gate/CRS/preflight promotion,no supervised readiness; no event detection; no model metrics
REC_00354,reviewed Sentinel asset; approved multimodal recipe; PE3D/MDE evidence as review context only,data/sentinel/patch_recife_00354.tif,B4_LOCAL_RASTER_HEADER_EVIDENCE_PRESENT_NEEDS_REVIEW,patches/stacks/recife/patch_recife_00354.npy,patch_recife_#####.npy matching candidate/raw id after REC ext/bg provenance review,path exists; shape mmap; channel spec; source lineage; grouped split; no labels or targets,no reconstruction in v1ft; no event claims; no gate/CRS/preflight promotion,no supervised readiness; no event detection; no model metrics
REC_00355,reviewed Sentinel asset; approved multimodal recipe; PE3D/MDE evidence as review context only,data/sentinel/patch_recife_00355.tif,B4_LOCAL_RASTER_HEADER_EVIDENCE_PRESENT_NEEDS_REVIEW,patches/stacks/recife/patch_recife_00355.npy,patch_recife_#####.npy matching candidate/raw id after REC ext/bg provenance review,path exists; shape mmap; channel spec; source lineage; grouped split; no labels or targets,no reconstruction in v1ft; no event claims; no gate/CRS/preflight promotion,no supervised readiness; no event detection; no model metrics
REC_00364,reviewed Sentinel asset; approved multimodal recipe; PE3D/MDE evidence as review context only,data/sentinel/patch_recife_00364.tif,B4_LOCAL_RASTER_HEADER_EVIDENCE_PRESENT_NEEDS_REVIEW,patches/stacks/recife/patch_recife_00364.npy,patch_recife_#####.npy matching candidate/raw id after REC ext/bg provenance review,path exists; shape mmap; channel spec; source lineage; grouped split; no labels or targets,no reconstruction in v1ft; no event claims; no gate/CRS/preflight promotion,no supervised readiness; no event detection; no model metrics
