claim_id,frase,status,justificativa,fonte_interna,uso_permitido
CLM_P01,O REV-P estima suscetibilidade urbana a enchentes por patch (score_v6 candidato).,permitido,score_v6 documentado no contrato 17c35; suscetibilidade nao e previsao de evento,susc_score_v6_candidate_by_patch_v1.csv,descricao_de_suscetibilidade_review_only
CLM_P02,"O framework integra features fisicas, hidrologicas, espectrais, territoriais, de chuva e evidencia documental.",permitido,matriz multimodal 19A com 6 familias; feature_evidence separada de score_evaluation,susc_19a_matriz_multimodal_escalavel_por_patch,descricao_do_pipeline_multimodal
CLM_P03,"A avaliacao observacional e review-only, sem treino e sem benchmark.",permitido,avaliacao 19C exploratoria; background e unlabeled_background,susc_19c_avaliacao_observacional_review_only,descricao_da_avaliacao_review_only
CLM_P04,O diagnostico 19D identifica divergencias do score_v6 sem alterar o score.,permitido,score_v6 intacto; diagnostico por familia e por patch,susc_19d_diagnostico_divergencias_score_v6_review_only,descricao_do_diagnostico_review_only
CLM_P05,"O score_v7 permanece bloqueado ate ampliar amostra, preencher territorial e ter benchmark.",permitido,gates de prontidao 19C/19D; score_v7 nao autorizado,gate_prontidao_score_v7_pos_19d.csv,descricao_de_bloqueio_metodologico
CLM_R01,Areas com evidencia observacional review-only tendem a ter score_v6 maior que o universo nao rotulado.,permitido_com_ressalva,valido como leitura exploratoria review-only (score obs > background) mas 0/7 no top-30 global e n pequeno,susc_19c_avaliacao_observacional_review_only,usar_sempre_com_ressalva_de_amostra_e_review_only
CLM_R02,O sinal urbano e topografico e coerente com maior suscetibilidade nos observados.,permitido_com_ressalva,coerencia por familia (19D) valida como leitura exploratoria; divergencia hidrologica/chuva no mesmo conjunto,susc_19d_diagnostico_divergencias_score_v6_review_only,usar_com_ressalva_de_divergencia_e_amostra
CLM_X01,O REV-P preve enchentes operacionalmente.,proibido,nao ha modelo preditivo operacional nem sistema de alerta; suscetibilidade nao e previsao,enquadramento_cientifico_rev_p,nunca_usar_este_claim
CLM_X02,O REV-P possui ground truth patch-level.,proibido,nao ha verdade de campo por patch; evidencia e review-only sem geometria de ocorrencia confirmada,susc_gt01_ground_reference_policy,nunca_usar_este_claim
CLM_X03,O REV-P treina um modelo supervisionado.,proibido,eligible_for_training=false em toda a cadeia; nao ha treino supervisionado,guardrails_cadeia_susc,nunca_usar_este_claim
CLM_X04,O REV-P validou estatisticamente com amostra suficiente.,proibido,apenas 7 patches observacionais; sem conclusao estatistica forte,susc_19c_avaliacao_observacional_review_only,nunca_usar_este_claim
CLM_X05,O REV-P tem um benchmark 17B.,proibido,benchmark_17b_criado=false; 17B nao criado,gate_prontidao_17b_pos_19d.csv,nunca_usar_este_claim
CLM_X06,A referencia SAR de Curitiba e geometria oficial de ocorrencia.,proibido,SAR e footprint pos-evento; nao e geometria oficial; Curitiba aguarda resposta oficial 18D,susc_18h_consolidacao_mestre_cadeia_observacional,nunca_usar_este_claim
CLM_X07,O universo sem evidencia documentada e um conjunto negativo.,proibido,background e unlabeled_background; ausencia de evidencia nao e evidencia de ausencia; nunca e negativo,susc_19c_avaliacao_observacional_review_only,nunca_usar_este_claim
CLM_B01,Curitiba e a segunda regiao de referencia forte confirmada.,bloqueado_por_evidencia_insuficiente,Curitiba e apenas tecnica SAR sem geometria oficial; nao ha referencia forte confirmada,susc_18h_consolidacao_mestre_cadeia_observacional,so_apos_geometria_oficial_18D
CLM_B02,Petropolis e uma regiao observacional avaliada.,bloqueado_por_evidencia_insuficiente,Petropolis e fenomeno misto sem separacao; permanece bloqueado e fora de observado,susc_19c_avaliacao_observacional_review_only,so_apos_separacao_de_fenomeno
